year,scenario,cap_tco2
2025,ndc3_unconditional,15717181.904399998
2026,ndc3_unconditional,15181146.329109292
2027,ndc3_unconditional,14645110.753818583
2028,ndc3_unconditional,14109075.178527877
2029,ndc3_unconditional,13573039.60323717
2030,ndc3_unconditional,13037004.027946463
2031,ndc3_unconditional,12868609.996163903
2032,ndc3_unconditional,12700215.96438134
2033,ndc3_unconditional,12531821.932598779
2034,ndc3_unconditional,12363427.900816219
2035,ndc3_unconditional,12195033.869033657
2036,ndc3_unconditional,12195033.869033657
2037,ndc3_unconditional,12195033.869033657
2038,ndc3_unconditional,12195033.869033657
2039,ndc3_unconditional,12195033.869033657
2040,ndc3_unconditional,12195033.869033657
2041,ndc3_unconditional,12195033.869033657
2042,ndc3_unconditional,12195033.869033657
2043,ndc3_unconditional,12195033.869033657
2044,ndc3_unconditional,12195033.869033657
2045,ndc3_unconditional,12195033.869033657
2046,ndc3_unconditional,1e+18
2047,ndc3_unconditional,1e+18
2048,ndc3_unconditional,1e+18
2049,ndc3_unconditional,1e+18
2050,ndc3_unconditional,1e+18
2051,ndc3_unconditional,1e+18
2052,ndc3_unconditional,1e+18
2053,ndc3_unconditional,1e+18
2054,ndc3_unconditional,1e+18
2025,ndc3_conditional,15717181.904399998
2026,ndc3_conditional,14931121.017182067
2027,ndc3_conditional,14145060.129964132
2028,ndc3_conditional,13358999.2427462
2029,ndc3_conditional,12572938.355528265
2030,ndc3_conditional,11786877.468310332
2031,ndc3_conditional,11437375.719540058
2032,ndc3_conditional,11087873.970769785
2033,ndc3_conditional,10738372.221999511
2034,ndc3_conditional,10388870.473229237
2035,ndc3_conditional,10039368.724458963
2036,ndc3_conditional,10039368.724458963
2037,ndc3_conditional,10039368.724458963
2038,ndc3_conditional,10039368.724458963
2039,ndc3_conditional,10039368.724458963
2040,ndc3_conditional,10039368.724458963
2041,ndc3_conditional,10039368.724458963
2042,ndc3_conditional,10039368.724458963
2043,ndc3_conditional,10039368.724458963
2044,ndc3_conditional,10039368.724458963
2045,ndc3_conditional,10039368.724458963
2046,ndc3_conditional,1e+18
2047,ndc3_conditional,1e+18
2048,ndc3_conditional,1e+18
2049,ndc3_conditional,1e+18
2050,ndc3_conditional,1e+18
2051,ndc3_conditional,1e+18
2052,ndc3_conditional,1e+18
2053,ndc3_conditional,1e+18
2054,ndc3_conditional,1e+18
2025,ndc2_unconditional,15717181.904399998
2026,ndc2_unconditional,15243322.776592001
2027,ndc2_unconditional,14769463.648784
2028,ndc2_unconditional,14295604.520976
2029,ndc2_unconditional,13821745.393168002
2030,ndc2_unconditional,13347886.265360001
2031,ndc2_unconditional,13347886.265360001
2032,ndc2_unconditional,13347886.265360001
2033,ndc2_unconditional,13347886.265360001
2034,ndc2_unconditional,13347886.265360001
2035,ndc2_unconditional,13347886.265360001
2036,ndc2_unconditional,13347886.265360001
2037,ndc2_unconditional,13347886.265360001
2038,ndc2_unconditional,13347886.265360001
2039,ndc2_unconditional,13347886.265360001
2040,ndc2_unconditional,13347886.265360001
2041,ndc2_unconditional,13347886.265360001
2042,ndc2_unconditional,13347886.265360001
2043,ndc2_unconditional,13347886.265360001
2044,ndc2_unconditional,13347886.265360001
2045,ndc2_unconditional,13347886.265360001
2046,ndc2_unconditional,1e+18
2047,ndc2_unconditional,1e+18
2048,ndc2_unconditional,1e+18
2049,ndc2_unconditional,1e+18
2050,ndc2_unconditional,1e+18
2051,ndc2_unconditional,1e+18
2052,ndc2_unconditional,1e+18
2053,ndc2_unconditional,1e+18
2054,ndc2_unconditional,1e+18
2025,ndc2_conditional,15717181.904399998
2026,ndc2_conditional,14342340.4536802
2027,ndc2_conditional,12967499.002960399
2028,ndc2_conditional,11592657.5522406
2029,ndc2_conditional,10217816.1015208
2030,ndc2_conditional,8842974.650801001
2031,ndc2_conditional,8842974.650801001
2032,ndc2_conditional,8842974.650801001
2033,ndc2_conditional,8842974.650801001
2034,ndc2_conditional,8842974.650801001
2035,ndc2_conditional,8842974.650801001
2036,ndc2_conditional,8842974.650801001
2037,ndc2_conditional,8842974.650801001
2038,ndc2_conditional,8842974.650801001
2039,ndc2_conditional,8842974.650801001
2040,ndc2_conditional,8842974.650801001
2041,ndc2_conditional,8842974.650801001
2042,ndc2_conditional,8842974.650801001
2043,ndc2_conditional,8842974.650801001
2044,ndc2_conditional,8842974.650801001
2045,ndc2_conditional,8842974.650801001
2046,ndc2_conditional,1e+18
2047,ndc2_conditional,1e+18
2048,ndc2_conditional,1e+18
2049,ndc2_conditional,1e+18
2050,ndc2_conditional,1e+18
2051,ndc2_conditional,1e+18
2052,ndc2_conditional,1e+18
2053,ndc2_conditional,1e+18
2054,ndc2_conditional,1e+18
