Year,Scenario,Commondity_usd_per_mmbtu,Transport_usd_per_mmbtu,Total_usd_per_mmbtu,total_usd_per_twh_th,,thermal conversion factor,Heating Value Assumption (HHV),Transport tariff (proxy),uplift
2025,gas_low,2.13,0,2.13,"7,267,861.68",,3412141.633,1.03,1.13,35%
2025,gas_mid,2.13,1.097087379,3.227087379,"11,011,279.20",,,,,
2025,gas_high,2.13,1.097087379,4.356567961,"14,865,226.92",,,,,
2026,gas_low,2.13,0,2.13,"7,267,861.68",,,,,
2026,gas_mid,2.13,1.097087379,3.227087379,"11,011,279.20",,,,,
2026,gas_high,2.13,1.097087379,4.356567961,"14,865,226.92",,,,,
2027,gas_low,2.13,0,2.13,"7,267,861.68",,,,,
2027,gas_mid,2.13,1.097087379,3.227087379,"11,011,279.20",,,,,
2027,gas_high,2.13,1.097087379,4.356567961,"14,865,226.92",,,,,
2028,gas_low,2.13,0,2.13,"7,267,861.68",,,,,
2028,gas_mid,2.13,1.097087379,3.227087379,"11,011,279.20",,,,,
2028,gas_high,2.13,1.097087379,4.356567961,"14,865,226.92",,,,,
2029,gas_low,2.13,0,2.13,"7,267,861.68",,,,,
2029,gas_mid,2.13,1.097087379,3.227087379,"11,011,279.20",,,,,
2029,gas_high,2.13,1.097087379,4.356567961,"14,865,226.92",,,,,
2030,gas_low,2.13,0,2.13,"7,267,861.68",,,,,
2030,gas_mid,2.13,1.097087379,3.227087379,"11,011,279.20",,,,,
2030,gas_high,2.13,1.097087379,4.356567961,"14,865,226.92",,,,,
2031,gas_low,2.13,0,2.13,"7,267,861.68",,,,,
2031,gas_mid,2.13,1.097087379,3.227087379,"11,011,279.20",,,,,
2031,gas_high,2.13,1.097087379,4.356567961,"14,865,226.92",,,,,
2032,gas_low,2.13,0,2.13,"7,267,861.68",,,,,
2032,gas_mid,2.13,1.097087379,3.227087379,"11,011,279.20",,,,,
2032,gas_high,2.13,1.097087379,4.356567961,"14,865,226.92",,,,,
2033,gas_low,2.13,0,2.13,"7,267,861.68",,,,,
2033,gas_mid,2.13,1.097087379,3.227087379,"11,011,279.20",,,,,
2033,gas_high,2.13,1.097087379,4.356567961,"14,865,226.92",,,,,
2034,gas_low,2.13,0,2.13,"7,267,861.68",,,,,
2034,gas_mid,2.13,1.097087379,3.227087379,"11,011,279.20",,,,,
2034,gas_high,2.13,1.097087379,4.356567961,"14,865,226.92",,,,,
2035,gas_low,2.13,0,2.13,"7,267,861.68",,,,,
2035,gas_mid,2.13,1.097087379,3.227087379,"11,011,279.20",,,,,
2035,gas_high,2.13,1.097087379,4.356567961,"14,865,226.92",,,,,
2036,gas_low,2.13,0,2.13,"7,267,861.68",,,,,
2036,gas_mid,2.13,1.097087379,3.227087379,"11,011,279.20",,,,,
2036,gas_high,2.13,1.097087379,4.356567961,"14,865,226.92",,,,,
2037,gas_low,2.13,0,2.13,"7,267,861.68",,,,,
2037,gas_mid,2.13,1.097087379,3.227087379,"11,011,279.20",,,,,
2037,gas_high,2.13,1.097087379,4.356567961,"14,865,226.92",,,,,
2038,gas_low,2.13,0,2.13,"7,267,861.68",,,,,
2038,gas_mid,2.13,1.097087379,3.227087379,"11,011,279.20",,,,,
2038,gas_high,2.13,1.097087379,4.356567961,"14,865,226.92",,,,,
2039,gas_low,2.13,0,2.13,"7,267,861.68",,,,,
2039,gas_mid,2.13,1.097087379,3.227087379,"11,011,279.20",,,,,
2039,gas_high,2.13,1.097087379,4.356567961,"14,865,226.92",,,,,
2040,gas_low,2.13,0,2.13,"7,267,861.68",,,,,
2040,gas_mid,2.13,1.097087379,3.227087379,"11,011,279.20",,,,,
2040,gas_high,2.13,1.097087379,4.356567961,"14,865,226.92",,,,,
2041,gas_low,2.13,0,2.13,"7,267,861.68",,,,,
2041,gas_mid,2.13,1.097087379,3.227087379,"11,011,279.20",,,,,
2041,gas_high,2.13,1.097087379,4.356567961,"14,865,226.92",,,,,
2042,gas_low,2.13,0,2.13,"7,267,861.68",,,,,
2042,gas_mid,2.13,1.097087379,3.227087379,"11,011,279.20",,,,,
2042,gas_high,2.13,1.097087379,4.356567961,"14,865,226.92",,,,,
2043,gas_low,2.13,0,2.13,"7,267,861.68",,,,,
2043,gas_mid,2.13,1.097087379,3.227087379,"11,011,279.20",,,,,
2043,gas_high,2.13,1.097087379,4.356567961,"14,865,226.92",,,,,
2044,gas_low,2.13,0,2.13,"7,267,861.68",,,,,
2044,gas_mid,2.13,1.097087379,3.227087379,"11,011,279.20",,,,,
2044,gas_high,2.13,1.097087379,4.356567961,"14,865,226.92",,,,,
2045,gas_low,2.13,0,2.13,"7,267,861.68",,,,,
2045,gas_mid,2.13,1.097087379,3.227087379,"11,011,279.20",,,,,
2045,gas_high,2.13,1.097087379,4.356567961,"14,865,226.92",,,,,
