Year,Scenario,Storage_capex_usd_per_mwh,notes
2025,Storage_low,"$252,000 ",
2025,Storage_mid,"$310,000 ",
2025,Storage_high,"$402,000 ",
2026,Storage_low,"$241,000 ",
2026,Storage_mid,"$297,000 ",
2026,Storage_high,"$386,000 ",
2027,Storage_low,"$231,000 ",
2027,Storage_mid,"$284,000 ",
2027,Storage_high,"$369,000 ",
2028,Storage_low,"$220,000 ",
2028,Storage_mid,"$271,000 ",
2028,Storage_high,"$352,000 ",
2029,Storage_low,"$209,000 ",
2029,Storage_mid,"$259,000 ",
2029,Storage_high,"$335,000 ",
2030,Storage_low,"$199,000 ",
2030,Storage_mid,"$246,000 ",
2030,Storage_high,"$319,000 ",
2031,Storage_low,"$195,000 ",
2031,Storage_mid,"$241,000 ",
2031,Storage_high,"$316,000 ",
2032,Storage_low,"$192,000 ",
2032,Storage_mid,"$237,000 ",
2032,Storage_high,"$314,000 ",
2033,Storage_low,"$188,000 ",
2033,Storage_mid,"$232,000 ",
2033,Storage_high,"$312,000 ",
2034,Storage_low,"$184,000 ",
2034,Storage_mid,"$228,000 ",
2034,Storage_high,"$310,000 ",
2035,Storage_low,"$181,000 ",
2035,Storage_mid,"$223,000 ",
2035,Storage_high,"$308,000 ",
2036,Storage_low,"$178,000 ",
2036,Storage_mid,"$219,000 ",
2036,Storage_high,"$305,000 ",
2037,Storage_low,"$174,000 ",
2037,Storage_mid,"$214,000 ",
2037,Storage_high,"$303,000 ",
2038,Storage_low,"$171,000 ",
2038,Storage_mid,"$210,000 ",
2038,Storage_high,"$301,000 ",
2039,Storage_low,"$167,000 ",
2039,Storage_mid,"$206,000 ",
2039,Storage_high,"$299,000 ",
2040,Storage_low,"$163,000 ",
2040,Storage_mid,"$201,000 ",
2040,Storage_high,"$297,000 ",
2041,Storage_low,"$160,000 ",
2041,Storage_mid,"$197,000 ",
2041,Storage_high,"$295,000 ",
2042,Storage_low,"$157,000 ",
2042,Storage_mid,"$192,000 ",
2042,Storage_high,"$292,000 ",
2043,Storage_low,"$154,000 ",
2043,Storage_mid,"$188,000 ",
2043,Storage_high,"$290,000 ",
2044,Storage_low,"$150,000 ",
2044,Storage_mid,"$184,000 ",
2044,Storage_high,"$288,000 ",
2045,Storage_low,"$146,000 ",
2045,Storage_mid,"$179,000 ",
2045,Storage_high,"$286,000 ",
