year,scenario,voll_usd_per_kwh,voll_usd_per_twh
2025,voll_low,5,5000000000
2025,voll_mid,10,10000000000
2025,voll_high,30,30000000000
2026,voll_low,5,5000000000
2026,voll_mid,10,10000000000
2026,voll_high,30,30000000000
2027,voll_low,5,5000000000
2027,voll_mid,10,10000000000
2027,voll_high,30,30000000000
2028,voll_low,5,5000000000
2028,voll_mid,10,10000000000
2028,voll_high,30,30000000000
2029,voll_low,5,5000000000
2029,voll_mid,10,10000000000
2029,voll_high,30,30000000000
2030,voll_low,5,5000000000
2030,voll_mid,10,10000000000
2030,voll_high,30,30000000000
2031,voll_low,5,5000000000
2031,voll_mid,10,10000000000
2031,voll_high,30,30000000000
2032,voll_low,5,5000000000
2032,voll_mid,10,10000000000
2032,voll_high,30,30000000000
2033,voll_low,5,5000000000
2033,voll_mid,10,10000000000
2033,voll_high,30,30000000000
2034,voll_low,5,5000000000
2034,voll_mid,10,10000000000
2034,voll_high,30,30000000000
2035,voll_low,5,5000000000
2035,voll_mid,10,10000000000
2035,voll_high,30,30000000000
2036,voll_low,5,5000000000
2036,voll_mid,10,10000000000
2036,voll_high,30,30000000000
2037,voll_low,5,5000000000
2037,voll_mid,10,10000000000
2037,voll_high,30,30000000000
2038,voll_low,5,5000000000
2038,voll_mid,10,10000000000
2038,voll_high,30,30000000000
2039,voll_low,5,5000000000
2039,voll_mid,10,10000000000
2039,voll_high,30,30000000000
2040,voll_low,5,5000000000
2040,voll_mid,10,10000000000
2040,voll_high,30,30000000000
2041,voll_low,5,5000000000
2041,voll_mid,10,10000000000
2041,voll_high,30,30000000000
2042,voll_low,5,5000000000
2042,voll_mid,10,10000000000
2042,voll_high,30,30000000000
2043,voll_low,5,5000000000
2043,voll_mid,10,10000000000
2043,voll_high,30,30000000000
2044,voll_low,5,5000000000
2044,voll_mid,10,10000000000
2044,voll_high,30,30000000000
2045,voll_low,5,5000000000
2045,voll_mid,10,10000000000
2045,voll_high,30,30000000000
