year,scenario,gas_available_twh_th
2025,downside,40.66
2026,downside,40.66
2027,downside,40.66
2028,downside,39.4402
2029,downside,38.256994
2030,downside,37.109284
2031,downside,35.996006
2032,downside,34.916125
2033,downside,33.868642
2034,downside,32.852582
2035,downside,31.867005
2036,downside,30.910995
2037,downside,29.983665
2038,downside,29.084155
2039,downside,28.21163
2040,downside,27.365281
2041,downside,26.544323
2042,downside,25.747993
2043,downside,24.975554
2044,downside,24.226287
2045,downside,23.499498
2025,baseline,40.66
2026,baseline,40.8633
2027,baseline,41.067616
2028,baseline,41.272955
2029,baseline,41.479319
2030,baseline,41.686716
2031,baseline,41.89515
2032,baseline,42.104625
2033,baseline,42.315148
2034,baseline,42.526724
2035,baseline,42.739358
2036,baseline,42.953055
2037,baseline,43.16782
2038,baseline,43.383659
2039,baseline,43.600577
2040,baseline,43.81858
2041,baseline,44.037673
2042,baseline,44.257861
2043,baseline,44.479151
2044,baseline,44.701546
2045,baseline,44.925054
2025,upside,40.66
2026,upside,40.66
2027,upside,40.66
2028,upside,41.4732
2029,upside,42.302664
2030,upside,43.148717
2031,upside,44.011692
2032,upside,44.891925
2033,upside,45.789764
2034,upside,46.705559
2035,upside,47.63967
2036,upside,48.592464
2037,upside,49.564313
2038,upside,50.555599
2039,upside,51.566711
2040,upside,52.598046
2041,upside,53.650007
2042,upside,54.723007
2043,upside,55.817467
2044,upside,56.933816
2045,upside,58.072492
2025,shock_recovery,40.66
2026,shock_recovery,40.66
2027,shock_recovery,40.66
2028,shock_recovery,40.66
2029,shock_recovery,40.66
2030,shock_recovery,39.4402
2031,shock_recovery,38.256994
2032,shock_recovery,37.109284
2033,shock_recovery,35.996006
2034,shock_recovery,37.335405
2035,shock_recovery,38.674803
2036,shock_recovery,40.014202
2037,shock_recovery,41.353601
2038,shock_recovery,42.693
2039,shock_recovery,42.693
2040,shock_recovery,42.693
2041,shock_recovery,42.693
2042,shock_recovery,42.693
2043,shock_recovery,42.693
2044,shock_recovery,42.693
2045,shock_recovery,42.693
2025,flat_downside,32.230296
2026,flat_downside,32.230296
2027,flat_downside,32.230296
2028,flat_downside,32.230296
2029,flat_downside,32.230296
2030,flat_downside,32.230296
2031,flat_downside,32.230296
2032,flat_downside,32.230296
2033,flat_downside,32.230296
2034,flat_downside,32.230296
2035,flat_downside,32.230296
2036,flat_downside,32.230296
2037,flat_downside,32.230296
2038,flat_downside,32.230296
2039,flat_downside,32.230296
2040,flat_downside,32.230296
2041,flat_downside,32.230296
2042,flat_downside,32.230296
2043,flat_downside,32.230296
2044,flat_downside,32.230296
2045,flat_downside,32.230296
2025,flat_upside,48.096053
2026,flat_upside,48.096053
2027,flat_upside,48.096053
2028,flat_upside,48.096053
2029,flat_upside,48.096053
2030,flat_upside,48.096053
2031,flat_upside,48.096053
2032,flat_upside,48.096053
2033,flat_upside,48.096053
2034,flat_upside,48.096053
2035,flat_upside,48.096053
2036,flat_upside,48.096053
2037,flat_upside,48.096053
2038,flat_upside,48.096053
2039,flat_upside,48.096053
2040,flat_upside,48.096053
2041,flat_upside,48.096053
2042,flat_upside,48.096053
2043,flat_upside,48.096053
2044,flat_upside,48.096053
2045,flat_upside,48.096053
2025,flat_shock_recovery,40.620214
2026,flat_shock_recovery,40.620214
2027,flat_shock_recovery,40.620214
2028,flat_shock_recovery,40.620214
2029,flat_shock_recovery,40.620214
2030,flat_shock_recovery,40.620214
2031,flat_shock_recovery,40.620214
2032,flat_shock_recovery,40.620214
2033,flat_shock_recovery,40.620214
2034,flat_shock_recovery,40.620214
2035,flat_shock_recovery,40.620214
2036,flat_shock_recovery,40.620214
2037,flat_shock_recovery,40.620214
2038,flat_shock_recovery,40.620214
2039,flat_shock_recovery,40.620214
2040,flat_shock_recovery,40.620214
2041,flat_shock_recovery,40.620214
2042,flat_shock_recovery,40.620214
2043,flat_shock_recovery,40.620214
2044,flat_shock_recovery,40.620214
2045,flat_shock_recovery,40.620214
