initiative,instrument,jurisdiction,region,income_group,start_year,year,carbon_price
Netherlands carbon tax,Carbon tax,Netherlands,Europe & Central Asia,High income,2021,1990,0.0
Poland carbon tax,Carbon tax,Poland,Europe & Central Asia,High income,1990,1990,0.0
Finland carbon tax,Carbon tax,Finland,Europe & Central Asia,High income,1990,1991,1.9
Finland carbon tax,Carbon tax,Finland,Europe & Central Asia,High income,1990,1991,1.9
Netherlands carbon tax,Carbon tax,Netherlands,Europe & Central Asia,High income,2021,1991,0.0
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,1991,1991,86.88
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,1991,1991,75.61
Poland carbon tax,Carbon tax,Poland,Europe & Central Asia,High income,1990,1991,0.0
Denmark carbon tax,Carbon tax,Denmark,Europe & Central Asia,High income,1992,1992,15.57
Finland carbon tax,Carbon tax,Finland,Europe & Central Asia,High income,1990,1992,1.56
Finland carbon tax,Carbon tax,Finland,Europe & Central Asia,High income,1990,1992,1.56
Netherlands carbon tax,Carbon tax,Netherlands,Europe & Central Asia,High income,2021,1992,0.0
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,1991,1992,118.03
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,1991,1992,102.57
Poland carbon tax,Carbon tax,Poland,Europe & Central Asia,High income,1990,1992,0.0
Denmark carbon tax,Carbon tax,Denmark,Europe & Central Asia,High income,1992,1993,16.23
Finland carbon tax,Carbon tax,Finland,Europe & Central Asia,High income,1990,1993,2.36
Finland carbon tax,Carbon tax,Finland,Europe & Central Asia,High income,1990,1993,2.36
Netherlands carbon tax,Carbon tax,Netherlands,Europe & Central Asia,High income,2021,1993,0.0
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,1991,1993,101.12
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,1991,1993,88.01
Poland carbon tax,Carbon tax,Poland,Europe & Central Asia,High income,1990,1993,0.0
Denmark carbon tax,Carbon tax,Denmark,Europe & Central Asia,High income,1992,1994,15.24
Finland carbon tax,Carbon tax,Finland,Europe & Central Asia,High income,1990,1994,4.04
Finland carbon tax,Carbon tax,Finland,Europe & Central Asia,High income,1990,1994,4.04
Netherlands carbon tax,Carbon tax,Netherlands,Europe & Central Asia,High income,2021,1994,0.0
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,1991,1994,99.3
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,1991,1994,86.43
Poland carbon tax,Carbon tax,Poland,Europe & Central Asia,High income,1990,1994,0.04
