year,demand_twh,gas_to_power_twh_th,gas_generation_twh_e,solar_generation_twh_e,storage_discharge_twh_e,unserved_twh,emissions_tco2,gas_shadow_usd_per_twh_th,carbon_shadow_usd_per_tco2,discount_factor
2025,23.08,40.66,17.4838,4.966920000000001,0.62928,0.0,7360679.8,504764610.0,0.0,1.0
2026,24.0032,40.66,17.4838,5.890120001280001,0.62928,0.0,7360679.8,25681633.0,0.0,0.9090909090909091
2027,24.963328,40.66,17.4838,6.850248012072001,0.62928,0.0,7360679.8,22431778.0,0.0,0.8264462809917354
2028,25.961861120000002,40.66,17.4838,7.848781123428001,0.62928,0.0,7360679.8,19299796.0,0.0,0.7513148009015775
2029,27.000335564800004,40.66,17.4838,8.887255580052,0.62928,0.0,7360679.8,16676053.0,0.0,0.6830134553650705
2030,28.080348987392,40.66,17.4838,9.967269003588001,0.62928,0.0,7360679.8,14472475.0,0.0,0.6209213230591549
2031,29.203562946887686,42.2864,18.183152,10.391130961020002,0.62928,0.0,7655106.992,12335811.0,0.0,0.5644739300537772
2032,30.371705464763192,43.9128,18.882503999999997,10.859921477136002,0.62928,0.0,7949534.1839999985,10561319.0,0.0,0.5131581182307065
2033,31.58657368335372,45.5392,19.581856,11.375437701852,0.62928,0.0,8243961.376,9084614.8,0.0,0.4665073802097331
2034,32.85003663068787,47.1656,20.281208,11.939548639860002,0.62928,0.0,8538388.568,7641923.6,0.0,0.42409761837248455
2035,34.16403809591539,48.792,20.98056,12.554198107128,0.62928,0.0,8832815.76,2059819.8,0.0,0.3855432894295314
2036,35.530599619752,48.792,20.98056,13.920759626112,0.62928,0.0,8832815.76,2289644.9,0.0,0.3504938994813922
2037,36.951823604542085,48.792,20.98056,15.341983613424,0.62928,0.0,8832815.76,1575942.1,0.0,0.3186308177103565
2038,38.42989654872377,48.792,20.98056,16.820056554552,0.62928,0.0,8832815.76,1394375.2,0.0,0.2896643797366877
2039,39.96709241067272,48.792,20.98056,18.357252423732003,0.62928,0.0,8832815.76,884618.9,0.0,0.26333125430607973
2040,41.56577610709963,48.792,20.98056,19.955936113488,0.62928,0.0,8832815.76,1120723.7,0.0,0.23939204936916333
2041,43.228407151383614,48.792,20.98056,21.618567147996,0.62928,0.0,8832815.76,990064.75,0.0,0.2176291357901485
2042,44.957543437438964,48.792,20.98056,23.347703443752,0.62928,0.0,8832815.76,873899.8,0.0,0.19784466890013497
2043,46.75584517493653,48.792,20.98056,25.1460051885,0.62928,0.0,8832815.76,770673.4,0.0,0.17985878990921358
2044,48.626078981933986,48.792,20.98056,27.016239003984,0.62928,0.0,8832815.76,678993.11,0.0,0.16350799082655781
2045,50.57112214121135,48.792,20.98056,28.961282156004003,0.62928,0.0,8832815.76,15215047.0,0.0,0.14864362802414344
