year,demand_twh,gas_to_power_twh_th,gas_generation_twh_e,solar_generation_twh_e,storage_discharge_twh_e,unserved_twh,emissions_tco2,gas_shadow_usd_per_twh_th,carbon_shadow_usd_per_tco2,discount_factor
2025,23.08,40.66,17.4838,3.5477999526960007,0.638604,1.409796,6119330.0,8565000000.0,0.0,1.0
2026,24.0032,40.585107,17.45159601,5.912999952696001,0.638604,0.0,6108058.603499999,0.0,0.0,0.9090909090909091
2027,24.963328,37.317498,16.04652414,8.278199952696001,0.638604,0.0,5616283.448999999,0.0,0.0,0.8264462809917354
2028,25.961861120000002,34.139203,14.679857290000001,10.643399952696003,0.638604,0.0,5137950.0515,0.0,0.0,0.7513148009015775
2029,27.000335564800004,31.053794,13.35313142,13.008599952696004,0.638604,0.0,4673595.9969999995,0.0,0.0,0.6830134553650705
2030,28.080348987392,28.064988,12.06794484,15.373799952696004,0.638604,0.0,4223780.694,0.0,0.0,0.6209213230591549
2031,29.203562946887686,25.176649,10.82595907,17.738999952696005,0.638604,0.0,3789085.6744999997,0.0,0.0,0.5644739300537772
2032,30.371705464763192,22.392794,9.62890142,20.104199952696003,0.638604,0.0,3370115.497,0.0,0.0,0.5131581182307065
2033,31.58657368335372,19.717604,8.478569720000001,22.469399952696005,0.638604,0.0,2967499.4020000002,0.0,0.0,0.4665073802097331
2034,32.85003663068787,17.155425,7.37683275,24.834599952696006,0.638604,0.0,2581891.4625,0.0,0.0,0.42409761837248455
2035,34.16403809591539,14.710777,6.32563411,27.199799952696008,0.638604,0.0,2213971.9385,0.0,0.0,0.3855432894295314
2036,35.530599619752,13.814041,5.94003763,28.951958088216006,0.638604,0.0,2079013.1704999998,0.0,0.0,0.3504938994813922
2037,36.951823604542085,17.119213,7.361261589999999,28.951958088216006,0.638604,0.0,2576441.5564999995,0.0,0.0,0.3186308177103565
2038,38.42989654872377,20.556592,8.83933456,28.951958088216006,0.638604,0.0,3093767.0959999994,0.0,0.0,0.2896643797366877
2039,39.96709241067272,24.131466,10.37653038,28.951958088216006,0.638604,0.0,3631785.633,0.0,0.0,0.26333125430607973
2040,41.56577610709963,27.849335,11.97521405,28.951958088216006,0.638604,0.0,4191324.9175,0.0,0.0,0.23939204936916333
2041,43.228407151383614,31.715919,13.63784517,28.951958088216006,0.638604,0.0,4773245.8094999995,0.0,0.0,0.2176291357901485
2042,44.957543437438964,35.737166,15.36698138,28.951958088216006,0.638604,0.0,5378443.483,0.0,0.0,0.19784466890013497
2043,46.75584517493653,39.919263,17.16528309,28.951958088216006,0.638604,0.0,6007849.081499999,0.0,0.0,0.17985878990921358
2044,48.626078981933986,44.268644,19.03551692,28.951958088216006,0.638604,0.0,6662430.921999999,0.0,0.0,0.16350799082655781
2045,50.57112214121135,48.792,20.98056,28.951958088216006,0.638604,0.0,7343195.999999999,9862566.8,0.0,0.14864362802414344
