year,demand_twh,gas_to_power_twh_th,gas_generation_twh_e,solar_generation_twh_e,storage_discharge_twh_e,unserved_twh,emissions_tco2,gas_shadow_usd_per_twh_th,carbon_shadow_usd_per_tco2,discount_factor
2025,23.08,39.923256,17.16700008,5.913000000000001,0.0,0.0,6008450.028,0.0,0.0,1.0
2026,24.0032,40.66,17.4838,6.519400004448001,0.0,0.0,6119330.0,0.0,0.0,0.9090909090909091
2027,24.963328,40.66,17.4838,7.479528003414002,0.0,0.0,6119330.0,0.0,0.0,0.8264462809917354
2028,25.961861120000002,40.66,17.4838,8.478061126596002,0.0,0.0,6119330.0,0.0,0.0,0.7513148009015775
2029,27.000335564800004,38.148341,16.40378663,10.596549006756002,0.0,0.0,5741325.320499999,0.0,0.0,0.6830134553650705
2030,28.080348987392,40.66,17.4838,10.596549006756002,0.0,0.0,6119330.0,0.0,0.0,0.6209213230591549
2031,29.203562946887686,42.2864,18.183152,11.020410964188002,0.0,0.0,6364103.199999999,0.0,0.0,0.5644739300537772
2032,30.371705464763192,43.9128,18.882503999999997,11.489201480304002,0.0,0.0,6608876.3999999985,0.0,0.0,0.5131581182307065
2033,31.58657368335372,44.227314,19.01774502,12.568828643028004,0.0,0.0,6656210.756999999,0.0,0.0,0.4665073802097331
2034,32.85003663068787,47.1656,20.281208,12.568828643028004,0.0,0.0,7098422.8,0.0,0.0,0.42409761837248455
2035,34.16403809591539,44.635031,19.193063329999998,14.970974840928005,0.0,0.0,6717572.165499999,0.0,0.0,0.3855432894295314
2036,35.530599619752,47.813081,20.559624829999997,14.970974840928005,0.0,0.0,7195868.690499999,0.0,0.0,0.3504938994813922
2037,36.951823604542085,48.792,20.98056,15.971263640244004,0.0,0.0,7343195.999999999,0.0,0.0,0.3186308177103565
2038,38.42989654872377,48.633603,20.91244929,17.517447151164003,0.0,0.0,7319357.2515,0.0,0.0,0.2896643797366877
2039,39.96709241067272,41.207547,17.71924521,22.247847151164002,0.0,0.0,6201735.8235,0.0,0.0,0.26333125430607973
2040,41.56577610709963,44.925416,19.31792888,22.247847151164002,0.0,0.0,6761275.107999999,0.0,0.0,0.23939204936916333
2041,43.228407151383614,48.792,20.98056,22.247847151164002,0.0,0.0,7343195.999999999,0.0,0.0,0.2176291357901485
2042,44.957543437438964,41.812317,17.97929631,26.978247151164005,0.0,0.0,6292753.708499999,0.0,0.0,0.19784466890013497
2043,46.75584517493653,44.442619,19.11032617,27.645518983500004,0.0,0.0,6688614.1595,0.0,0.0,0.17985878990921358
2044,48.626078981933986,48.792,20.98056,27.645518983500004,0.0,0.0,7343195.999999999,0.0,0.0,0.16350799082655781
2045,50.57112214121135,48.792,20.98056,29.590562135520006,0.0,0.0,7343195.999999999,52025270.0,0.0,0.14864362802414344
