year,demand_twh,gas_to_power_twh_th,gas_generation_twh_e,solar_generation_twh_e,storage_discharge_twh_e,unserved_twh,emissions_tco2,gas_shadow_usd_per_twh_th,carbon_shadow_usd_per_tco2,discount_factor
2025,23.08,40.66,17.4838,1.4191200000000004,0.2554416,3.9216384,7360679.8,4292732100.0,0.0,1.0
2026,24.0032,40.66,17.4838,2.6017200000000007,0.4683096,3.4493704,7360679.8,3902483800.0,0.0,0.9090909090909091
2027,24.963328,40.66,17.4838,3.7843200000000006,0.6811776,3.0140304,7360679.8,3547712500.0,0.0,0.8264462809917354
2028,25.961861120000002,40.66,17.4838,4.966920000000001,0.8940456,2.6170955,7360679.8,3225193200.0,0.0,0.7513148009015775
2029,27.000335564800004,40.66,17.4838,6.149520000000001,1.1069136,2.260102,7360679.8,2931993800.0,0.0,0.6830134553650705
2030,28.080348987392,40.66,17.4838,7.3321200000000015,1.3197816,1.9446474,7360679.8,2665448900.0,0.0,0.6209213230591549
2031,29.203562946887686,42.2864,18.183152,8.514720000000002,1.5326496,0.97304135,7655106.992,2423135400.0,0.0,0.5644739300537772
2032,30.371705464763192,43.9128,18.882503999999997,9.697320000000001,1.7455176,0.046363865,7949534.1839999985,2202850300.0,0.0,0.5131581182307065
2033,31.58657368335372,44.095665,18.96113595,10.879920000000002,1.7455176,0.0,7982638.2349499995,0.0,0.0,0.4665073802097331
2034,32.85003663068787,44.283719,19.04199917,12.062520000000003,1.7455176,0.0,8016681.6505700005,0.0,0.0,0.42409761837248455
2035,34.16403809591539,44.589303,19.17340029,13.245120000000002,1.7455176,0.0,8072001.522089999,0.0,0.0,0.3855432894295314
2036,35.530599619752,45.017121,19.35736203,14.427720000000003,1.7455176,0.0,8149449.4146300005,0.0,0.0,0.3504938994813922
2037,36.951823604542085,45.57206,19.5959858,15.610320000000003,1.7455176,0.0,8249910.0218,0.0,0.0,0.3186308177103565
2038,38.42989654872377,46.259207,19.891459010000002,16.792920000000002,1.7455176,0.0,8374304.24321,0.0,0.0,0.2896643797366877
2039,39.96709241067272,47.083848,20.24605464,17.975520000000003,1.7455176,0.0,8523589.00344,0.0,0.0,0.26333125430607973
2040,41.56577610709963,48.051485,20.662138549999998,19.158120000000004,1.7455176,0.0,8698760.329549998,0.0,0.0,0.23939204936916333
2041,43.228407151383614,48.792,20.98056,20.340720000000005,1.9071272,0.0,8832815.76,9869425.4,0.0,0.2176291357901485
2042,44.957543437438964,48.792,20.98056,21.523320000000005,2.4536634,0.0,8832815.76,8824892.0,0.0,0.19784466890013497
2043,46.75584517493653,48.792,20.98056,22.705920000000006,3.0693652,0.0,8832815.76,8335111.0,0.0,0.17985878990921358
2044,48.626078981933986,48.792,20.98056,23.888520000000003,3.756999,0.0,8832815.76,7415045.4,0.0,0.16350799082655781
2045,50.57112214121135,48.792,20.98056,25.071120000000004,4.5128016,0.0066405412,8832815.76,638087280.0,0.0,0.14864362802414344
