year,demand_twh,gas_to_power_twh_th,gas_generation_twh_e,solar_generation_twh_e,storage_discharge_twh_e,unserved_twh,emissions_tco2,gas_shadow_usd_per_twh_th,carbon_shadow_usd_per_tco2,discount_factor
2025,23.08,40.66,17.4838,2.6017200000000007,0.4683096,2.5261704,7360679.8,4292732100.0,0.0,1.0
2026,24.0032,39.4402,16.959286,4.966920000000001,0.8940456,1.1829484,7139859.4059999995,3902483800.0,0.0,0.9090909090909091
2027,24.963328,38.256994,16.45050742,7.3321200000000015,1.1807006,0.0,6925663.62382,389540900.0,0.0,0.8264462809917354
2028,25.961861120000002,37.109284,15.95699212,8.824168411236002,1.1807006,0.0,6717893.68252,19299796.0,0.0,0.7513148009015775
2029,27.000335564800004,35.996006,15.47828258,10.341352394172002,1.1807006,0.0,6516356.9661799995,16676053.0,0.0,0.6830134553650705
2030,28.080348987392,34.916125,15.01393375,11.885714653788002,1.1807006,0.0,6320866.10875,14472475.0,0.0,0.6209213230591549
2031,29.203562946887686,33.868642,14.56351606,13.459346310708003,1.1807006,0.0,6131240.261259999,12335811.0,0.0,0.5644739300537772
2032,30.371705464763192,32.852582,14.12661026,15.064394635404005,1.1807006,0.0,5947302.91946,10561319.0,0.0,0.5131581182307065
2033,31.58657368335372,31.867005,13.70281215,16.703060966820004,1.1807006,0.0,5768883.91515,9084614.8,0.0,0.4665073802097331
2034,32.85003663068787,30.910995,13.29172785,18.377608210056003,1.1807006,0.0,5595817.42485,7641923.6,0.0,0.42409761837248455
2035,34.16403809591539,29.983665,12.892975949999999,20.090361569580008,1.1807006,0.0,5427942.874949999,2059819.8,0.0,0.3855432894295314
2036,35.530599619752,29.084155,12.50618665,21.843712404504007,1.1807006,0.0,5265104.57965,2289644.9,0.0,0.3504938994813922
2037,36.951823604542085,28.21163,12.1310009,23.640122131164006,1.1807006,0.0,5107151.3789,1575942.1,0.0,0.3186308177103565
2038,38.42989654872377,27.365281,11.76707083,25.482125155968006,1.1807006,0.0,4953936.81943,1394375.2,0.0,0.2896643797366877
2039,39.96709241067272,26.544323,11.41405889,27.37233296719201,1.1807006,0.0,4805318.7926900005,884618.9,0.0,0.26333125430607973
2040,41.56577610709963,25.747993,11.07163699,29.313438557904007,1.1807006,0.0,4661159.17279,1120723.7,0.0,0.23939204936916333
2041,43.228407151383614,24.975554,10.73948822,31.308218365428008,1.1807006,0.0,4521324.54062,990064.75,0.0,0.2176291357901485
2042,44.957543437438964,24.226287,10.417303409999999,33.35953946155201,1.1807006,0.0,4385684.735609999,873899.8,0.0,0.19784466890013497
2043,46.75584517493653,23.499498,10.10478414,35.470360474956,1.1807006,0.0,4254114.122939999,770673.4,0.0,0.17985878990921358
2044,48.626078981933986,22.794513,9.80164059,37.643737835340005,1.1807006,0.0,4126490.68839,678993.11,0.0,0.16350799082655781
2045,50.57112214121135,22.110678,9.50759154,39.882830054436006,1.1807006,0.0,4002696.0383399995,15215047.0,0.0,0.14864362802414344
