year,demand_twh,gas_to_power_twh_th,gas_generation_twh_e,solar_generation_twh_e,storage_discharge_twh_e,unserved_twh,emissions_tco2,gas_shadow_usd_per_twh_th,carbon_shadow_usd_per_tco2,discount_factor
2025,23.08,40.66,17.4838,4.7425423455,0.85365763,0.0,6119330.0,3710524200.0,0.0,1.0
2026,24.0032,39.4402,16.959286,5.969418652980001,1.0744954,0.0,5935750.1,3373203800.0,0.0,0.9090909090909091
2027,24.963328,38.256994,16.45050742,7.214254751880002,1.2985659,0.0,5757677.597,3066548900.0,0.0,0.8264462809917354
2028,25.961861120000002,37.109284,15.95699212,8.478702616140003,1.5261665,0.0,5584947.242,2787771800.0,0.0,0.7513148009015775
2029,27.000335564800004,35.996006,15.47828258,9.764451708120001,1.7576013,0.0,5417398.903,2534338000.0,0.0,0.6830134553650705
2030,28.080348987392,34.916125,15.01393375,11.073233235960002,1.993182,0.0,5254876.8125,2303943600.0,0.0,0.6209213230591549
2031,29.203562946887686,33.868642,14.56351606,12.406819325760003,2.2332275,0.0,5097230.620999999,2094494200.0,0.0,0.5644739300537772
2032,30.371705464763192,32.852582,14.12661026,13.767029762400004,2.4780654,0.0,4944313.591,1904085600.0,0.0,0.5131581182307065
2033,31.58657368335372,31.867005,13.70281215,15.155730097380003,2.7280314,0.0,4795984.2524999995,1730986900.0,0.0,0.4665073802097331
2034,32.85003663068787,30.910995,13.29172785,16.574837916600003,2.9834708,0.0,4652104.7475,1573624500.0,0.0,0.42409761837248455
2035,34.16403809591539,29.983665,12.892975949999999,18.026323786440003,3.2447383,0.0,4512541.5825,1430567700.0,0.0,0.3855432894295314
2036,35.530599619752,29.084155,12.50618665,19.512214328520006,3.5121986,0.0,4377165.3275,1300516100.0,0.0,0.3504938994813922
2037,36.951823604542085,28.21163,12.1310009,21.034595412720005,3.7862272,0.0,4245850.3149999995,1182287400.0,0.0,0.3186308177103565
2038,38.42989654872377,27.365281,11.76707083,22.595614877160003,4.0672107,0.0,4118474.7904999997,1074806700.0,0.0,0.2896643797366877
2039,39.96709241067272,26.544323,11.41405889,24.197485839480006,4.3555475,0.0,3994920.6115,977096990.0,0.0,0.26333125430607973
2040,41.56577610709963,25.747993,11.07163699,24.424635437424005,4.3964344,1.6730691,3875072.9464999996,2050392900.0,0.0,0.23939204936916333
2041,43.228407151383614,24.975554,10.73948822,24.424635437424005,4.3964344,3.6678489,3758820.877,1863993500.0,0.0,0.2176291357901485
2042,44.957543437438964,24.226287,10.417303409999999,24.424635437424005,4.3964344,5.71917,3646056.193499999,1694539600.0,0.0,0.19784466890013497
2043,46.75584517493653,23.499498,10.10478414,24.424635437424005,4.3964344,7.829991,3536674.4489999996,1540490500.0,0.0,0.17985878990921358
2044,48.626078981933986,22.794513,9.80164059,24.424635437424005,4.3964344,10.003368,3430574.2065,1400445900.0,0.0,0.16350799082655781
2045,50.57112214121135,22.110678,9.50759154,24.424635437424005,4.3964344,12.242461,3327657.0389999994,1273132700.0,0.0,0.14864362802414344
