year,demand_twh,gas_to_power_twh_th,gas_generation_twh_e,solar_generation_twh_e,storage_discharge_twh_e,unserved_twh,emissions_tco2,gas_shadow_usd_per_twh_th,carbon_shadow_usd_per_tco2,discount_factor
2025,23.08,40.66,17.4838,1.4191200000000004,0.2554416,3.9216384,7360679.8,4292732100.0,0.0,1.0
2026,24.0032,39.4402,16.959286,2.6017200000000007,0.4683096,3.9738844,7139859.4059999995,3902483800.0,0.0,0.9090909090909091
2027,24.963328,38.256994,16.45050742,3.7843200000000006,0.6811776,4.047323,6925663.62382,3547712500.0,0.0,0.8264462809917354
2028,25.961861120000002,37.109284,15.95699212,4.966920000000001,0.8940456,4.1439034,6717893.68252,3225193200.0,0.0,0.7513148009015775
2029,27.000335564800004,35.996006,15.47828258,6.149520000000001,1.1069136,4.2656194,6516356.9661799995,2931993800.0,0.0,0.6830134553650705
2030,28.080348987392,34.916125,15.01393375,7.3321200000000015,1.3197816,4.4145136,6320866.10875,2665448900.0,0.0,0.6209213230591549
2031,29.203562946887686,33.868642,14.56351606,8.514720000000002,1.5326496,4.5926773,6131240.261259999,2423135400.0,0.0,0.5644739300537772
2032,30.371705464763192,32.852582,14.12661026,9.697320000000001,1.7455176,4.8022576,5947302.91946,2202850300.0,0.0,0.5131581182307065
2033,31.58657368335372,31.867005,13.70281215,10.879920000000002,1.9583856,5.0454559,5768883.91515,2002591200.0,0.0,0.4665073802097331
2034,32.85003663068787,30.910995,13.29172785,12.062520000000003,2.1712536,5.3245352,5595817.42485,1820537500.0,0.0,0.42409761837248455
2035,34.16403809591539,29.983665,12.892975949999999,13.245120000000002,2.3841216,5.6418205,5427942.874949999,1655034100.0,0.0,0.3855432894295314
2036,35.530599619752,29.084155,12.50618665,14.427720000000003,2.5969896,5.9997034,5265104.57965,1504576400.0,0.0,0.3504938994813922
2037,36.951823604542085,28.21163,12.1310009,15.610320000000003,2.8098576,6.4006451,5107151.3789,1367796800.0,0.0,0.3186308177103565
2038,38.42989654872377,27.365281,11.76707083,16.792920000000002,3.0227256,6.8471801,4953936.81943,1243451600.0,0.0,0.2896643797366877
2039,39.96709241067272,26.544323,11.41405889,17.975520000000003,3.2355936,7.3419199,4805318.7926900005,1130410500.0,0.0,0.26333125430607973
2040,41.56577610709963,25.747993,11.07163699,19.158120000000004,3.4484616,7.8875575,4661159.17279,1027645900.0,0.0,0.23939204936916333
2041,43.228407151383614,24.975554,10.73948822,20.340720000000005,3.6613296,8.4868693,4521324.54062,934223590.0,0.0,0.2176291357901485
2042,44.957543437438964,24.226287,10.417303409999999,21.523320000000005,3.8741976,9.1427224,4385684.735609999,849294170.0,0.0,0.19784466890013497
2043,46.75584517493653,23.499498,10.10478414,22.705920000000006,4.0870656,9.8580754,4254114.122939999,772085610.0,0.0,0.17985878990921358
2044,48.626078981933986,22.794513,9.80164059,23.888520000000003,4.2999336,10.635985,4126490.68839,701896010.0,0.0,0.16350799082655781
2045,50.57112214121135,22.110678,9.50759154,25.071120000000004,4.5128016,11.479609,4002696.0383399995,638087280.0,0.0,0.14864362802414344
