year,demand_twh,gas_to_power_twh_th,gas_generation_twh_e,solar_generation_twh_e,storage_discharge_twh_e,unserved_twh,emissions_tco2,gas_shadow_usd_per_twh_th,carbon_shadow_usd_per_tco2,discount_factor
2025,23.08,40.66,17.4838,3.5478000000000005,0.638604,1.409796,6119330.0,8565000000.0,0.0,1.0
2026,24.0032,39.4402,16.959286,5.913000000000001,1.06434,0.066574,5935750.1,7786363600.0,0.0,0.9090909090909091
2027,24.963328,36.327414,15.620788019999999,8.278200000000002,1.06434,0.0,5467275.806999999,0.0,0.0,0.8264462809917354
2028,25.961861120000002,33.149119,14.25412117,10.643400000000002,1.06434,0.0,4988942.4095,0.0,0.0,0.7513148009015775
2029,27.000335564800004,30.063711,12.92739573,13.008600000000003,1.06434,0.0,4524588.5055,0.0,0.0,0.6830134553650705
2030,28.080348987392,27.074905,11.642209150000001,15.373800000000003,1.06434,0.0,4074773.2024999997,0.0,0.0,0.6209213230591549
2031,29.203562946887686,24.186565,10.40022295,17.739000000000004,1.06434,0.0,3640078.0324999997,0.0,0.0,0.5644739300537772
2032,30.371705464763192,21.40271,9.2031653,20.104200000000002,1.06434,0.0,3221107.855,0.0,0.0,0.5131581182307065
2033,31.58657368335372,18.72752,8.0528336,22.469400000000004,1.06434,0.0,2818491.76,0.0,0.0,0.4665073802097331
2034,32.85003663068787,16.165341,6.95109663,24.834600000000005,1.06434,0.0,2432883.8205,0.0,0.0,0.42409761837248455
2035,34.16403809591539,13.720693,5.89989799,27.199800000000007,1.06434,0.0,2064964.2965,0.0,0.0,0.3855432894295314
2036,35.530599619752,11.398278,4.90125954,29.565000023652008,1.06434,0.0,1715440.839,0.0,0.0,0.3504938994813922
2037,36.951823604542085,9.2029851,3.9572835929999997,31.93020002365201,1.06434,0.0,1385049.25755,0.0,0.0,0.3186308177103565
2038,38.42989654872377,7.139899,3.07015657,34.29540002365201,1.06434,0.0,1074554.7995,0.0,0.0,0.2896643797366877
2039,39.96709241067272,5.2143079,2.242152397,36.66060002365201,1.06434,0.0,784753.3389499999,0.0,0.0,0.26333125430607973
2040,41.56577610709963,3.4317119,1.4756361169999999,39.02580002365202,1.06434,0.0,516472.6409499999,0.0,0.0,0.23939204936916333
2041,43.228407151383614,5.0345966,2.164876538,39.99919062144601,1.06434,0.0,757706.7883,0.0,0.0,0.2176291357901485
2042,44.957543437438964,9.0558438,3.8940128339999998,39.99919062144601,1.06434,0.0,1362904.4918999998,0.0,0.0,0.19784466890013497
2043,46.75584517493653,13.237941,5.692314629999999,39.99919062144601,1.06434,0.0,1992310.1204999995,0.0,0.0,0.17985878990921358
2044,48.626078981933986,17.587322,7.56254846,39.99919062144601,1.06434,0.0,2646891.9609999997,0.0,0.0,0.16350799082655781
2045,50.57112214121135,22.110678,9.50759154,39.99919062144601,1.06434,0.0,3327657.0389999994,25845548.0,0.0,0.14864362802414344
