year,demand_twh,gas_avail_twh_th,gas_to_power_twh_th,gas_generation_twh_e,solar_generation_twh_e,storage_discharge_twh_e,unserved_twh,emissions_tco2,gas_shadow_usd_per_twh_th,carbon_shadow_usd_per_tco2,discount_factor,solar_capacity_mw,gas_capacity_mw,storage_capacity_mwh,subsidy_per_mw_usd
2025,23.08,40.66,40.66,17.4838,0.23652000000000004,0.0425736,5.3171064,7360679.8,4292732100.0,0.0,1.0,100.0,13600.0,270.30857,0.0
2026,24.0032,40.66,40.66,17.4838,1.1062568549160001,0.19912623,5.2140169,7360679.8,3902483800.0,0.0,0.9090909090909091,467.72233,13600.0,1264.29353,0.0
2027,24.963328,40.66,40.66,17.4838,5.836656854916002,1.0505982,0.59227292,7360679.8,3547712500.0,0.0,0.8264462809917354,2467.72233,13600.0,6670.46493,0.0
2028,25.961861120000002,40.66,40.66,17.4838,7.184797581348001,1.2932636,0.0,7360679.8,3037639300.0,0.0,0.7513148009015775,3037.71249,13600.0,8211.19713,0.0
2029,27.000335564800004,40.66,40.66,17.4838,8.064860662944001,1.4516749,0.0,7360679.8,2654469700.0,0.0,0.6830134553650705,3409.8007199999997,13600.0,9216.983530000001,0.0
2030,28.080348987392,40.66,40.66,17.4838,8.980126269696001,1.6164227,0.0,7360679.8,2327282100.0,0.0,0.6209213230591549,3796.7724799999996,13600.0,10263.001330000001,0.0
2031,29.203562946887686,40.66,40.66,17.4838,9.932002499772002,1.7877604,0.0,7360679.8,2014842800.0,0.0,0.5644739300537772,4199.22311,13600.0,11350.85993,0.0
2032,30.371705464763192,40.66,40.66,17.4838,10.921953790404002,1.9659517,0.0,7360679.8,1751813200.0,0.0,0.5131581182307065,4617.77177,13600.0,12482.23283,0.0
2033,31.58657368335372,40.66,40.66,17.4838,11.951503117524004,2.1512706,0.0,7360679.8,1529206100.0,0.0,0.4665073802097331,5053.062370000001,13600.0,13658.860630000001,0.0
2034,32.85003663068787,40.66,40.66,17.4838,13.022234431920003,2.3440022,0.0,7360679.8,1314403600.0,0.0,0.42409761837248455,5505.7646,13600.0,14882.553530000001,0.0
2035,34.16403809591539,40.66,40.66,17.4838,14.135795000784002,2.5444431,0.0,7360679.8,596172620.0,0.0,0.3855432894295314,5976.57492,12920.0,16155.194130000002,0.0
2036,35.530599619752,40.66,40.66,17.4838,15.293897985780003,2.7529016,0.0,7360679.8,593159750.0,0.0,0.3504938994813922,6466.21765,12240.0,17478.74043,0.0
2037,36.951823604542085,40.66,40.66,17.4838,16.498325092068,2.9696985,0.0,7360679.8,477137860.0,0.0,0.3186308177103565,6975.4460899999995,11560.0,18855.22853,0.0
2038,38.42989654872377,40.66,40.66,17.4838,17.750929288284002,3.1951673,0.0,7360679.8,429146830.0,0.0,0.2896643797366877,7505.043669999999,10880.0,20286.776130000002,0.0
2039,39.96709241067272,40.66,40.66,17.4838,19.05363764478,3.4296548,0.0,7360679.8,343177400.0,0.0,0.26333125430607973,8055.825149999999,10200.0,21775.585730000003,0.0
2040,41.56577610709963,40.66,40.66,17.4838,20.408454337428,3.6735218,0.0,7360679.8,350626290.0,0.0,0.23939204936916333,8628.637889999998,9520.0,23323.947630000002,0.0
2041,43.228407151383614,40.66,40.66,17.4838,21.817463698727998,3.9271435,0.0,7360679.8,315201570.0,0.0,0.2176291357901485,9224.363139999998,8840.0,24934.24403,0.0
2042,44.957543437438964,40.66,40.66,17.4838,23.28283343448,4.19091,0.0,7360679.8,659055670.0,0.0,0.19784466890013497,9843.917399999998,8160.0,26608.95233,0.0
2043,46.75584517493653,40.66,40.66,17.4838,23.28283343448,4.19091,1.7983017,7360679.8,772085610.0,0.0,0.17985878990921358,9843.917399999998,7480.0,26608.95233,0.0
2044,48.626078981933986,40.66,40.66,17.4838,23.28283343448,4.19091,3.6685355,7360679.8,701896010.0,0.0,0.16350799082655781,9843.917399999998,6800.0,26608.95233,0.0
2045,50.57112214121135,40.66,40.66,17.4838,23.28283343448,4.19091,5.6135787,7360679.8,638087280.0,0.0,0.14864362802414344,9843.917399999998,6120.0,26608.95233,0.0
