demand_level,ndc_label,ndc_scenario,financing_arm,status,npv_total_cost_usd,cumulative_unserved_twh,cumulative_emissions_tco2,horizon_reliability,solar_total_mw,budget_shadow_usd_per_usd,budget_utilisation,budget_realised_spend_usd,solar_eaas_total_mw,solar_public_total_mw,carbon_shadow_mean,carbon_binding_years,gas_shadow_mean,base_demand_twh,capital_case,required_margin
served,ndc2_unconditional,ndc2_unconditional,public_only,optimal,27330144482.13196,9.84332364,130800016.65706995,0.9866594366917305,12742.570650000001,,,,0.0,12742.570650000001,6990.8143285714295,20,204415814.2857143,23.08,moderate,1.1
served,ndc2_unconditional,ndc2_unconditional,eaas,optimal,10409305219.500608,0.0,130800016.65706995,1.0,14815.97613,,,,6537.25388,8278.722249999999,43.67579362380952,20,1405829.3333333333,23.08,moderate,1.1
latent_low,ndc2_unconditional,ndc2_unconditional,public_only,optimal,1719468561417.454,314.27673109999995,130800016.65706995,0.744460377430219,21314.44931,,,,0.0,21314.44931,9613.362804761904,20,204415814.2857143,38.47,moderate,1.1
latent_low,ndc2_unconditional,ndc2_unconditional,eaas,optimal,354472733862.4499,36.50403662000001,130800016.65706995,0.9703184269879016,27183.284340000002,,,,26004.04444,1179.2399,3600.9114811476184,20,204415814.2857143,38.47,moderate,1.1
latent_high,ndc2_unconditional,ndc2_unconditional,public_only,optimal,6599245441738.696,1543.8122239999998,130800016.65706995,0.37227857640241624,21314.44931,,,,0.0,21314.44931,9613.362804761904,20,204415814.2857143,76.93,moderate,1.1
latent_high,ndc2_unconditional,ndc2_unconditional,eaas,optimal,4317345205209.063,917.6491320000001,130800016.65706995,0.6268794801937472,42000.0,,,,42000.0,0.0,9613.362804761904,20,204415814.2857143,76.93,moderate,1.1
served,ndc2_conditional,ndc2_conditional,public_only,optimal,11771508237.637009,0.0,94109621.83293998,1.0,16863.033020000003,,,,0.0,16863.033020000003,43.67579362380952,20,1405829.3333333333,23.08,expansion,1.1
served,ndc2_conditional,ndc2_conditional,eaas,optimal,11771508237.637009,0.0,94109621.83293998,1.0,16863.033020000003,,,,5480.0075799999995,11383.025440000001,43.67579362380952,20,1405829.3333333333,23.08,expansion,1.05
latent_low,ndc2_conditional,ndc2_conditional,public_only,optimal,1491474859874.8428,246.77295788,94109621.83293998,0.7993479558719908,25274.0658,,,,0.0,25274.0658,9326.662804761905,20,204415814.2857143,38.47,expansion,1.1
latent_low,ndc2_conditional,ndc2_conditional,eaas,optimal,443850387688.2372,48.6012962,94109621.83293998,0.9604820985509158,28870.341370000006,,,,23503.94965,5366.39172,4298.237758671427,20,204415814.2857143,38.47,expansion,1.05
