demand_case,demand_growth_rate,gas_case,financing_arm,policy_label,status,npv_total_cost_usd,cumulative_unserved_twh,cumulative_emissions_tco2,horizon_reliability,solar_total_mw,solar_eaas_total_mw,solar_public_total_mw,gas_shadow_mean,gas_shadow_binding_years,carbon_shadow_mean,carbon_binding_years,budget_shadow,budget_utilisation
low,0.025,baseline,public_only,no_policy,optimal,7821453235.935436,0.0,154574275.79999998,1.0,8097.779199999999,0.0,8097.779199999999,9312458.193333335,21,0.0,0,,
low,0.025,baseline,eaas,no_policy,optimal,7821453235.935436,0.0,154574275.79999998,1.0,8097.779199999999,2414.9408,5682.8384,9312458.193333335,21,0.0,0,,
low,0.025,upside,public_only,no_policy,optimal,7453465062.766178,0.0,173558231.50255996,1.0,6619.35877,0.0,6619.35877,9312458.183809526,16,0.0,0,,
low,0.025,upside,eaas,no_policy,optimal,7453465062.766178,0.0,173558231.50255996,1.0,6619.35877,1450.81338,5168.54539,9312458.183809526,16,0.0,0,,
low,0.025,downside,public_only,no_policy,optimal,8910057643.131647,0.0,115935487.85229999,1.0,11470.09799,0.0,11470.09799,9312458.193333335,21,0.0,0,,
low,0.025,downside,eaas,no_policy,optimal,8910057643.131647,0.0,115935487.85229999,1.0,11470.09799,4862.69261,6607.405379999998,9312458.193333335,21,0.0,0,,
low,0.025,shock_recovery,public_only,no_policy,optimal,7800503147.253279,0.0,162596502.21843997,1.0,6619.35876,0.0,6619.35876,9312458.193333335,14,0.0,0,,
low,0.025,shock_recovery,eaas,no_policy,optimal,7800503147.253279,0.0,162596502.21843997,1.0,6619.35876,1523.9089900000001,5095.44977,9312458.193333335,14,0.0,0,,
baseline,0.04,baseline,public_only,no_policy,optimal,9527136237.188107,0.0,154574275.79999998,1.0,13489.228009999999,0.0,13489.228009999999,9312458.193333335,21,0.0,0,,
baseline,0.04,baseline,eaas,no_policy,optimal,9527136237.188107,0.0,154574275.79999998,1.0,13489.228009999999,6522.185869999999,6967.04214,9312458.193333335,21,0.0,0,,
baseline,0.04,upside,public_only,no_policy,optimal,9152171332.941607,0.0,173712043.28,1.0,12010.807569999999,0.0,12010.807569999999,9312458.193333335,21,0.0,0,,
baseline,0.04,upside,eaas,no_policy,optimal,9152171332.941607,0.0,173712043.28,1.0,12010.807569999999,5391.69176,6619.115809999998,9312458.193333335,21,0.0,0,,
baseline,0.04,downside,public_only,no_policy,optimal,11507693668.356066,0.0,115935487.85229999,1.0,16477.02232,0.0,16477.02232,31019660.71428571,21,0.0,0,,
baseline,0.04,downside,eaas,no_policy,optimal,10615740647.465158,0.0,115935487.85229999,1.0,16861.54682,5863.73355,10997.813269999999,9312458.193333335,21,0.0,0,,
baseline,0.04,shock_recovery,public_only,no_policy,optimal,9475448106.582363,0.0,165464044.02985,1.0,12010.807581,0.0,12010.807581,9312458.193333335,21,0.0,0,,
baseline,0.04,shock_recovery,eaas,no_policy,optimal,9475448106.582365,0.0,165464044.02985,1.0,12010.807581,5474.2978969999995,6536.509684,9312458.193333335,21,0.0,0,,
high,0.06,baseline,public_only,no_policy,optimal,27710496373.687294,7.627936399999999,154574275.79999998,0.991736001230916,17640.14864,0.0,17640.14864,921323970.9523809,21,0.0,0,,
high,0.06,baseline,eaas,no_policy,optimal,12305107000.643522,0.0,154574275.79999998,1.0,23403.638959999997,14360.038190000003,9043.60077,9312458.193333335,21,0.0,0,,
high,0.06,upside,public_only,no_policy,optimal,14338031893.317543,0.0,173712043.28,1.0,20619.19786,0.0,20619.19786,60892243.88571428,21,0.0,0,,
high,0.06,upside,eaas,no_policy,optimal,11930142092.487688,0.0,173712043.28,1.0,21925.21851,14053.101180000001,7872.117329999999,9312458.193333335,21,0.0,0,,
high,0.06,downside,public_only,no_policy,optimal,210200843765.39725,42.4769458,115935487.85229999,0.9539810756935979,18035.6786,0.0,18035.6786,1577112430.0,21,0.0,0,,
high,0.06,downside,eaas,no_policy,optimal,13393711373.816492,0.0,115935487.85229999,1.0,26775.957609999998,16016.082360000002,10759.87525,9312458.193333335,21,0.0,0,,
high,0.06,shock_recovery,public_only,no_policy,optimal,20343237858.027397,2.8574578,165464044.02985,0.9969042704994355,17480.58759,0.0,17480.58759,484054722.47619045,21,0.0,0,,
high,0.06,shock_recovery,eaas,no_policy,optimal,12253418849.33431,0.0,165464044.02985,1.0,21925.21846,13509.495320000002,8415.72314,9312458.193333335,21,0.0,0,,
low,0.025,baseline,public_only,ndc3_unconditional,optimal,529422050055.0698,71.52068574,12486073.336661,0.8860028216636383,11776.3079,0.0,11776.3079,204415814.2857143,1,7815.82470952381,20,,
low,0.025,baseline,eaas,ndc3_unconditional,optimal,67756940598.13678,6.162477,12352700.570341,0.9901775971204114,13959.881329999998,5491.089,8468.792329999998,0.0,0,2834.051558385714,20,,
low,0.025,upside,public_only,ndc3_unconditional,optimal,529422050055.0698,71.52068574,12486073.336661,0.8860028216636383,11776.3079,0.0,11776.3079,204415814.2857143,1,7815.82470952381,20,,
low,0.025,upside,eaas,ndc3_unconditional,optimal,67756940598.13678,6.162477,12352700.570341,0.9901775971204114,13959.881329999998,5491.089,8468.792329999998,0.0,0,2834.051558385714,20,,
low,0.025,downside,public_only,ndc3_unconditional,optimal,529422050055.0698,71.52068574,12486073.336661,0.8860028216636383,11776.3079,0.0,11776.3079,204415814.2857143,1,7815.82470952381,20,,
low,0.025,downside,eaas,ndc3_unconditional,optimal,67756940598.13678,6.162477,12352700.570341,0.9901775971204114,13959.881329999998,5491.089,8468.792329999998,0.0,0,2834.051558385714,20,,
low,0.025,shock_recovery,public_only,ndc3_unconditional,optimal,529422050055.0698,71.52068574,12486073.336661,0.8860028216636383,11776.3079,0.0,11776.3079,204415814.2857143,1,7815.82470952381,20,,
low,0.025,shock_recovery,eaas,ndc3_unconditional,optimal,67756940598.13678,6.162477,12352700.570341,0.9901775971204114,13959.881329999998,5491.089,8468.792329999998,0.0,0,2834.051558385714,20,,
baseline,0.04,baseline,public_only,ndc3_unconditional,optimal,754545849682.5966,112.2169034,12486073.336661,0.8479134935701802,14988.85647,0.0,14988.85647,204415814.2857143,1,8117.753376190476,20,,
baseline,0.04,baseline,eaas,ndc3_unconditional,optimal,86699901758.85538,8.3308055,12352700.570341,0.9887093382025962,19351.33018,10106.473890000001,9244.85629,0.0,0,2834.051558385714,20,,
baseline,0.04,upside,public_only,ndc3_unconditional,optimal,754545849682.5966,112.2169034,12486073.336661,0.8479134935701802,14988.85647,0.0,14988.85647,204415814.2857143,1,8117.753376190476,20,,
baseline,0.04,upside,eaas,ndc3_unconditional,optimal,86699901758.85538,8.3308055,12352700.570341,0.9887093382025962,19351.33018,10106.473890000001,9244.85629,0.0,0,2834.051558385714,20,,
baseline,0.04,downside,public_only,ndc3_unconditional,optimal,754545849682.5966,112.2169034,12486073.336661,0.8479134935701802,14988.85647,0.0,14988.85647,204415814.2857143,1,8117.753376190476,20,,
baseline,0.04,downside,eaas,ndc3_unconditional,optimal,86699901758.85538,8.3308055,12352700.570341,0.9887093382025962,19351.33018,10106.473890000001,9244.85629,0.0,0,2834.051558385714,20,,
baseline,0.04,shock_recovery,public_only,ndc3_unconditional,optimal,754545849682.5966,112.2169034,12486073.336661,0.8479134935701802,14988.85647,0.0,14988.85647,204415814.2857143,1,8117.753376190476,20,,
baseline,0.04,shock_recovery,eaas,ndc3_unconditional,optimal,86699901758.85538,8.3308055,12352700.570341,0.9887093382025962,19351.33018,10106.473890000001,9244.85629,0.0,0,2834.051558385714,20,,
high,0.06,baseline,public_only,ndc3_unconditional,optimal,1142758745599.5857,205.0070047,12486073.336661,0.777898300975031,19318.642640000002,0.0,19318.642640000002,204415814.2857143,1,8729.447757142856,20,,
high,0.06,baseline,eaas,ndc3_unconditional,optimal,113491172765.14078,11.2885537,12352700.570341,0.9877701400497336,28976.288989999994,18071.379780000003,10904.90921,0.0,0,2920.195119242857,20,,
high,0.06,upside,public_only,ndc3_unconditional,optimal,1142758745599.5857,205.0070047,12486073.336661,0.777898300975031,19318.642640000002,0.0,19318.642640000002,204415814.2857143,1,8729.447757142856,20,,
high,0.06,upside,eaas,ndc3_unconditional,optimal,113491172765.14078,11.2885537,12352700.570341,0.9877701400497336,28976.288989999994,18071.379780000003,10904.90921,0.0,0,2920.195119242857,20,,
high,0.06,downside,public_only,ndc3_unconditional,optimal,1142758745599.5857,205.0070047,12486073.336661,0.777898300975031,19318.642640000002,0.0,19318.642640000002,204415814.2857143,1,8729.447757142856,20,,
high,0.06,downside,eaas,ndc3_unconditional,optimal,113491172765.14078,11.2885537,12352700.570341,0.9877701400497336,28976.288989999994,18071.379780000003,10904.90921,0.0,0,2920.195119242857,20,,
high,0.06,shock_recovery,public_only,ndc3_unconditional,optimal,1142758745599.5857,205.0070047,12486073.336661,0.777898300975031,19318.642640000002,0.0,19318.642640000002,204415814.2857143,1,8729.447757142856,20,,
high,0.06,shock_recovery,eaas,ndc3_unconditional,optimal,113491172765.14078,11.2885537,12352700.570341,0.9877701400497336,28976.288989999994,18071.379780000003,10904.90921,0.0,0,2920.195119242857,20,,
