demand_case,demand_growth_rate,gas_case,policy_label,pub_cost_usd,eaas_cost_usd,eaas_value_usd,eaas_value_pct,eaas_solar_mw,eaas_strictly_better,eaas_value_monotone_increasing
baseline,0.04,baseline,ndc2_unconditional,26246500593.20632,10409305219.500608,15837195373.705713,60.34021685087052,6537.25388,True,True
baseline,0.04,baseline,ndc3_unconditional,37074538687.98599,10464143433.62477,26610395254.36122,71.77539140354651,6520.02213,True,True
baseline,0.04,baseline,no_policy,9312130762.041323,9312130762.041323,0.0,0.0,5627.658,False,True
baseline,0.04,downside,ndc2_unconditional,61038855331.03359,10620593341.490234,50418261989.54336,82.60027439261222,5606.63651,True,True
baseline,0.04,downside,ndc3_unconditional,61536596979.61384,10621981318.006851,50914615661.60699,82.73875735844516,5595.70217,True,True
baseline,0.04,downside,no_policy,15542662747.4505,10292358757.715538,5250303989.734962,33.77995183351825,5294.48351,True,True
baseline,0.04,shock_recovery,ndc2_unconditional,26246500593.20632,10409305219.500608,15837195373.705713,60.34021685087052,6537.25388,True,True
baseline,0.04,shock_recovery,ndc3_unconditional,37074538687.98599,10464143433.62477,26610395254.36122,71.77539140354651,6520.02213,True,True
baseline,0.04,shock_recovery,no_policy,9639604211.02234,9639604211.022343,-1.9073486328125e-06,-1.978658657615377e-14,6139.587079999999,False,False
baseline,0.04,upside,ndc2_unconditional,26246500593.20632,10409305219.500608,15837195373.705713,60.34021685087052,6537.25388,True,True
baseline,0.04,upside,ndc3_unconditional,37074538687.98599,10464143433.62477,26610395254.36122,71.77539140354651,6520.02213,True,True
baseline,0.04,upside,no_policy,8872976864.825691,8872976864.825691,0.0,0.0,3877.2738400000003,False,True
high,0.06,baseline,ndc2_unconditional,363746966677.9767,13187275970.858618,350559690707.11804,96.37460180319984,10136.930540000001,True,True
high,0.06,baseline,ndc3_unconditional,376856000634.1202,13242114180.212662,363613886453.90753,96.48616071976281,15810.240730000003,True,True
high,0.06,baseline,no_policy,161198711707.74597,12090101537.82184,149108610169.92413,92.4998770711386,13625.03927,True,True
high,0.06,downside,ndc2_unconditional,404295901402.3508,13398564082.544193,390897337319.80664,96.68595104821256,17000.64758,True,True
high,0.06,downside,ndc3_unconditional,405019159998.39,13399952052.904842,391619207945.48517,96.69152638286097,16975.997629999998,True,True
high,0.06,downside,no_policy,347807528055.5896,13070329482.744566,334737198572.84503,96.24207976296144,16406.36653,True,True
high,0.06,shock_recovery,ndc2_unconditional,363746966677.9767,13187275970.858618,350559690707.11804,96.37460180319984,10136.930540000001,True,True
high,0.06,shock_recovery,ndc3_unconditional,376856000634.1202,13242114180.212662,363613886453.90753,96.48616071976281,15810.240730000003,True,True
high,0.06,shock_recovery,no_policy,218810762045.19095,12417574953.113104,206393187092.07785,94.32497065635715,13537.965650000002,True,False
high,0.06,upside,ndc2_unconditional,363746966677.9767,13187275970.858618,350559690707.11804,96.37460180319984,10136.930540000001,True,True
high,0.06,upside,ndc3_unconditional,376856000634.1202,13242114180.212662,363613886453.90753,96.48616071976281,15810.240730000003,True,True
high,0.06,upside,no_policy,84255575166.5182,11650947629.392756,72604627537.12544,86.17189710429672,9792.57443,True,True
low,0.025,baseline,ndc2_unconditional,8703622222.364412,8703622222.364412,0.0,0.0,3012.9946900000004,False,True
low,0.025,baseline,ndc3_unconditional,8758460443.13243,8758460443.13243,0.0,0.0,3250.6837100000002,False,True
low,0.025,baseline,no_policy,7606447761.38441,7606447761.38441,0.0,0.0,1837.7314000000001,False,True
low,0.025,downside,ndc2_unconditional,8914910347.872835,8914910347.872833,1.9073486328125e-06,2.1395039976679157e-14,4728.97156,False,True
low,0.025,downside,ndc3_unconditional,8916298328.667473,8916298328.667473,0.0,0.0,4725.32582,False,True
low,0.025,downside,no_policy,8586675764.677061,8586675764.677061,0.0,0.0,4482.15628,False,True
low,0.025,shock_recovery,ndc2_unconditional,8703622222.364412,8703622222.364412,0.0,0.0,3012.9946900000004,False,True
low,0.025,shock_recovery,ndc3_unconditional,8758460443.13243,8758460443.13243,0.0,0.0,3250.6837100000002,False,True
low,0.025,shock_recovery,no_policy,7933921211.645229,7933921211.645229,0.0,0.0,2080.93618,False,False
low,0.025,upside,ndc2_unconditional,8703622222.364412,8703622222.364412,0.0,0.0,3012.9946900000004,False,True
low,0.025,upside,ndc3_unconditional,8758460443.13243,8758460443.13243,0.0,0.0,3250.6837100000002,False,True
low,0.025,upside,no_policy,7167293864.916222,7167293864.916222,0.0,0.0,517.28024,False,True
