demand_case,demand_growth_rate,gas_case,financing_arm,policy_label,npv_cost_usd,gas_premium_usd,gas_premium_pct,status
baseline,0.04,baseline,eaas,ndc3_unconditional,86699901758.85538,0.0,0.0,optimal
baseline,0.04,upside,eaas,ndc3_unconditional,86699901758.85538,0.0,0.0,optimal
baseline,0.04,downside,eaas,ndc3_unconditional,86699901758.85538,0.0,0.0,optimal
baseline,0.04,shock_recovery,eaas,ndc3_unconditional,86699901758.85538,0.0,0.0,optimal
baseline,0.04,baseline,eaas,no_policy,9527136237.188107,0.0,0.0,optimal
baseline,0.04,upside,eaas,no_policy,9152171332.941607,-374964904.2465,-3.9357567154636315,optimal
baseline,0.04,downside,eaas,no_policy,10615740647.465158,1088604410.277052,11.426355026055015,optimal
baseline,0.04,shock_recovery,eaas,no_policy,9475448106.582365,-51688130.6057415,-0.5425358609230619,optimal
baseline,0.04,baseline,public_only,ndc3_unconditional,754545849682.5966,0.0,0.0,optimal
baseline,0.04,upside,public_only,ndc3_unconditional,754545849682.5966,0.0,0.0,optimal
baseline,0.04,downside,public_only,ndc3_unconditional,754545849682.5966,0.0,0.0,optimal
baseline,0.04,shock_recovery,public_only,ndc3_unconditional,754545849682.5966,0.0,0.0,optimal
baseline,0.04,baseline,public_only,no_policy,9527136237.188107,0.0,0.0,optimal
baseline,0.04,upside,public_only,no_policy,9152171332.941607,-374964904.2465,-3.9357567154636315,optimal
baseline,0.04,downside,public_only,no_policy,11507693668.356066,1980557431.1679592,20.788591470300126,optimal
baseline,0.04,shock_recovery,public_only,no_policy,9475448106.582363,-51688130.60574341,-0.5425358609230819,optimal
high,0.06,baseline,eaas,ndc3_unconditional,113491172765.14078,0.0,0.0,optimal
high,0.06,upside,eaas,ndc3_unconditional,113491172765.14078,0.0,0.0,optimal
high,0.06,downside,eaas,ndc3_unconditional,113491172765.14078,0.0,0.0,optimal
high,0.06,shock_recovery,eaas,ndc3_unconditional,113491172765.14078,0.0,0.0,optimal
high,0.06,baseline,eaas,no_policy,12305107000.643522,0.0,0.0,optimal
high,0.06,upside,eaas,no_policy,11930142092.487688,-374964908.1558342,-3.047229968306855,optimal
high,0.06,downside,eaas,no_policy,13393711373.816492,1088604373.1729698,8.846768850657202,optimal
high,0.06,shock_recovery,eaas,no_policy,12253418849.33431,-51688151.30921173,-0.4200544644309764,optimal
high,0.06,baseline,public_only,ndc3_unconditional,1142758745599.5857,0.0,0.0,optimal
high,0.06,upside,public_only,ndc3_unconditional,1142758745599.5857,0.0,0.0,optimal
high,0.06,downside,public_only,ndc3_unconditional,1142758745599.5857,0.0,0.0,optimal
high,0.06,shock_recovery,public_only,ndc3_unconditional,1142758745599.5857,0.0,0.0,optimal
high,0.06,baseline,public_only,no_policy,27710496373.687294,0.0,0.0,optimal
high,0.06,upside,public_only,no_policy,14338031893.317543,-13372464480.369751,-48.2577587208711,optimal
high,0.06,downside,public_only,no_policy,210200843765.39725,182490347391.70996,658.5603697990593,optimal
high,0.06,shock_recovery,public_only,no_policy,20343237858.027397,-7367258515.659897,-26.58652669482865,optimal
low,0.025,baseline,eaas,ndc3_unconditional,67756940598.13678,0.0,0.0,optimal
low,0.025,upside,eaas,ndc3_unconditional,67756940598.13678,0.0,0.0,optimal
low,0.025,downside,eaas,ndc3_unconditional,67756940598.13678,0.0,0.0,optimal
low,0.025,shock_recovery,eaas,ndc3_unconditional,67756940598.13678,0.0,0.0,optimal
low,0.025,baseline,eaas,no_policy,7821453235.935436,0.0,0.0,optimal
low,0.025,upside,eaas,no_policy,7453465062.766178,-367988173.1692581,-4.704856783884448,optimal
low,0.025,downside,eaas,no_policy,8910057643.131647,1088604407.1962109,13.918185973351473,optimal
low,0.025,shock_recovery,eaas,no_policy,7800503147.253279,-20950088.682157516,-0.26785417044882337,optimal
low,0.025,baseline,public_only,ndc3_unconditional,529422050055.0698,0.0,0.0,optimal
low,0.025,upside,public_only,ndc3_unconditional,529422050055.0698,0.0,0.0,optimal
low,0.025,downside,public_only,ndc3_unconditional,529422050055.0698,0.0,0.0,optimal
low,0.025,shock_recovery,public_only,ndc3_unconditional,529422050055.0698,0.0,0.0,optimal
low,0.025,baseline,public_only,no_policy,7821453235.935436,0.0,0.0,optimal
low,0.025,upside,public_only,no_policy,7453465062.766178,-367988173.1692581,-4.704856783884448,optimal
low,0.025,downside,public_only,no_policy,8910057643.131647,1088604407.1962109,13.918185973351473,optimal
low,0.025,shock_recovery,public_only,no_policy,7800503147.253279,-20950088.682157516,-0.26785417044882337,optimal
