year,demand_twh,gas_avail_twh_th,gas_to_power_twh_th,gas_generation_twh_e,solar_generation_twh_e,storage_discharge_twh_e,unserved_twh,emissions_tco2,gas_shadow_usd_per_twh_th,carbon_shadow_usd_per_tco2,discount_factor,solar_capacity_mw,gas_capacity_mw,storage_capacity_mwh,subsidy_per_mw_usd
2025,23.08,40.66,40.66,17.4838,5.596199908560001,0.0,0.0,7360679.8,29522416.0,0.0,1.0,2366.0578,13600.0,0.0,0.0
2026,24.0032,40.8633,40.8633,17.571219,6.431980911588002,0.0,0.0,7397483.199,25681633.0,0.0,0.9090909090909091,2719.42369,13600.0,0.0,0.0
2027,24.963328,41.067616,41.067616,17.65907488,7.304253024384002,0.0,0.0,7434470.524479999,22431778.0,0.0,0.8264462809917354,3088.21792,13600.0,0.0,0.0
2028,25.961861120000002,41.272955,41.272955,17.74737065,8.214490381500003,0.0,0.0,7471643.04365,19299796.0,0.0,0.7513148009015775,3473.0637500000003,13600.0,0.0,0.0
2029,27.000335564800004,41.479319,41.479319,17.83610717,9.164228305212001,0.0,0.0,7509001.118569999,16676053.0,0.0,0.6830134553650705,3874.61031,13600.0,0.0,0.0
2030,28.080348987392,41.686716,41.686716,17.92528788,10.155061011276,0.0,0.0,7546546.19748,14472475.0,0.0,0.6209213230591549,4293.5316299999995,13600.0,0.0,0.0
2031,29.203562946887686,41.89515,41.89515,18.0149145,11.188648349748002,0.0,0.0,7584279.0045,12335811.0,0.0,0.5644739300537772,4730.52949,13600.0,0.0,0.0
2032,30.371705464763192,42.104625,42.104625,18.10498875,12.266716609152,0.0,0.0,7622200.26375,10561319.0,0.0,0.5131581182307065,5186.3337599999995,13600.0,0.0,0.0
2033,31.58657368335372,42.315148,42.315148,18.19551364,13.391059935600001,0.0,0.0,7660311.24244,9084614.8,0.0,0.4665073802097331,5661.7029999999995,13600.0,0.0,0.0
2034,32.85003663068787,42.526724,42.526724,18.28649132,14.563545205104,0.0,0.0,7698612.84572,7641923.6,0.0,0.42409761837248455,6157.426519999999,13600.0,0.0,0.0
2035,34.16403809591539,42.739358,42.739358,18.377923940000002,15.786114057648001,0.0,0.0,7737105.97874,2059819.8,0.0,0.3855432894295314,6674.325239999999,12920.0,0.0,0.0
2036,35.530599619752,42.953055,42.953055,18.46981365,17.060785877340003,0.0,0.0,7775791.546649999,2289644.9,0.0,0.3504938994813922,7213.252949999999,12240.0,0.0,0.0
2037,36.951823604542085,43.16782,43.16782,18.5621626,18.389660914476003,0.0,0.0,7814670.454600001,1575942.1,0.0,0.3186308177103565,7775.097629999999,11560.0,0.0,0.0
2038,38.42989654872377,43.383659,43.383659,18.65497337,19.774923100128003,0.0,0.0,7853743.78877,1394375.2,0.0,0.2896643797366877,8360.78264,10880.0,0.0,0.0
2039,39.96709241067272,43.600577,43.600577,18.74824811,21.218844232548,0.0,0.0,7893012.454309999,884618.9,0.0,0.26333125430607973,8971.268489999999,10200.0,0.0,0.0
2040,41.56577610709963,43.81858,43.81858,18.8419894,22.723786649844,0.0,0.0,7932477.537399999,1120723.7,0.0,0.23939204936916333,9607.553969999999,9520.0,0.0,0.0
2041,43.228407151383614,44.037673,44.037673,18.93619939,24.292207700208003,0.0,0.0,7972139.94319,990064.75,0.0,0.2176291357901485,10270.678039999999,8840.0,0.0,0.0
2042,44.957543437438964,44.257861,44.257861,19.030880229999998,25.926663147804,0.0,0.0,8012000.576829999,873899.8,0.0,0.19784466890013497,10961.721269999998,8160.0,0.0,0.0
2043,46.75584517493653,44.479151,44.479151,19.12603493,27.629810176572,0.0,0.0,8052060.70553,770673.4,0.0,0.17985878990921358,11681.807109999998,7480.0,0.0,0.0
2044,48.626078981933986,44.701546,44.701546,19.22166478,29.404414131048004,0.0,0.0,8092320.872380001,678993.11,0.0,0.16350799082655781,12432.104739999999,6800.0,0.0,0.0
2045,50.57112214121135,44.925054,44.925054,19.31777322,31.253348847492003,0.0,0.0,8132782.5256199995,15215047.0,0.0,0.14864362802414344,13213.829209999998,6120.0,0.0,0.0
