ndc_scenario,tariff_usd_per_twh,tariff_m_usd_per_twh,required_margin,threshold_usd_per_twh,financing_gap_per_mw,is_self_financing,npv_total_cost_usd,cumulative_unserved_twh,cumulative_emissions_tco2,solar_eaas_total_mw,solar_public_total_mw,eaas_subsidy_npv_usd,realised_subsidy_per_mw_usd,horizon_reliability,gas_shadow_avg_usd_per_twh_th,status
,30000000,30.0,1.1,71177537.44333114,842323.2479098288,False,24133122270.64265,1.409796,154574275.79999998,8905.248019999999,4313.980030000001,0.0,0.0,0.9980893168326481,212322443.14571425,optimal
,35000000,35.0,1.1,71177537.44333114,740043.7892281335,False,24133122270.64265,1.409796,154574275.79999998,8905.248019999999,4313.980030000001,0.0,0.0,0.9980893168326481,212322443.14571425,optimal
,40000000,40.0,1.1,71177537.44333114,637764.3305464382,False,24133122270.64265,1.409796,154574275.79999998,8905.248019999999,4313.980030000001,0.0,0.0,0.9980893168326481,212322443.14571425,optimal
,44000000,44.0,1.1,71177537.44333114,555940.7636010821,False,24133122270.64265,1.409796,154574275.79999998,8905.248019999999,4313.980030000001,0.0,0.0,0.9980893168326481,212322443.14571425,optimal
,46000000,46.0,1.1,71177537.44333114,515028.9801284041,False,24133122270.64265,1.409796,154574275.79999998,8905.248019999999,4313.980030000001,0.0,0.0,0.9980893168326481,212322443.14571425,optimal
,50000000,50.0,1.1,71177537.44333114,433205.4131830478,False,24133122270.64265,1.409796,154574275.79999998,8905.248019999999,4313.980030000001,0.0,0.0,0.9980893168326481,212322443.14571425,optimal
,60000000,60.0,1.1,71177537.44333114,228646.49581965758,False,24133122270.64265,1.409796,154574275.79999998,8905.248019999999,4313.980030000001,0.0,0.0,0.9980893168326481,212322443.14571425,optimal
,75000000,75.0,1.1,71177537.44333114,0.0,True,24133122270.64265,1.409796,154574275.79999998,8905.248019999999,4313.980030000001,0.0,0.0,0.9980893168326481,212322443.14571425,optimal
,95000000,95.0,1.1,71177537.44333114,0.0,True,24133122270.64265,1.409796,154574275.79999998,8905.248019999999,4313.980030000001,0.0,0.0,0.9980893168326481,212322443.14571425,optimal
,110000000,110.0,1.1,71177537.44333114,0.0,True,24133122270.64265,1.409796,154574275.79999998,8905.248019999999,4313.980030000001,0.0,0.0,0.9980893168326481,212322443.14571425,optimal
