capital_case,budget_usd,budget_b_usd,budget_fraction_bstar,status,collection_rate_scenario,collection_rate,cumulative_unserved_twh,horizon_reliability,cumulative_emissions_tco2,carbon_shadow_mean_usd_per_tco2,carbon_shadow_max_usd_per_tco2,carbon_binding_years,npv_total_cost_usd,solar_public_total_mw,solar_eaas_total_mw,budget_shadow_usd_per_usd,budget_utilisation,budget_realised_spend_usd
tight,4552000000.0,4.552,0.5,optimal,no_friction,1.0,88.27825250000001,0.88035732042438,126901140.96166997,9242.112476190476,21557.111,20,476545075177.7699,11836.110929999999,0.0,,,
moderate,7738400000.0,7.7384,0.85,optimal,no_friction,1.0,4.33529023,0.9941244222085704,126901140.96166997,3671.761640952381,21557.111,20,45753408649.83906,14846.26354,0.0,,,
adequacy,9104000000.0,9.104,1.0,optimal,no_friction,1.0,1.54161221,0.9979106675715982,126901140.96166997,1063.4494621952383,21557.111,20,26652158359.84212,14693.54624,0.0,,,
expansion,10924800000.0,10.9248,1.2,optimal,no_friction,1.0,1.54161221,0.9979106675715982,126901140.96166997,1063.4494621952383,21557.111,20,26652158359.84212,14693.54624,0.0,,,
unconstrained,,,,optimal,no_friction,1.0,1.54161221,0.9979106675715982,126901140.96166997,1063.4494621952383,21557.111,20,26652158359.84212,14693.54624,0.0,,,
tight,3914720000.0,4.552,0.5,optimal,reform_target,0.6,122.448694,0.8340464446699922,126901140.96166997,9613.362804761904,21557.111,20,591688718998.7568,10827.92132,0.0,,,
moderate,6655024000.0,7.7384,0.85,optimal,reform_target,0.6,27.13964465,0.96321789663138,126901140.96166997,7859.8876,21557.111,20,172169815859.0211,13070.140739999999,0.0,,,
adequacy,7829440000.0,9.104,1.0,optimal,reform_target,0.6,3.4726599300000003,0.9952935368846355,126901140.96166997,2940.041287619048,21557.111,20,43344917269.411705,15121.067910000002,0.0,,,
expansion,9395328000.0,10.9248,1.2,optimal,reform_target,0.6,1.54161221,0.9979106675715982,126901140.96166997,1063.4494621952383,21557.111,20,26652158359.84212,14693.54624,0.0,,,
unconstrained,,,,optimal,reform_target,0.6,1.54161221,0.9979106675715982,126901140.96166997,1063.4494621952383,21557.111,20,26652158359.84212,14693.54624,0.0,,,
tight,3516420000.0,4.552,0.5,optimal,current,0.35,145.1357329,0.8032989157060232,126901140.96166997,9613.362804761904,21557.111,20,667060851349.2438,10228.420259999999,0.0,,,
moderate,5977914000.0,7.7384,0.85,optimal,current,0.35,44.52739171,0.9396524477113132,126901140.96166997,8045.820071428572,21557.111,20,261620070044.90332,12439.06671,0.0,,,
adequacy,7032840000.0,9.104,1.0,optimal,current,0.35,20.805964456620003,0.9718018734144616,126901140.96166997,7657.8160333333335,21557.111,20,123974195158.35481,13070.140739999999,0.0,,,
expansion,8439408000.0,10.9248,1.2,optimal,current,0.35,2.11146298,0.9971383542197788,126901140.96166997,1869.9295552380954,21557.111,20,31390050465.50824,14904.011900000001,0.0,,,
unconstrained,,,,optimal,current,0.35,1.54161221,0.9979106675715982,126901140.96166997,1063.4494621952383,21557.111,20,26652158359.84212,14693.54624,0.0,,,
