ndc_scenario,gas_case,required_margin,no_eaas_gas_shadow_mean,no_eaas_binding_years,no_eaas_unserved_twh,no_eaas_npv_cost,no_eaas_status,eaas_gas_shadow_mean,eaas_binding_years,eaas_unserved_twh,eaas_solar_total_mw,eaas_npv_cost,eaas_status,gas_shadow_relief_abs,gas_shadow_relief_pct
baseline_no_policy,baseline,1.1,212322443.14571425,21,1.409796,23918116795.49587,optimal,,,,,,traditional,,
baseline_no_policy,downside,1.1,542929160.8095238,21,2.46602595,34374437161.008766,optimal,,,,,,traditional,,
baseline_no_policy,upside,1.1,212322443.14571425,21,1.409796,23478962898.280235,optimal,,,,,,traditional,,
baseline_no_policy,shock_recovery,1.1,212322443.14571425,21,1.409796,24245590244.47689,optimal,,,,,,traditional,,
ndc2_unconditional,baseline,1.1,204415814.2857143,1,83.17476386,456061274411.11206,optimal,204415814.2857143,1.0,1.57405248,14365.976165600001,26889795740.87552,optimal,0.0,0.0
ndc2_unconditional,downside,1.1,854179598.0952381,13,107.44466698000001,512472709659.3385,optimal,206106086.96476188,13.0,1.57405248,16159.055470000001,27101083868.38114,optimal,648073511.1304762,75.87087218842919
ndc2_unconditional,upside,1.1,204415814.2857143,1,83.17476386,456061274411.11206,optimal,204415814.2857143,1.0,1.57405248,14365.976165600001,26889795740.87552,optimal,0.0,0.0
ndc2_unconditional,shock_recovery,1.1,204415814.2857143,1,83.17476386,456061274411.11206,optimal,204415814.2857143,1.0,1.57405248,14365.976165600001,26889795740.87552,optimal,0.0,0.0
ndc2_conditional,baseline,1.05,204415814.2857143,1,49.12824915,278560109618.27826,optimal,204415814.2857143,1.0,5.12946006,15693.03315,57348883545.03447,optimal,0.0,0.0
ndc2_conditional,downside,1.05,204415814.2857143,1,49.12824915,278560109618.27826,optimal,204415814.2857143,1.0,5.12946006,15693.03315,57348883545.03447,optimal,0.0,0.0
ndc2_conditional,upside,1.05,204415814.2857143,1,49.12824915,278560109618.27826,optimal,204415814.2857143,1.0,5.12946006,15693.03315,57348883545.03447,optimal,0.0,0.0
ndc2_conditional,shock_recovery,1.05,204415814.2857143,1,49.12824915,278560109618.27826,optimal,204415814.2857143,1.0,5.12946006,15693.03315,57348883545.03447,optimal,0.0,0.0
ndc3_unconditional,baseline,1.1,204415814.2857143,1,88.27825250000001,476545075177.7699,optimal,204415814.2857143,1.0,1.54161221,14693.546241,26652158361.09576,optimal,0.0,0.0
ndc3_unconditional,downside,1.1,688676188.5714285,11,108.09583817999997,514182872795.16565,optimal,205644099.18380946,11.0,1.54161221,16159.055460000001,26809996244.2242,optimal,483032089.3876191,70.13921744406582
ndc3_unconditional,upside,1.1,204415814.2857143,1,88.27825250000001,476545075177.7699,optimal,204415814.2857143,1.0,1.54161221,14693.546241,26652158361.09576,optimal,0.0,0.0
ndc3_unconditional,shock_recovery,1.1,204415814.2857143,1,88.27825250000001,476545075177.7699,optimal,204415814.2857143,1.0,1.54161221,14693.546241,26652158361.09576,optimal,0.0,0.0
ndc3_conditional,baseline,1.05,204415814.2857143,1,126.86347229999998,607195718643.86,optimal,204415814.2857143,1.0,1.81984802,15707.79033,29660146669.605778,optimal,0.0,0.0
ndc3_conditional,downside,1.05,345433103.3333333,5,129.21872609999997,610986915339.9406,optimal,205250986.34809527,5.0,1.81984802,16159.05547,29700084458.104984,optimal,140182116.98523805,40.581552732647694
ndc3_conditional,upside,1.05,204415814.2857143,1,126.86347229999998,607195718643.86,optimal,204415814.2857143,1.0,1.81984802,15707.79033,29660146669.605778,optimal,0.0,0.0
ndc3_conditional,shock_recovery,1.05,204415814.2857143,1,126.86347229999998,607195718643.86,optimal,204415814.2857143,1.0,1.81984802,15707.79033,29660146669.605778,optimal,0.0,0.0
