gas_case,ndc_scenario,year,gas_avail_twh_th,gas_to_power_twh_th,emissions_tco2,annual_cap_tco2,cap_slack_tco2,carbon_shadow,unserved_twh,cap_binding,gas_disrupted,cap_and_gas_disruption_coincide
baseline,ndc3_unconditional,2025,40.66,40.66,7360679.8,7363525.999999999,2846.199999999255,0.0,3.9216384,False,False,False
baseline,ndc3_unconditional,2026,40.66,22.99604,4162973.1212000004,4162973.2057074914,0.08450749097391963,21557.111,9.6801228,True,False,False
baseline,ndc3_unconditional,2027,40.66,5.3163587,962420.4154610002,962420.4114149828,-0.004046017420478165,19597.373,15.451578,True,False,False
baseline,ndc3_unconditional,2028,40.66,0.0,0.0,0.0,0.0,17815.794,15.945209,True,False,False
baseline,ndc3_unconditional,2029,40.66,0.0,0.0,0.0,0.0,16196.176,14.192748,True,False,False
baseline,ndc3_unconditional,2030,40.66,0.0,0.0,0.0,0.0,14723.797,12.481825,True,False,False
baseline,ndc3_unconditional,2031,40.66,0.0,0.0,0.0,0.0,13385.27,10.814103,True,False,False
baseline,ndc3_unconditional,2032,40.66,0.0,0.0,0.0,0.0,12168.427,9.1913097,True,False,False
baseline,ndc3_unconditional,2033,40.66,0.0,0.0,0.0,0.0,11062.206,7.6152419,True,False,False
baseline,ndc3_unconditional,2034,40.66,0.0,0.0,0.0,0.0,10056.551,6.0877689,True,False,False
baseline,ndc3_unconditional,2035,40.66,0.0,0.0,0.0,0.0,9142.3193,4.6108343,True,False,False
baseline,ndc3_unconditional,2036,40.66,0.0,0.0,0.0,0.0,8311.1994,3.1864599,True,False,False
baseline,ndc3_unconditional,2037,40.66,0.0,0.0,0.0,0.0,7555.6358,1.8167478,True,False,False
baseline,ndc3_unconditional,2038,40.66,0.0,0.0,0.0,0.0,6868.7598,0.50388479,True,False,False
baseline,ndc3_unconditional,2039,40.66,0.0,0.0,0.0,0.0,2393.2205,0.0,True,False,False
baseline,ndc3_unconditional,2040,40.66,0.0,0.0,0.0,0.0,2472.8695,0.0,True,False,False
baseline,ndc3_unconditional,2041,40.66,0.0,0.0,0.0,0.0,5160.6009,1.3835374,True,False,False
baseline,ndc3_unconditional,2042,40.66,0.0,0.0,0.0,0.0,4691.4554,2.8335801,True,False,False
baseline,ndc3_unconditional,2043,40.66,0.0,0.0,0.0,0.0,4264.9594,4.3527883,True,False,False
baseline,ndc3_unconditional,2044,40.66,0.0,0.0,0.0,0.0,3877.2359,5.9439285,True,False,False
baseline,ndc3_unconditional,2045,40.66,0.0,0.0,0.0,0.0,3524.7599,7.609878,True,False,False
downside,ndc3_unconditional,2025,40.66,40.66,7360679.8,7363525.999999999,2846.199999999255,0.0,3.9216384,False,False,False
downside,ndc3_unconditional,2026,39.4402,22.99604,4162973.1212000004,4162973.2057074914,0.08450749097391963,21557.111,9.6801228,True,True,True
downside,ndc3_unconditional,2027,38.256994,5.3163587,962420.4154610002,962420.4114149828,-0.004046017420478165,19597.373,15.451578,True,True,True
downside,ndc3_unconditional,2028,37.109284,0.0,0.0,0.0,0.0,17815.794,15.945209,True,True,True
downside,ndc3_unconditional,2029,35.996006,0.0,0.0,0.0,0.0,16196.176,14.192748,True,True,True
downside,ndc3_unconditional,2030,34.916125,0.0,0.0,0.0,0.0,14723.797,12.481825,True,True,True
downside,ndc3_unconditional,2031,33.868642,0.0,0.0,0.0,0.0,13385.27,10.814103,True,True,True
downside,ndc3_unconditional,2032,32.852582,0.0,0.0,0.0,0.0,12168.427,9.1913097,True,True,True
downside,ndc3_unconditional,2033,31.867005,0.0,0.0,0.0,0.0,11062.206,7.6152419,True,True,True
downside,ndc3_unconditional,2034,30.910995,0.0,0.0,0.0,0.0,10056.551,6.0877689,True,True,True
downside,ndc3_unconditional,2035,29.983665,0.0,0.0,0.0,0.0,9142.3193,4.6108343,True,True,True
downside,ndc3_unconditional,2036,29.084155,0.0,0.0,0.0,0.0,8311.1994,3.1864599,True,True,True
downside,ndc3_unconditional,2037,28.21163,0.0,0.0,0.0,0.0,7555.6358,1.8167478,True,True,True
downside,ndc3_unconditional,2038,27.365281,0.0,0.0,0.0,0.0,6868.7598,0.50388479,True,True,True
downside,ndc3_unconditional,2039,26.544323,0.0,0.0,0.0,0.0,2393.2205,0.0,True,True,True
downside,ndc3_unconditional,2040,25.747993,0.0,0.0,0.0,0.0,2472.8695,0.0,True,True,True
downside,ndc3_unconditional,2041,24.975554,0.0,0.0,0.0,0.0,5160.6009,1.3835374,True,True,True
downside,ndc3_unconditional,2042,24.226287,0.0,0.0,0.0,0.0,4691.4554,2.8335801,True,True,True
downside,ndc3_unconditional,2043,23.499498,0.0,0.0,0.0,0.0,4264.9594,4.3527883,True,True,True
downside,ndc3_unconditional,2044,22.794513,0.0,0.0,0.0,0.0,3877.2359,5.9439285,True,True,True
downside,ndc3_unconditional,2045,22.110678,0.0,0.0,0.0,0.0,3524.7599,7.609878,True,True,True
upside,ndc3_unconditional,2025,40.66,40.66,7360679.8,7363525.999999999,2846.199999999255,0.0,3.9216384,False,False,False
upside,ndc3_unconditional,2026,40.66,22.99604,4162973.1212000004,4162973.2057074914,0.08450749097391963,21557.111,9.6801228,True,False,False
upside,ndc3_unconditional,2027,40.66,5.3163587,962420.4154610002,962420.4114149828,-0.004046017420478165,19597.373,15.451578,True,False,False
upside,ndc3_unconditional,2028,40.66,0.0,0.0,0.0,0.0,17815.794,15.945209,True,False,False
upside,ndc3_unconditional,2029,40.66,0.0,0.0,0.0,0.0,16196.176,14.192748,True,False,False
upside,ndc3_unconditional,2030,40.66,0.0,0.0,0.0,0.0,14723.797,12.481825,True,False,False
upside,ndc3_unconditional,2031,42.2864,0.0,0.0,0.0,0.0,13385.27,10.814103,True,False,False
upside,ndc3_unconditional,2032,43.9128,0.0,0.0,0.0,0.0,12168.427,9.1913097,True,False,False
upside,ndc3_unconditional,2033,45.5392,0.0,0.0,0.0,0.0,11062.206,7.6152419,True,False,False
upside,ndc3_unconditional,2034,47.1656,0.0,0.0,0.0,0.0,10056.551,6.0877689,True,False,False
upside,ndc3_unconditional,2035,48.792,0.0,0.0,0.0,0.0,9142.3193,4.6108343,True,False,False
upside,ndc3_unconditional,2036,48.792,0.0,0.0,0.0,0.0,8311.1994,3.1864599,True,False,False
upside,ndc3_unconditional,2037,48.792,0.0,0.0,0.0,0.0,7555.6358,1.8167478,True,False,False
upside,ndc3_unconditional,2038,48.792,0.0,0.0,0.0,0.0,6868.7598,0.50388479,True,False,False
upside,ndc3_unconditional,2039,48.792,0.0,0.0,0.0,0.0,2393.2205,0.0,True,False,False
upside,ndc3_unconditional,2040,48.792,0.0,0.0,0.0,0.0,2472.8695,0.0,True,False,False
upside,ndc3_unconditional,2041,48.792,0.0,0.0,0.0,0.0,5160.6009,1.3835374,True,False,False
upside,ndc3_unconditional,2042,48.792,0.0,0.0,0.0,0.0,4691.4554,2.8335801,True,False,False
upside,ndc3_unconditional,2043,48.792,0.0,0.0,0.0,0.0,4264.9594,4.3527883,True,False,False
upside,ndc3_unconditional,2044,48.792,0.0,0.0,0.0,0.0,3877.2359,5.9439285,True,False,False
upside,ndc3_unconditional,2045,48.792,0.0,0.0,0.0,0.0,3524.7599,7.609878,True,False,False
shock_recovery,ndc3_unconditional,2025,40.66,40.66,7360679.8,7363525.999999999,2846.199999999255,0.0,3.9216384,False,False,False
shock_recovery,ndc3_unconditional,2026,40.66,22.99604,4162973.1212000004,4162973.2057074914,0.08450749097391963,21557.111,9.6801228,True,False,False
shock_recovery,ndc3_unconditional,2027,40.66,5.3163587,962420.4154610002,962420.4114149828,-0.004046017420478165,19597.373,15.451578,True,False,False
shock_recovery,ndc3_unconditional,2028,40.66,0.0,0.0,0.0,0.0,17815.794,15.945209,True,False,False
shock_recovery,ndc3_unconditional,2029,40.66,0.0,0.0,0.0,0.0,16196.176,14.192748,True,False,False
shock_recovery,ndc3_unconditional,2030,39.4402,0.0,0.0,0.0,0.0,14723.797,12.481825,True,True,True
shock_recovery,ndc3_unconditional,2031,38.256994,0.0,0.0,0.0,0.0,13385.27,10.814103,True,True,True
shock_recovery,ndc3_unconditional,2032,37.109284,0.0,0.0,0.0,0.0,12168.427,9.1913097,True,True,True
shock_recovery,ndc3_unconditional,2033,35.996006,0.0,0.0,0.0,0.0,11062.206,7.6152419,True,True,True
shock_recovery,ndc3_unconditional,2034,38.555205,0.0,0.0,0.0,0.0,10056.551,6.0877689,True,True,True
shock_recovery,ndc3_unconditional,2035,41.114403,0.0,0.0,0.0,0.0,9142.3193,4.6108343,True,False,False
shock_recovery,ndc3_unconditional,2036,43.673602,0.0,0.0,0.0,0.0,8311.1994,3.1864599,True,False,False
shock_recovery,ndc3_unconditional,2037,46.232801,0.0,0.0,0.0,0.0,7555.6358,1.8167478,True,False,False
shock_recovery,ndc3_unconditional,2038,48.792,0.0,0.0,0.0,0.0,6868.7598,0.50388479,True,False,False
shock_recovery,ndc3_unconditional,2039,48.792,0.0,0.0,0.0,0.0,2393.2205,0.0,True,False,False
shock_recovery,ndc3_unconditional,2040,48.792,0.0,0.0,0.0,0.0,2472.8695,0.0,True,False,False
shock_recovery,ndc3_unconditional,2041,48.792,0.0,0.0,0.0,0.0,5160.6009,1.3835374,True,False,False
shock_recovery,ndc3_unconditional,2042,48.792,0.0,0.0,0.0,0.0,4691.4554,2.8335801,True,False,False
shock_recovery,ndc3_unconditional,2043,48.792,0.0,0.0,0.0,0.0,4264.9594,4.3527883,True,False,False
shock_recovery,ndc3_unconditional,2044,48.792,0.0,0.0,0.0,0.0,3877.2359,5.9439285,True,False,False
shock_recovery,ndc3_unconditional,2045,48.792,0.0,0.0,0.0,0.0,3524.7599,7.609878,True,False,False
baseline,ndc3_conditional,2025,40.66,40.66,7360679.8,7363525.999999999,2846.199999999255,0.0,1.409796,False,False,False
baseline,ndc3_conditional,2026,40.66,14.749633,2670126.06199,2670126.0,-0.06198999984189868,21557.111,10.683518,True,False,False
baseline,ndc3_conditional,2027,40.66,0.0,0.0,0.0,0.0,19597.373,15.195052,True,False,False
baseline,ndc3_conditional,2028,40.66,0.0,0.0,0.0,0.0,17815.794,13.402649,True,False,False
baseline,ndc3_conditional,2029,40.66,0.0,0.0,0.0,0.0,16196.176,11.650188,True,False,False
baseline,ndc3_conditional,2030,40.66,0.0,0.0,0.0,0.0,14723.797,9.939265,True,False,False
baseline,ndc3_conditional,2031,40.66,0.0,0.0,0.0,0.0,13385.27,8.2715429,True,False,False
baseline,ndc3_conditional,2032,40.66,0.0,0.0,0.0,0.0,12168.427,6.6487495,True,False,False
baseline,ndc3_conditional,2033,40.66,0.0,0.0,0.0,0.0,11062.206,5.0726817,True,False,False
baseline,ndc3_conditional,2034,40.66,0.0,0.0,0.0,0.0,10056.551,3.5452086,True,False,False
baseline,ndc3_conditional,2035,40.66,0.0,0.0,0.0,0.0,9142.3193,2.0682741,True,False,False
baseline,ndc3_conditional,2036,40.66,0.0,0.0,0.0,0.0,8311.1994,0.64389962,True,False,False
baseline,ndc3_conditional,2037,40.66,0.0,0.0,0.0,0.0,8.7054197,0.0,True,False,False
baseline,ndc3_conditional,2038,40.66,0.0,0.0,0.0,0.0,7.7024535,0.0,True,False,False
baseline,ndc3_conditional,2039,40.66,0.0,0.0,0.0,0.0,4.8865873,0.0,True,False,False
baseline,ndc3_conditional,2040,40.66,0.0,0.0,0.0,0.0,6.1908175,0.0,True,False,False
baseline,ndc3_conditional,2041,40.66,0.0,0.0,0.0,0.0,5.4690645,0.0,True,False,False
baseline,ndc3_conditional,2042,40.66,0.0,0.0,0.0,0.0,4.8273756,0.0,True,False,False
baseline,ndc3_conditional,2043,40.66,0.0,0.0,0.0,0.0,4.2571585,0.0,True,False,False
baseline,ndc3_conditional,2044,40.66,0.0,0.0,0.0,0.0,3.7507215,0.0,True,False,False
baseline,ndc3_conditional,2045,40.66,0.0,0.0,0.0,0.0,84.047105,0.0,True,False,False
downside,ndc3_conditional,2025,40.66,40.66,7360679.8,7363525.999999999,2846.199999999255,0.0,1.409796,False,False,False
downside,ndc3_conditional,2026,39.4402,14.749633,2670126.06199,2670126.0,-0.06198999984189868,21557.111,10.683518,True,True,True
downside,ndc3_conditional,2027,38.256994,0.0,0.0,0.0,0.0,19597.373,15.195052,True,True,True
downside,ndc3_conditional,2028,37.109284,0.0,0.0,0.0,0.0,17815.794,13.402649,True,True,True
downside,ndc3_conditional,2029,35.996006,0.0,0.0,0.0,0.0,16196.176,11.650188,True,True,True
downside,ndc3_conditional,2030,34.916125,0.0,0.0,0.0,0.0,14723.797,9.939265,True,True,True
downside,ndc3_conditional,2031,33.868642,0.0,0.0,0.0,0.0,13385.27,8.2715429,True,True,True
downside,ndc3_conditional,2032,32.852582,0.0,0.0,0.0,0.0,12168.427,6.6487495,True,True,True
downside,ndc3_conditional,2033,31.867005,0.0,0.0,0.0,0.0,11062.206,5.0726817,True,True,True
downside,ndc3_conditional,2034,30.910995,0.0,0.0,0.0,0.0,10056.551,3.5452086,True,True,True
downside,ndc3_conditional,2035,29.983665,0.0,0.0,0.0,0.0,9142.3193,2.0682741,True,True,True
downside,ndc3_conditional,2036,29.084155,0.0,0.0,0.0,0.0,8311.1994,0.64389962,True,True,True
downside,ndc3_conditional,2037,28.21163,0.0,0.0,0.0,0.0,8.7054197,0.0,True,True,True
downside,ndc3_conditional,2038,27.365281,0.0,0.0,0.0,0.0,7.7024535,0.0,True,True,True
downside,ndc3_conditional,2039,26.544323,0.0,0.0,0.0,0.0,4.8865873,0.0,True,True,True
downside,ndc3_conditional,2040,25.747993,0.0,0.0,0.0,0.0,6.1908175,0.0,True,True,True
downside,ndc3_conditional,2041,24.975554,0.0,0.0,0.0,0.0,5.4690645,0.0,True,True,True
downside,ndc3_conditional,2042,24.226287,0.0,0.0,0.0,0.0,4.8273756,0.0,True,True,True
downside,ndc3_conditional,2043,23.499498,0.0,0.0,0.0,0.0,4.2571585,0.0,True,True,True
downside,ndc3_conditional,2044,22.794513,0.0,0.0,0.0,0.0,3.7507215,0.0,True,True,True
downside,ndc3_conditional,2045,22.110678,0.0,0.0,0.0,0.0,84.047105,0.0,True,True,True
upside,ndc3_conditional,2025,40.66,40.66,7360679.8,7363525.999999999,2846.199999999255,0.0,1.409796,False,False,False
upside,ndc3_conditional,2026,40.66,14.749633,2670126.06199,2670126.0,-0.06198999984189868,21557.111,10.683518,True,False,False
upside,ndc3_conditional,2027,40.66,0.0,0.0,0.0,0.0,19597.373,15.195052,True,False,False
upside,ndc3_conditional,2028,40.66,0.0,0.0,0.0,0.0,17815.794,13.402649,True,False,False
upside,ndc3_conditional,2029,40.66,0.0,0.0,0.0,0.0,16196.176,11.650188,True,False,False
upside,ndc3_conditional,2030,40.66,0.0,0.0,0.0,0.0,14723.797,9.939265,True,False,False
upside,ndc3_conditional,2031,42.2864,0.0,0.0,0.0,0.0,13385.27,8.2715429,True,False,False
upside,ndc3_conditional,2032,43.9128,0.0,0.0,0.0,0.0,12168.427,6.6487495,True,False,False
upside,ndc3_conditional,2033,45.5392,0.0,0.0,0.0,0.0,11062.206,5.0726817,True,False,False
upside,ndc3_conditional,2034,47.1656,0.0,0.0,0.0,0.0,10056.551,3.5452086,True,False,False
upside,ndc3_conditional,2035,48.792,0.0,0.0,0.0,0.0,9142.3193,2.0682741,True,False,False
upside,ndc3_conditional,2036,48.792,0.0,0.0,0.0,0.0,8311.1994,0.64389962,True,False,False
