gas_case,ndc_scenario,is_flat_control,status,npv_total_cost_usd,npv_cost_b_usd,cumulative_unserved_twh,cumulative_emissions_tco2,horizon_reliability,gas_shadow_mean,gas_shadow_binding_years,carbon_shadow_mean,carbon_shadow_max,carbon_binding_years,solar_total_mw
baseline,ndc2_unconditional,False,optimal,49352276295.26177,49.352276295261774,5.28948268,128122506.74343993,0.9928312142177482,204415814.2857143,1,3671.761640952381,21557.111,20,14395.42752
downside,ndc2_unconditional,False,optimal,87134455861.48555,87.13445586148555,17.91618458,114417460.96833,0.9757183647136354,618145542.3809524,14,5105.034323809525,21557.111,7,14403.517689999999
upside,ndc2_unconditional,False,optimal,49352276295.26177,49.352276295261774,5.28948268,128122506.74343993,0.9928312142177482,204415814.2857143,1,3671.761640952381,21557.111,20,14395.42752
shock_recovery,ndc2_unconditional,False,optimal,49352276295.26177,49.352276295261774,5.28948268,128122506.74343993,0.9928312142177482,204415814.2857143,1,3671.761640952381,21557.111,20,14395.42752
baseline,ndc2_conditional,False,optimal,79731744766.23264,79.73174476623264,8.704887189999999,92335770.41314004,0.9882023488308733,204415814.2857143,1,5496.077042857143,21557.111,20,16291.231220000001
downside,ndc2_conditional,False,optimal,79731744766.23264,79.73174476623264,8.704887189999999,92335770.41314004,0.9882023488308733,204415814.2857143,1,5496.077042857143,21557.111,20,16291.231220000001
upside,ndc2_conditional,False,optimal,79731744766.23264,79.73174476623264,8.704887189999999,92335770.41314004,0.9882023488308733,204415814.2857143,1,5496.077042857143,21557.111,20,16291.231220000001
shock_recovery,ndc2_conditional,False,optimal,79731744766.23264,79.73174476623264,8.704887189999999,92335770.41314004,0.9882023488308733,204415814.2857143,1,5496.077042857143,21557.111,20,16291.231220000001
baseline,ndc3_unconditional,False,optimal,45753408649.83906,45.75340864983906,4.33529023,126901140.96166997,0.9941244222085704,204415814.2857143,1,3671.761640952381,21557.111,20,14846.26354
downside,ndc3_unconditional,False,optimal,74770974480.91655,74.77097448091655,16.446256036999998,115263199.81881,0.977710544947031,701411894.7619047,15,4645.075476190476,21557.111,6,14403.517689999999
upside,ndc3_unconditional,False,optimal,45753408649.83906,45.75340864983906,4.33529023,126901140.96166997,0.9941244222085704,204415814.2857143,1,3671.761640952381,21557.111,20,14846.26354
shock_recovery,ndc3_unconditional,False,optimal,45753408649.83906,45.75340864983906,4.33529023,126901140.96166997,0.9941244222085704,204415814.2857143,1,3671.761640952381,21557.111,20,14846.26354
baseline,ndc3_conditional,False,optimal,29660146669.605778,29.660146669605776,1.81984802,110843584.08720995,0.9975335772133325,204415814.2857143,1,1063.4494621952383,21557.111,20,15707.79033
downside,ndc3_conditional,False,optimal,29725912962.46303,29.72591296246303,1.81984802,108574287.41002,0.9975335772133325,205351500.0838095,7,1058.2807839761906,21557.111,14,16411.54686
upside,ndc3_conditional,False,optimal,29660146669.605778,29.660146669605776,1.81984802,110843584.08720995,0.9975335772133325,204415814.2857143,1,1063.4494621952383,21557.111,20,15707.79033
shock_recovery,ndc3_conditional,False,optimal,29660146669.605778,29.660146669605776,1.81984802,110843584.08720995,0.9975335772133325,204415814.2857143,1,1063.4494621952383,21557.111,20,15707.79033
flat_downside,ndc2_unconditional,True,optimal,202909091907.40897,202.90909190740896,29.657230499999997,115935489.30054,0.9598058363716273,1567138999.5238094,21,0.0,0.0,0,13263.61936
flat_upside,ndc2_unconditional,True,optimal,49284784560.58311,49.284784560583105,5.28272208,128125352.89709993,0.9928403767949021,0.0,0,4800.943640952381,23712.822,21,14395.42752
flat_shock_recovery,ndc2_unconditional,True,optimal,49284784560.58311,49.284784560583105,5.28272208,128125352.89709993,0.9928403767949021,0.0,0,4800.943640952381,23712.822,21,14395.42752
flat_downside,ndc2_conditional,True,optimal,157150273635.36633,157.15027363536635,16.897297569999996,88886765.85366003,0.9770992526289369,559187066.6666666,3,3536.339709523809,17815.794,18,16291.231220000001
flat_upside,ndc2_conditional,True,optimal,79664253031.55397,79.66425303155397,8.69812659,92338616.56680004,0.9882115114080271,0.0,0,6625.259042857143,23712.822,21,16291.231220000001
flat_shock_recovery,ndc2_conditional,True,optimal,79664253031.55397,79.66425303155397,8.69812659,92338616.56680004,0.9882115114080271,0.0,0,6625.259042857143,23712.822,21,16291.231220000001
flat_downside,ndc3_unconditional,True,optimal,202909091907.40897,202.90909190740896,29.657230499999997,115935489.30054,0.9598058363716273,1567138999.5238094,21,0.0,0.0,0,13263.61936
flat_upside,ndc3_unconditional,True,optimal,45685916915.16039,45.68591691516039,4.32852963,126903987.11532997,0.9941335847857243,0.0,0,4800.943640952381,23712.822,21,14846.26354
flat_shock_recovery,ndc3_unconditional,True,optimal,45685916915.16039,45.68591691516039,4.32852963,126903987.11532997,0.9941335847857243,0.0,0,4800.943640952381,23712.822,21,14846.26354
flat_downside,ndc3_conditional,True,optimal,125264874923.06458,125.26487492306458,12.063593479999998,105313762.23503996,0.9836503260046048,714250958.4761904,6,17.74961581428571,84.047105,15,15347.79033
flat_upside,ndc3_conditional,True,optimal,29592654934.927113,29.59265493492711,1.81308742,110846430.24086995,0.9975427397904864,0.0,0,2192.631462195238,23712.822,21,15707.79033
flat_shock_recovery,ndc3_conditional,True,optimal,29592654934.927113,29.59265493492711,1.81308742,110846430.24086995,0.9975427397904864,0.0,0,2192.631462195238,23712.822,21,15707.79033
