gas_case,flat_case,ndc_scenario,struct_feasible,flat_feasible,struct_cost_usd,flat_cost_usd,shape_premium_usd,shape_premium_pct,struct_unserved_twh,flat_unserved_twh,struct_carbon_shadow_mean,flat_carbon_shadow_mean,struct_carbon_binding_years,flat_carbon_binding_years,interpretation
downside,flat_downside,ndc2_unconditional,True,True,87134455861.48555,202909091907.40897,-115774636045.92342,-57.05739203581545,17.91618458,29.657230499999997,5105.034323809525,0.0,7,0,Shape makes compliance CHEAPER than level alone (structural form provides a cost advantage).
upside,flat_upside,ndc2_unconditional,True,True,49352276295.26177,49284784560.58311,67491734.67866516,0.1369423348005128,5.28948268,5.28272208,3671.761640952381,4800.943640952381,20,21,Shape makes compliance MORE costly than level alone predicts.
shock_recovery,flat_shock_recovery,ndc2_unconditional,True,True,49352276295.26177,49284784560.58311,67491734.67866516,0.1369423348005128,5.28948268,5.28272208,3671.761640952381,4800.943640952381,20,21,Shape makes compliance MORE costly than level alone predicts.
downside,flat_downside,ndc2_conditional,True,True,79731744766.23264,157150273635.36633,-77418528869.1337,-49.26401149562544,8.704887189999999,16.897297569999996,5496.077042857143,3536.339709523809,20,18,Shape makes compliance CHEAPER than level alone (structural form provides a cost advantage).
upside,flat_upside,ndc2_conditional,True,True,79731744766.23264,79664253031.55397,67491734.67866516,0.08472022533360422,8.704887189999999,8.69812659,5496.077042857143,6625.259042857143,20,21,Shape makes compliance MORE costly than level alone predicts.
shock_recovery,flat_shock_recovery,ndc2_conditional,True,True,79731744766.23264,79664253031.55397,67491734.67866516,0.08472022533360422,8.704887189999999,8.69812659,5496.077042857143,6625.259042857143,20,21,Shape makes compliance MORE costly than level alone predicts.
downside,flat_downside,ndc3_unconditional,True,True,74770974480.91655,202909091907.40897,-128138117426.49242,-63.15050558945092,16.446256036999998,29.657230499999997,4645.075476190476,0.0,6,0,Shape makes compliance CHEAPER than level alone (structural form provides a cost advantage).
upside,flat_upside,ndc3_unconditional,True,True,45753408649.83906,45685916915.16039,67491734.67866516,0.14772984594792873,4.33529023,4.32852963,3671.761640952381,4800.943640952381,20,21,Shape makes compliance MORE costly than level alone predicts.
shock_recovery,flat_shock_recovery,ndc3_unconditional,True,True,45753408649.83906,45685916915.16039,67491734.67866516,0.14772984594792873,4.33529023,4.32852963,3671.761640952381,4800.943640952381,20,21,Shape makes compliance MORE costly than level alone predicts.
downside,flat_downside,ndc3_conditional,True,True,29725912962.46303,125264874923.06458,-95538961960.60155,-76.26955442958759,1.81984802,12.063593479999998,1058.2807839761906,17.74961581428571,14,15,Shape makes compliance CHEAPER than level alone (structural form provides a cost advantage).
upside,flat_upside,ndc3_conditional,True,True,29660146669.605778,29592654934.927113,67491734.67866516,0.22806921118458745,1.81984802,1.81308742,1063.4494621952383,2192.631462195238,20,21,Shape makes compliance MORE costly than level alone predicts.
shock_recovery,flat_shock_recovery,ndc3_conditional,True,True,29660146669.605778,29592654934.927113,67491734.67866516,0.22806921118458745,1.81984802,1.81308742,1063.4494621952383,2192.631462195238,20,21,Shape makes compliance MORE costly than level alone predicts.
