year,demand_twh,gas_avail_twh_th,gas_to_power_twh_th,gas_generation_twh_e,solar_generation_twh_e,storage_discharge_twh_e,unserved_twh,emissions_tco2,gas_shadow_price_usd_per_twh_th,carbon_shadow_usd_per_tco2,discount_factor,subsidy_per_mw_usd
2025,23.08,40.66,40.66,17.4838,2.2880645365680006,0.0,3.3081355,7360679.8,4292732100.0,0.0,1.0,0.0
2026,24.0032,40.66,38.641414,16.61580802,4.653264536568001,0.0,2.7341275,6995255.176419999,0.0,21557.111,0.9090909090909091,0.0
2027,24.963328,40.66,36.607106,15.741055580000001,7.018464536568002,0.0,2.2038081,6626984.399180001,0.0,19597.373,0.8264462809917354,0.0
2028,25.961861120000002,40.66,34.572797,14.866302710000001,9.383664536568002,0.0,1.7118938,6258713.44091,0.0,17815.794,0.7513148009015775,0.0
2029,27.000335564800004,40.66,32.538489,13.99155027,11.748864536568004,0.0,1.2599208,5890442.66367,0.0,16196.176,0.6830134553650705,0.0
2030,28.080348987392,40.66,30.504181,13.11679783,14.114064536568003,0.0,0.84948684,5522171.88643,0.0,14723.797,0.6209213230591549,0.0
2031,29.203562946887686,40.66,29.599678,12.727861540000001,16.475701575636005,0.0,0.0,5358429.70834,0.0,11460.29,0.5644739300537772,0.0
2032,30.371705464763192,40.66,28.695175,12.338925249999999,18.032780333052006,0.0,0.0,5194687.530249999,0.0,9962.2556,0.5131581182307065,0.0
2033,31.58657368335372,40.66,27.790672,11.94998896,19.636584775416008,0.0,0.0,5030945.35216,0.0,8695.7373,0.4665073802097331,0.0
2034,32.85003663068787,40.66,26.886169,11.561052669999999,21.288983954724007,0.0,0.0,4867203.174069999,0.0,7474.3398,0.42409761837248455,0.0
2035,34.16403809591539,40.66,25.981666,11.17211638,22.991921663292004,0.0,0.0,4703460.99598,0.0,3380.7855,0.3855432894295314,0.0
2036,35.530599619752,40.66,25.981666,11.17211638,24.358483182276007,0.0,0.0,4703460.99598,0.0,3364.7925,0.3504938994813922,0.0
2037,36.951823604542085,40.66,25.981666,11.17211638,25.779707169588008,0.0,0.0,4703460.99598,0.0,2705.7494,0.3186308177103565,0.0
2038,38.42989654872377,40.66,25.981666,11.17211638,27.257780110716006,0.0,0.0,4703460.99598,0.0,2433.0182,0.2896643797366877,0.0
2039,39.96709241067272,40.66,25.981666,11.17211638,28.794975979896005,0.0,0.0,4703460.99598,0.0,1944.2946,0.26333125430607973,0.0
2040,41.56577610709963,40.66,25.981666,11.17211638,30.393659669652003,0.0,0.0,4703460.99598,0.0,1988.6481,0.23939204936916333,0.0
2041,43.228407151383614,40.66,25.981666,11.17211638,32.056290704160006,0.0,0.0,4703460.99598,0.0,1787.7612,0.2176291357901485,0.0
2042,44.957543437438964,40.66,25.981666,11.17211638,33.785426999916005,0.0,0.0,4703460.99598,0.0,4059.2583,0.19784466890013497,0.0
2043,46.75584517493653,40.66,25.981666,11.17211638,34.021946999916004,0.0,1.5617817,4703460.99598,0.0,4264.9594,0.17985878990921358,0.0
2044,48.626078981933986,40.66,25.981666,11.17211638,34.258466999916,0.0,3.1954955,4703460.99598,0.0,3877.2359,0.16350799082655781,0.0
2045,50.57112214121135,40.66,25.981666,11.17211638,34.494986999916,0.0,4.9040187,4703460.99598,0.0,3524.7599,0.14864362802414344,0.0
