year,demand_twh,gas_avail_twh_th,gas_to_power_twh_th,gas_generation_twh_e,solar_generation_twh_e,storage_discharge_twh_e,unserved_twh,emissions_tco2,gas_shadow_price_usd_per_twh_th,carbon_shadow_usd_per_tco2,discount_factor,subsidy_per_mw_usd
2025,23.08,40.66,40.66,17.4838,1.4191200000000004,0.2554416,3.9216384,7360679.8,4292732100.0,0.0,1.0,0.0
2026,24.0032,40.66,22.99604,9.8882972,3.7582879228920008,0.67649183,9.6801228,4162973.1212000004,0.0,21557.111,0.9090909090909091,0.0
2027,24.963328,40.66,5.3163587,2.2860342410000003,6.123487922892001,1.1022278,15.451578,962420.4154610002,0.0,19597.373,0.8264462809917354,0.0
2028,25.961861120000002,40.66,0.0,0.0,8.488687922892002,1.5279638,15.945209,0.0,0.0,17815.794,0.7513148009015775,0.0
2029,27.000335564800004,40.66,0.0,0.0,10.853887922892001,1.9536998,14.192748,0.0,0.0,16196.176,0.6830134553650705,0.0
2030,28.080348987392,40.66,0.0,0.0,13.219087922892001,2.3794358,12.481825,0.0,0.0,14723.797,0.6209213230591549,0.0
2031,29.203562946887686,40.66,0.0,0.0,15.584287922892003,2.8051718,10.814103,0.0,0.0,13385.27,0.5644739300537772,0.0
2032,30.371705464763192,40.66,0.0,0.0,17.949487922892004,3.2309078,9.1913097,0.0,0.0,12168.427,0.5131581182307065,0.0
2033,31.58657368335372,40.66,0.0,0.0,20.314687922892002,3.6566438,7.6152419,0.0,0.0,11062.206,0.4665073802097331,0.0
2034,32.85003663068787,40.66,0.0,0.0,22.679887922892,4.0823798,6.0877689,0.0,0.0,10056.551,0.42409761837248455,0.0
2035,34.16403809591539,40.66,0.0,0.0,25.045087922892,4.5081158,4.6108343,0.0,0.0,9142.3193,0.3855432894295314,0.0
2036,35.530599619752,40.66,0.0,0.0,27.410287922892003,4.9338518,3.1864599,0.0,0.0,8311.1994,0.3504938994813922,0.0
2037,36.951823604542085,40.66,0.0,0.0,29.775487922892005,5.3595878,1.8167478,0.0,0.0,7555.6358,0.3186308177103565,0.0
2038,38.42989654872377,40.66,0.0,0.0,32.140687922892006,5.7853238,0.50388479,0.0,0.0,6868.7598,0.2896643797366877,0.0
2039,39.96709241067272,40.66,0.0,0.0,33.870417292548005,6.0966751,0.0,0.0,0.0,2393.2205,0.26333125430607973,0.0
2040,41.56577610709963,40.66,0.0,0.0,35.225233985196006,6.3405421,0.0,0.0,0.0,2472.8695,0.23939204936916333,0.0
2041,43.228407151383614,40.66,0.0,0.0,35.461753985196005,6.3831157,1.3835374,0.0,0.0,5160.6009,0.2176291357901485,0.0
2042,44.957543437438964,40.66,0.0,0.0,35.698273985196,6.4256893,2.8335801,0.0,0.0,4691.4554,0.19784466890013497,0.0
2043,46.75584517493653,40.66,0.0,0.0,35.934793985196,6.4682629,4.3527883,0.0,0.0,4264.9594,0.17985878990921358,0.0
2044,48.626078981933986,40.66,0.0,0.0,36.17131398519601,6.5108365,5.9439285,0.0,0.0,3877.2359,0.16350799082655781,0.0
2045,50.57112214121135,40.66,0.0,0.0,36.40783398519601,6.5534101,7.609878,0.0,0.0,3524.7599,0.14864362802414344,0.0
