year,demand_twh,gas_avail_twh_th,gas_to_power_twh_th,gas_generation_twh_e,solar_generation_twh_e,storage_discharge_twh_e,unserved_twh,emissions_tco2,gas_shadow_price_usd_per_twh_th,carbon_shadow_usd_per_tco2,discount_factor
2025,23.08,40.66,40.66,17.4838,5.596199908560001,0.0,0.0,7360679.8,16796219.0,0.0,1.0
2026,24.0032,40.66,35.713632,15.35686176,8.646338413080002,0.0,0.0,6465238.80096,0.0,84.346738,0.9090909090909091
2027,24.963328,40.66,30.751541,13.22316263,11.740165472880001,0.0,0.0,5566951.46723,0.0,76.678853,0.8264462809917354
2028,25.961861120000002,40.66,25.78945,11.089463499999999,14.872397704200003,0.0,0.0,4668664.133499999,0.0,69.708048,0.7513148009015775
2029,27.000335564800004,40.66,20.82736,8.955764799999999,18.044571067920003,0.0,0.0,3770376.9807999996,0.0,63.370953,0.6830134553650705
2030,28.080348987392,40.66,15.865269,6.82206567,21.25828349316,0.0,0.0,2872089.64707,0.0,57.609957,0.6209213230591549
2031,29.203562946887686,40.66,15.865269,6.82206567,22.381497460260004,0.0,0.0,2872089.64707,0.0,52.372688,0.5644739300537772
2032,30.371705464763192,40.66,15.865269,6.82206567,23.549639986044006,0.0,0.0,2872089.64707,0.0,47.611535,0.5131581182307065
2033,31.58657368335372,40.66,15.865269,6.82206567,24.764508196776006,0.0,0.0,2872089.64707,0.0,43.283213,0.4665073802097331
2034,32.85003663068787,40.66,15.865269,6.82206567,26.02797114445201,0.0,0.0,2872089.64707,0.0,39.348376,0.42409761837248455
2035,34.16403809591539,40.66,15.865269,6.82206567,27.34197262138801,0.0,0.0,2872089.64707,0.0,35.771251,0.3855432894295314
2036,35.530599619752,40.66,15.865269,6.82206567,28.70853414037201,0.0,0.0,2872089.64707,0.0,32.519319,0.3504938994813922
2037,36.951823604542085,40.66,15.865269,6.82206567,30.12975812768401,0.0,0.0,2872089.64707,0.0,29.563017,0.3186308177103565
2038,38.42989654872377,40.66,15.865269,6.82206567,31.607831068812008,0.0,0.0,2872089.64707,0.0,26.87547,0.2896643797366877
2039,39.96709241067272,40.66,15.865269,6.82206567,33.14502693799201,0.0,0.0,2872089.64707,0.0,24.432246,0.26333125430607973
2040,41.56577610709963,40.66,15.865269,6.82206567,34.74371062774801,0.0,0.0,2872089.64707,0.0,22.211132,0.23939204936916333
2041,43.228407151383614,40.66,15.865269,6.82206567,36.406341662256004,0.0,0.0,2872089.64707,0.0,20.191938,0.2176291357901485
2042,44.957543437438964,40.66,15.865269,6.82206567,38.13547795801201,0.0,0.0,2872089.64707,0.0,18.356308,0.19784466890013497
2043,46.75584517493653,40.66,15.865269,6.82206567,39.933779702760006,0.0,0.0,2872089.64707,0.0,16.687552,0.17985878990921358
2044,48.626078981933986,40.66,15.865269,6.82206567,41.804013518244005,0.0,0.0,2872089.64707,0.0,15.170502,0.16350799082655781
2045,50.57112214121135,40.66,15.865269,6.82206567,43.74905667026401,0.0,0.0,2872089.64707,0.0,211.38139,0.14864362802414344
