year,demand_twh,gas_avail_twh_th,gas_to_power_twh_th,gas_generation_twh_e,solar_generation_twh_e,storage_discharge_twh_e,unserved_twh,emissions_tco2,gas_shadow_price_usd_per_twh_th,carbon_shadow_usd_per_tco2,discount_factor
2025,23.08,40.66,40.66,17.4838,5.596199908560001,0.0,0.0,7360679.8,16796219.0,0.0,1.0
2026,24.0032,40.66,37.330093,16.051939989999997,7.951259941380002,0.0,0.0,6757866.735789999,0.0,84.346738,0.9090909090909091
2027,24.963328,40.66,33.984464,14.613319520000001,10.350008647740001,0.0,0.0,6152207.5179200005,0.0,76.678853,0.8264462809917354
2028,25.961861120000002,40.66,30.638834,13.17469862,12.787162289100001,0.0,0.0,5546548.119019999,0.0,69.708048,0.7513148009015775
2029,27.000335564800004,40.66,27.293205,11.736078149999999,15.264257299380002,0.0,0.0,4940888.901149999,0.0,63.370953,0.6830134553650705
2030,28.080348987392,40.66,23.947576,10.29745768,17.782891371180003,0.0,0.0,4335229.68328,0.0,57.609957,0.6209213230591549
2031,29.203562946887686,40.66,23.947576,10.29745768,18.906105338280003,0.0,0.0,4335229.68328,0.0,52.372688,0.5644739300537772
2032,30.371705464763192,40.66,23.947576,10.29745768,20.074247864064,0.0,0.0,4335229.68328,0.0,47.611535,0.5131581182307065
2033,31.58657368335372,40.66,23.947576,10.29745768,21.289116074796002,0.0,0.0,4335229.68328,0.0,43.283213,0.4665073802097331
2034,32.85003663068787,40.66,23.947576,10.29745768,22.552579022472003,0.0,0.0,4335229.68328,0.0,39.348376,0.42409761837248455
2035,34.16403809591539,40.66,23.947576,10.29745768,23.866580499408002,0.0,0.0,4335229.68328,0.0,35.771251,0.3855432894295314
2036,35.530599619752,40.66,23.947576,10.29745768,25.233142018392005,0.0,0.0,4335229.68328,0.0,32.519319,0.3504938994813922
2037,36.951823604542085,40.66,23.947576,10.29745768,26.654366005704002,0.0,0.0,4335229.68328,0.0,29.563017,0.3186308177103565
2038,38.42989654872377,40.66,23.947576,10.29745768,28.132438946832004,0.0,0.0,4335229.68328,0.0,26.87547,0.2896643797366877
2039,39.96709241067272,40.66,23.947576,10.29745768,29.669634816012003,0.0,0.0,4335229.68328,0.0,24.432246,0.26333125430607973
2040,41.56577610709963,40.66,23.947576,10.29745768,31.268318505768,0.0,0.0,4335229.68328,0.0,22.211132,0.23939204936916333
2041,43.228407151383614,40.66,23.947576,10.29745768,32.930949540276,0.0,0.0,4335229.68328,0.0,20.191938,0.2176291357901485
2042,44.957543437438964,40.66,23.947576,10.29745768,34.660085836032,0.0,0.0,4335229.68328,0.0,18.356308,0.19784466890013497
2043,46.75584517493653,40.66,23.947576,10.29745768,36.45838758078,0.0,0.0,4335229.68328,0.0,16.687552,0.17985878990921358
2044,48.626078981933986,40.66,23.947576,10.29745768,38.328621396264005,0.0,0.0,4335229.68328,0.0,15.170502,0.16350799082655781
2045,50.57112214121135,40.66,23.947576,10.29745768,40.273664548284,0.0,0.0,4335229.68328,0.0,211.38139,0.14864362802414344
