year,demand_twh,gas_avail_twh_th,gas_to_power_twh_th,gas_generation_twh_e,solar_generation_twh_e,storage_discharge_twh_e,unserved_twh,emissions_tco2,gas_shadow_price_usd_per_twh_th,carbon_shadow_usd_per_tco2,discount_factor,subsidy_per_mw_usd
2025,23.08,40.66,40.66,17.4838,0.23652000000000004,0.0425736,5.3171064,7360679.8,2142732100.0,0.0,1.0,0.0
2026,24.0032,40.66,39.048693,16.79093799,0.23652000000000004,0.0425736,6.9331683,7068984.893789999,0.0,10760.307,0.9090909090909091,0.0
2027,24.963328,40.66,37.421664,16.09131552,1.9182466895760002,0.3452844,6.6084812,6774443.833919999,0.0,9782.0969,0.8264462809917354,0.0
2028,25.961861120000002,40.66,35.794636,15.391693479999999,4.283446689576,0.7710204,5.5157007,6479902.955079999,0.0,8892.8154,0.7513148009015775,0.0
2029,27.000335564800004,40.66,34.167607,14.692071009999998,6.648646689576001,1.1967564,4.4628616,6185361.895209999,0.0,8084.3776,0.6830134553650705,0.0
2030,28.080348987392,40.66,32.540578,13.992448539999998,9.013846689576,1.6224924,3.4515614,5890820.835339999,0.0,7349.4342,0.6209213230591549,0.0
2031,29.203562946887686,40.66,32.540578,13.992448539999998,11.379046689576002,2.0482284,1.7838394,5890820.835339999,0.0,6681.3038,0.5644739300537772,0.0
2032,30.371705464763192,40.66,32.540578,13.992448539999998,13.744246689576002,2.4739644,0.16104592,5890820.835339999,0.0,6073.9126,0.5131581182307065,0.0
2033,31.58657368335372,40.66,32.540578,13.992448539999998,14.910275625336004,2.6838496,0.0,5890820.835339999,0.0,4689.8286,0.4665073802097331,0.0
2034,32.85003663068787,40.66,32.540578,13.992448539999998,15.981006939732003,2.8765812,0.0,5890820.835339999,0.0,4030.636,0.42409761837248455,0.0
2035,34.16403809591539,40.66,32.540578,13.992448539999998,17.094567508596004,3.0770221,0.0,5890820.835339999,0.0,1828.8556,0.3855432894295314,0.0
2036,35.530599619752,40.66,32.540578,13.992448539999998,18.252670493592003,3.2854807,0.0,5890820.835339999,0.0,1819.715,0.3504938994813922,0.0
2037,36.951823604542085,40.66,32.540578,13.992448539999998,19.45709759988,3.5022776,0.0,5890820.835339999,0.0,1463.5281,0.3186308177103565,0.0
2038,38.42989654872377,40.66,32.540578,13.992448539999998,20.709701796096002,3.7277463,0.0,5890820.835339999,0.0,1316.5234,0.2896643797366877,0.0
2039,39.96709241067272,40.66,32.540578,13.992448539999998,22.012410152592004,3.9622338,0.0,5890820.835339999,0.0,1052.8121,0.26333125430607973,0.0
2040,41.56577610709963,40.66,32.540578,13.992448539999998,23.36722684524,4.2061008,0.0,5890820.835339999,0.0,1075.2498,0.23939204936916333,0.0
2041,43.228407151383614,40.66,32.540578,13.992448539999998,24.776236206540002,4.4597225,0.0,5890820.835339999,0.0,1316.1185,0.2176291357901485,0.0
2042,44.957543437438964,40.66,32.540578,13.992448539999998,24.776236206540002,4.4597225,1.7291363,5890820.835339999,0.0,2341.7562,0.19784466890013497,0.0
2043,46.75584517493653,40.66,32.540578,13.992448539999998,24.776236206540002,4.4597225,3.527438,5890820.835339999,0.0,2128.8693,0.17985878990921358,0.0
2044,48.626078981933986,40.66,32.540578,13.992448539999998,24.776236206540002,4.4597225,5.3976718,5890820.835339999,0.0,1935.3357,0.16350799082655781,0.0
2045,50.57112214121135,40.66,32.540578,13.992448539999998,24.776236206540002,4.4597225,7.342715,5890820.835339999,0.0,1759.3961,0.14864362802414344,0.0
