year,demand_twh,gas_avail_twh_th,gas_to_power_twh_th,gas_generation_twh_e,solar_generation_twh_e,storage_discharge_twh_e,unserved_twh,emissions_tco2,gas_shadow_price_usd_per_twh_th,carbon_shadow_usd_per_tco2,discount_factor,subsidy_per_mw_usd,solar_eaas_add_mw
2025,23.08,40.66,40.66,17.4838,3.5478000000000005,0.638604,1.409796,7360679.8,4292732100.0,0.0,1.0,0.0,1000.0
2026,24.0032,40.8633,39.213031,16.86160333,5.913000000000001,1.06434,0.16425648,7098735.00193,0.0,21557.111,0.9090909090909091,0.0,0.0
2027,24.963328,41.067616,37.750341,16.232646629999998,7.666341516036002,1.06434,0.0,6833944.231229998,0.0,123.91194,0.8264462809917354,0.0,0.0
2028,25.961861120000002,41.272955,36.28765,15.6036895,9.293831686152002,1.06434,0.0,6569153.2795,0.0,106.61104,0.7513148009015775,0.0,688.09833
2029,27.000335564800004,41.479319,34.824959,14.97473237,10.961263177884002,1.06434,0.0,6304362.327769999,0.0,92.117622,0.6830134553650705,0.0,704.98541
2030,28.080348987392,41.686716,33.362268,14.34577524,12.670233660180003,1.06434,0.0,6039571.37604,0.0,79.945172,0.6209213230591549,0.0,0.0
2031,29.203562946887686,41.89515,33.362268,14.34577524,13.793447627280003,1.06434,0.0,6039571.37604,0.0,68.14236,0.5644739300537772,0.0,474.89175
2032,30.371705464763192,42.104625,33.362268,14.34577524,14.961590153064003,1.06434,0.0,6039571.37604,0.0,58.340159,0.5131581182307065,0.0,0.0
2033,31.58657368335372,42.315148,33.362268,14.34577524,16.176458363796005,1.06434,0.0,6039571.37604,0.0,50.182924,0.4665073802097331,0.0,513.64291
2034,32.85003663068787,42.526724,33.362268,14.34577524,17.439921311472006,1.06434,0.0,6039571.37604,0.0,42.213576,0.42409761837248455,0.0,534.18863
2035,34.16403809591539,42.739358,33.362268,14.34577524,18.753922788408005,1.06434,0.0,6039571.37604,0.0,11.378334,0.3855432894295314,0.0,555.55618
2036,35.530599619752,42.953055,33.362268,14.34577524,20.120484307392,1.06434,0.0,6039571.37604,0.0,12.647876,0.3504938994813922,0.0,0.0
2037,36.951823604542085,43.16782,33.362268,14.34577524,21.541708294704005,1.06434,0.0,6039571.37604,0.0,8.7054197,0.3186308177103565,0.0,0.0
2038,38.42989654872377,43.383659,33.362268,14.34577524,23.019781235832006,1.06434,0.0,6039571.37604,0.0,7.7024535,0.2896643797366877,0.0,0.0
2039,39.96709241067272,43.600577,33.362268,14.34577524,24.556977105012006,1.06434,0.0,6039571.37604,0.0,4.8865873,0.26333125430607973,0.0,0.0
2040,41.56577610709963,43.81858,33.362268,14.34577524,26.155660794768007,1.06434,0.0,6039571.37604,0.0,6.1908175,0.23939204936916333,0.0,675.91903
2041,43.228407151383614,44.037673,33.362268,14.34577524,27.81829182927601,1.06434,0.0,6039571.37604,0.0,5.4690645,0.2176291357901485,0.0,0.0
2042,44.957543437438964,44.257861,33.362268,14.34577524,29.54742812503201,1.06434,0.0,6039571.37604,0.0,4.8273756,0.19784466890013497,0.0,731.07403
2043,46.75584517493653,44.479151,33.362268,14.34577524,31.34572986978001,1.06434,0.0,6039571.37604,0.0,4.2571585,0.17985878990921358,0.0,760.31699
2044,48.626078981933986,44.701546,33.362268,14.34577524,33.21596368526401,1.06434,0.0,6039571.37604,0.0,3.7507215,0.16350799082655781,0.0,790.72967
2045,50.57112214121135,44.925054,33.362268,14.34577524,35.16100683728401,1.06434,0.0,6039571.37604,0.0,84.047105,0.14864362802414344,0.0,0.0
