year,demand_twh,gas_avail_twh_th,gas_to_power_twh_th,gas_generation_twh_e,solar_generation_twh_e,storage_discharge_twh_e,unserved_twh,emissions_tco2,gas_shadow_price_usd_per_twh_th,carbon_shadow_usd_per_tco2,discount_factor,subsidy_per_mw_usd,solar_eaas_add_mw
2025,23.08,40.66,40.66,17.4838,3.5478000000000005,0.638604,1.409796,7360679.8,4292732100.0,0.0,1.0,0.0,1000.0
2026,24.0032,40.66,14.749633,6.342342189999999,5.913000000000001,1.06434,10.683518,2670126.06199,0.0,21557.111,0.9090909090909091,0.0,1000.0
2027,24.963328,40.66,0.0,0.0,8.278200000000002,1.490076,15.195052,0.0,0.0,19597.373,0.8264462809917354,0.0,1000.0
2028,25.961861120000002,40.66,0.0,0.0,10.643400000000002,1.915812,13.402649,0.0,0.0,17815.794,0.7513148009015775,0.0,1000.0
2029,27.000335564800004,40.66,0.0,0.0,13.008600000000003,2.341548,11.650188,0.0,0.0,16196.176,0.6830134553650705,0.0,0.0
2030,28.080348987392,40.66,0.0,0.0,15.373800000000003,2.767284,9.939265,0.0,0.0,14723.797,0.6209213230591549,0.0,1000.0
2031,29.203562946887686,40.66,0.0,0.0,17.739000000000004,3.19302,8.2715429,0.0,0.0,13385.27,0.5644739300537772,0.0,0.0
2032,30.371705464763192,40.66,0.0,0.0,20.104200000000002,3.618756,6.6487495,0.0,0.0,12168.427,0.5131581182307065,0.0,0.0
2033,31.58657368335372,40.66,0.0,0.0,22.469400000000004,4.044492,5.0726817,0.0,0.0,11062.206,0.4665073802097331,0.0,1000.0
2034,32.85003663068787,40.66,0.0,0.0,24.834600000000005,4.470228,3.5452086,0.0,0.0,10056.551,0.42409761837248455,0.0,0.0
2035,34.16403809591539,40.66,0.0,0.0,27.199800000000007,4.895964,2.0682741,0.0,0.0,9142.3193,0.3855432894295314,0.0,0.0
2036,35.530599619752,40.66,0.0,0.0,29.565000000000005,5.3217,0.64389962,0.0,0.0,8311.1994,0.3504938994813922,0.0,1000.0
2037,36.951823604542085,40.66,0.0,0.0,31.630123599156008,5.3217,0.0,0.0,0.0,8.7054197,0.3186308177103565,0.0,873.12853
2038,38.42989654872377,40.66,0.0,0.0,33.108196540284005,5.3217,0.0,0.0,0.0,7.7024535,0.2896643797366877,0.0,624.92514
2039,39.96709241067272,40.66,0.0,0.0,34.64539240946401,5.3217,0.0,0.0,0.0,4.8865873,0.26333125430607973,0.0,649.92215
2040,41.56577610709963,40.66,0.0,0.0,36.24407609922001,5.3217,0.0,0.0,0.0,6.1908175,0.23939204936916333,0.0,675.91903
2041,43.228407151383614,40.66,0.0,0.0,37.906707133728005,5.3217,0.0,0.0,0.0,5.4690645,0.2176291357901485,0.0,0.0
2042,44.957543437438964,40.66,0.0,0.0,39.635843429484005,5.3217,0.0,0.0,0.0,4.8273756,0.19784466890013497,0.0,731.07403
2043,46.75584517493653,40.66,0.0,0.0,41.43414517423201,5.3217,0.0,0.0,0.0,4.2571585,0.17985878990921358,0.0,0.0
2044,48.626078981933986,40.66,0.0,0.0,43.30437898971601,5.3217,0.0,0.0,0.0,3.7507215,0.16350799082655781,0.0,0.0
2045,50.57112214121135,40.66,0.0,0.0,45.24942214173601,5.3217,0.0,0.0,0.0,84.047105,0.14864362802414344,0.0,822.35885
