year,demand_twh,gas_avail_twh_th,gas_to_power_twh_th,gas_generation_twh_e,solar_generation_twh_e,storage_discharge_twh_e,unserved_twh,emissions_tco2,gas_shadow_price_usd_per_twh_th,carbon_shadow_usd_per_tco2,discount_factor,subsidy_per_mw_usd,solar_eaas_add_mw
2025,23.08,40.66,40.66,17.4838,2.6017200000000007,0.4683096,2.5261704,7360679.8,2142732100.0,0.0,1.0,0.0,0.0
2026,24.0032,40.66,36.852204,15.84644772,4.966920000000001,0.8940456,2.2957865,6671354.49012,0.0,10760.307,0.9090909090909091,0.0,0.0
2027,24.963328,40.66,33.028686,14.20233498,7.3321200000000015,1.3197816,2.1090912,5979183.02658,0.0,9782.0969,0.8264462809917354,0.0,0.0
2028,25.961861120000002,40.66,29.205169,12.558222670000001,9.697320000000001,1.7455176,1.960801,5287011.744070001,0.0,8892.8154,0.7513148009015775,0.0,1000.0
2029,27.000335564800004,40.66,25.381651,10.91410993,12.062520000000003,2.1712536,1.8524522,4594840.28053,0.0,8084.3776,0.6830134553650705,0.0,1000.0
2030,28.080348987392,40.66,21.558133,9.26999719,14.427720000000003,2.5969896,1.7856423,3902668.8169899997,0.0,7349.4342,0.6209213230591549,0.0,1000.0
2031,29.203562946887686,40.66,21.558133,9.26999719,16.792920000000002,3.0227256,0.11792024,3902668.8169899997,0.0,6681.3038,0.5644739300537772,0.0,1000.0
2032,30.371705464763192,40.66,21.558133,9.26999719,18.078982764804003,3.0227256,0.0,3902668.8169899997,0.0,58.340159,0.5131581182307065,0.0,0.0
2033,31.58657368335372,40.66,21.558133,9.26999719,19.293850975536003,3.0227256,0.0,3902668.8169899997,0.0,50.182924,0.4665073802097331,0.0,513.64291
2034,32.85003663068787,40.66,21.558133,9.26999719,20.557313923212003,3.0227256,0.0,3902668.8169899997,0.0,42.213576,0.42409761837248455,0.0,534.18863
2035,34.16403809591539,40.66,21.558133,9.26999719,21.871315400148003,3.0227256,0.0,3902668.8169899997,0.0,11.378334,0.3855432894295314,0.0,0.0
2036,35.530599619752,40.66,21.558133,9.26999719,23.237876919132006,3.0227256,0.0,3902668.8169899997,0.0,12.647876,0.3504938994813922,0.0,577.77842
2037,36.951823604542085,40.66,21.558133,9.26999719,24.659100906444003,3.0227256,0.0,3902668.8169899997,0.0,8.7054197,0.3186308177103565,0.0,600.88956
2038,38.42989654872377,40.66,21.558133,9.26999719,26.137173847572004,3.0227256,0.0,3902668.8169899997,0.0,7.7024535,0.2896643797366877,0.0,0.0
2039,39.96709241067272,40.66,21.558133,9.26999719,27.674369716752004,3.0227256,0.0,3902668.8169899997,0.0,4.8865873,0.26333125430607973,0.0,649.92215
2040,41.56577610709963,40.66,21.558133,9.26999719,29.27305340650801,3.0227256,0.0,3902668.8169899997,0.0,6.1908175,0.23939204936916333,0.0,675.91903
2041,43.228407151383614,40.66,21.558133,9.26999719,30.935684441016008,3.0227256,0.0,3902668.8169899997,0.0,5.4690645,0.2176291357901485,0.0,702.95579
2042,44.957543437438964,40.66,21.558133,9.26999719,32.66482073677201,3.0227256,0.0,3902668.8169899997,0.0,4.8273756,0.19784466890013497,0.0,0.0
2043,46.75584517493653,40.66,21.558133,9.26999719,34.46312248152,3.0227256,0.0,3902668.8169899997,0.0,4.2571585,0.17985878990921358,0.0,0.0
2044,48.626078981933986,40.66,21.558133,9.26999719,36.33335629700401,3.0227256,0.0,3902668.8169899997,0.0,3.7507215,0.16350799082655781,0.0,0.0
2045,50.57112214121135,40.66,21.558133,9.26999719,38.27839944902401,3.0227256,0.0,3902668.8169899997,0.0,84.047105,0.14864362802414344,0.0,822.35885
