year,demand_twh,gas_avail_twh_th,gas_to_power_twh_th,gas_generation_twh_e,solar_generation_twh_e,storage_discharge_twh_e,unserved_twh,emissions_tco2,gas_shadow_price_usd_per_twh_th,carbon_shadow_usd_per_tco2,discount_factor,subsidy_per_mw_usd,solar_eaas_add_mw
2025,23.08,40.66,40.66,17.4838,2.6017200000000007,0.4683096,2.5261704,7360679.8,4292732100.0,0.0,1.0,0.0,0.0
2026,24.0032,40.66,39.048693,16.79093799,4.966920000000001,0.8940456,1.3512963,7068984.893789999,0.0,21557.111,0.9090909090909091,0.0,0.0
2027,24.963328,40.66,37.421664,16.09131552,7.3321200000000015,1.3197816,0.22011068,6774443.833919999,0.0,19597.373,0.8264462809917354,0.0,0.0
2028,25.961861120000002,40.66,35.794636,15.391693479999999,9.250386226128002,1.3197816,0.0,6479902.955079999,0.0,106.61104,0.7513148009015775,0.0,811.03764
2029,27.000335564800004,40.66,34.167607,14.692071009999998,10.988483082084002,1.3197816,0.0,6185361.895209999,0.0,92.117622,0.6830134553650705,0.0,734.86253
2030,28.080348987392,40.66,32.540578,13.992448539999998,12.768118928604004,1.3197816,0.0,5890820.835339999,0.0,79.945172,0.6209213230591549,0.0,752.4251
2031,29.203562946887686,40.66,32.540578,13.992448539999998,13.891332895704004,1.3197816,0.0,5890820.835339999,0.0,68.14236,0.5644739300537772,0.0,474.89175
2032,30.371705464763192,40.66,32.540578,13.992448539999998,15.059475421488003,1.3197816,0.0,5890820.835339999,0.0,58.340159,0.5131581182307065,0.0,0.0
2033,31.58657368335372,40.66,32.540578,13.992448539999998,16.274343632220003,1.3197816,0.0,5890820.835339999,0.0,50.182924,0.4665073802097331,0.0,513.64291
2034,32.85003663068787,40.66,32.540578,13.992448539999998,17.537806579896003,1.3197816,0.0,5890820.835339999,0.0,42.213576,0.42409761837248455,0.0,534.18863
2035,34.16403809591539,40.66,32.540578,13.992448539999998,18.851808056832002,1.3197816,0.0,5890820.835339999,0.0,11.378334,0.3855432894295314,0.0,0.0
2036,35.530599619752,40.66,32.540578,13.992448539999998,20.218369575816006,1.3197816,0.0,5890820.835339999,0.0,12.647876,0.3504938994813922,0.0,577.77842
2037,36.951823604542085,40.66,32.540578,13.992448539999998,21.639593563128003,1.3197816,0.0,5890820.835339999,0.0,8.7054197,0.3186308177103565,0.0,600.88956
2038,38.42989654872377,40.66,32.540578,13.992448539999998,23.117666504256004,1.3197816,0.0,5890820.835339999,0.0,7.7024535,0.2896643797366877,0.0,0.0
2039,39.96709241067272,40.66,32.540578,13.992448539999998,24.654862373436004,1.3197816,0.0,5890820.835339999,0.0,4.8865873,0.26333125430607973,0.0,649.92215
2040,41.56577610709963,40.66,32.540578,13.992448539999998,26.253546063192,1.3197816,0.0,5890820.835339999,0.0,6.1908175,0.23939204936916333,0.0,675.91903
2041,43.228407151383614,40.66,32.540578,13.992448539999998,27.916177097700004,1.3197816,0.0,5890820.835339999,0.0,5.4690645,0.2176291357901485,0.0,702.95579
2042,44.957543437438964,40.66,32.540578,13.992448539999998,29.645313393456004,1.3197816,0.0,5890820.835339999,0.0,4.8273756,0.19784466890013497,0.0,0.0
2043,46.75584517493653,40.66,32.540578,13.992448539999998,31.443615138204002,1.3197816,0.0,5890820.835339999,0.0,4.2571585,0.17985878990921358,0.0,0.0
2044,48.626078981933986,40.66,32.540578,13.992448539999998,33.313848953688,1.3197816,0.0,5890820.835339999,0.0,3.7507215,0.16350799082655781,0.0,0.0
2045,50.57112214121135,40.66,32.540578,13.992448539999998,35.25889210570801,1.3197816,0.0,5890820.835339999,0.0,84.047105,0.14864362802414344,0.0,822.35885
