year,demand_twh,gas_to_power_twh_th,gas_generation_twh_e,solar_generation_twh_e,storage_discharge_twh_e,unserved_twh,emissions_tco2,gas_shadow_usd_per_twh_th,carbon_shadow_usd_per_tco2,discount_factor
2025,23.08,40.66,17.4838,5.596199908560001,0.0,0.0,7360679.8,16796219.0,0.0,1.0
2026,24.0032,40.66,17.4838,6.5193999098400015,0.0,0.0,7360679.8,15269290.0,0.0,0.9090909090909091
2027,24.963328,40.66,17.4838,7.479527920632002,0.0,0.0,7360679.8,13881173.0,0.0,0.8264462809917354
2028,25.961861120000002,40.66,17.4838,8.478061031988002,0.0,0.0,7360679.8,12619248.0,0.0,0.7513148009015775
2029,27.000335564800004,40.66,17.4838,9.516535488612002,0.0,0.0,7360679.8,11472044.0,0.0,0.6830134553650705
2030,28.080348987392,40.66,17.4838,10.596548912148,0.0,0.0,7360679.8,10429131.0,0.0,0.6209213230591549
2031,29.203562946887686,40.66,17.4838,11.719762879248002,0.0,0.0,7360679.8,9481027.8,0.0,0.5644739300537772
2032,30.371705464763192,40.66,17.4838,12.887905405032003,0.0,0.0,7360679.8,8619116.1,0.0,0.5131581182307065
2033,31.58657368335372,40.66,17.4838,14.102773615764002,0.0,0.0,7360679.8,7835560.1,0.0,0.4665073802097331
2034,32.85003663068787,40.66,17.4838,15.366236563440001,0.0,0.0,7360679.8,7123236.5,0.0,0.42409761837248455
2035,34.16403809591539,40.66,17.4838,16.680238040376004,0.0,0.0,7360679.8,6475669.5,0.0,0.3855432894295314
2036,35.530599619752,40.66,17.4838,18.04679955936,0.0,0.0,7360679.8,5886972.3,0.0,0.3504938994813922
2037,36.951823604542085,40.66,17.4838,19.468023546672004,0.0,0.0,7360679.8,5351793.0,0.0,0.3186308177103565
2038,38.42989654872377,40.66,17.4838,20.946096487800002,0.0,0.0,7360679.8,4865266.4,0.0,0.2896643797366877
2039,39.96709241067272,40.66,17.4838,22.48329235698,0.0,0.0,7360679.8,4422969.4,0.0,0.26333125430607973
2040,41.56577610709963,40.66,17.4838,24.081976046736003,0.0,0.0,7360679.8,4020881.3,0.0,0.23939204936916333
2041,43.228407151383614,40.66,17.4838,25.744607081244002,0.0,0.0,7360679.8,3655346.6,0.0,0.2176291357901485
2042,44.957543437438964,40.66,17.4838,27.473743377,0.0,0.0,7360679.8,3323042.4,0.0,0.19784466890013497
2043,46.75584517493653,40.66,17.4838,29.272045121748,0.0,0.0,7360679.8,3020947.6,0.0,0.17985878990921358
2044,48.626078981933986,40.66,17.4838,31.142278937232003,0.0,0.0,7360679.8,2746316.0,0.0,0.16350799082655781
2045,50.57112214121135,40.66,17.4838,33.087322089252005,0.0,0.0,7360679.8,38266374.0,0.0,0.14864362802414344
