case,year,subsidy_per_mw_usd,carbon_shadow_usd_per_tco2,solar_eaas_add_mw
baseline_no_policy,2025,0.0,0.0,0.0
baseline_no_policy,2026,0.0,0.0,0.0
baseline_no_policy,2027,0.0,0.0,0.0
baseline_no_policy,2028,0.0,0.0,0.0
baseline_no_policy,2029,0.0,0.0,0.0
baseline_no_policy,2030,0.0,0.0,0.0
baseline_no_policy,2031,0.0,0.0,0.0
baseline_no_policy,2032,0.0,0.0,0.0
baseline_no_policy,2033,0.0,0.0,0.0
baseline_no_policy,2034,0.0,0.0,0.0
baseline_no_policy,2035,0.0,0.0,0.0
baseline_no_policy,2036,0.0,0.0,0.0
baseline_no_policy,2037,0.0,0.0,0.0
baseline_no_policy,2038,0.0,0.0,0.0
baseline_no_policy,2039,0.0,0.0,0.0
baseline_no_policy,2040,0.0,0.0,0.0
baseline_no_policy,2041,0.0,0.0,0.0
baseline_no_policy,2042,0.0,0.0,0.0
baseline_no_policy,2043,0.0,0.0,0.0
baseline_no_policy,2044,0.0,0.0,0.0
baseline_no_policy,2045,0.0,0.0,0.0
ndc2_unconditional,2025,0.0,0.0,0.0
ndc2_unconditional,2026,0.0,21557.111,0.0
ndc2_unconditional,2027,0.0,19597.373,0.0
ndc2_unconditional,2028,0.0,17815.794,0.0
ndc2_unconditional,2029,0.0,16196.176,0.0
ndc2_unconditional,2030,0.0,14723.797,0.0
ndc2_unconditional,2031,0.0,13385.27,0.0
ndc2_unconditional,2032,0.0,12168.427,0.0
ndc2_unconditional,2033,0.0,11062.206,0.0
ndc2_unconditional,2034,0.0,10056.551,0.0
ndc2_unconditional,2035,0.0,9142.3193,0.0
ndc2_unconditional,2036,0.0,8311.1994,0.0
ndc2_unconditional,2037,0.0,7555.6358,0.0
ndc2_unconditional,2038,0.0,3314.2368,0.0
ndc2_unconditional,2039,0.0,2648.9627,0.0
ndc2_unconditional,2040,0.0,5030.2915,0.0
ndc2_unconditional,2041,0.0,5160.6009,0.0
ndc2_unconditional,2042,0.0,4691.4554,0.0
ndc2_unconditional,2043,0.0,4264.9594,0.0
ndc2_unconditional,2044,0.0,3877.2359,0.0
ndc2_unconditional,2045,0.0,3524.7599,0.0
ndc2_conditional,2025,0.0,0.0,0.0
ndc2_conditional,2026,0.0,21557.111,0.0
