mode,eps,status,npv_cost,solar_total_mw,horizon_reliability,worst_year_reliability,cumulative_unserved_twh
annual,0.2,feasible,23918116795.49587,12443.82925,0.9980893168326481,0.9389169844020797,1.409796
annual,0.15,feasible,23918116795.49587,12443.82925,0.9980893168326481,0.9389169844020797,1.409796
annual,0.1,feasible,23918116795.49587,12443.82925,0.9980893168326481,0.9389169844020797,1.409796
annual,0.08,feasible,23918116795.49587,12443.82925,0.9980893168326481,0.9389169844020797,1.409796
annual,0.06,error: Solver failed with termination condition: infeasible,,,,,
annual,0.05,error: Solver failed with termination condition: infeasible,,,,,
total,0.2,feasible,23918116795.49587,12443.82925,0.9980893168326481,0.9389169844020797,1.409796
total,0.15,feasible,23918116795.49587,12443.82925,0.9980893168326481,0.9389169844020797,1.409796
total,0.1,feasible,23918116795.49587,12443.82925,0.9980893168326481,0.9389169844020797,1.409796
total,0.08,feasible,23918116795.49587,12443.82925,0.9980893168326481,0.9389169844020797,1.409796
total,0.06,feasible,23918116795.49587,12443.82925,0.9980893168326481,0.9389169844020797,1.409796
total,0.05,feasible,23918116795.49587,12443.82925,0.9980893168326481,0.9389169844020797,1.409796
