retirement_label,retirement_mw_yr,gas_case,eps,eps_label,status,npv_cost,unserved_total_twh,horizon_reliability,solar_total_mw
no_retirement,0.0,baseline,,voll_only,feasible,9527136237.188107,0.0,1.0,13489.228009999999
no_retirement,0.0,baseline,0.2,eps_0.20,feasible,9527136237.188107,0.0,1.0,13489.228009999999
no_retirement,0.0,baseline,0.15,eps_0.15,feasible,9527136237.188107,0.0,1.0,13489.228009999999
no_retirement,0.0,baseline,0.1,eps_0.10,feasible,9527136237.188107,0.0,1.0,13489.228009999999
no_retirement,0.0,baseline,0.08,eps_0.08,feasible,9527136237.188107,0.0,1.0,13489.228009999999
no_retirement,0.0,baseline,0.06,eps_0.06,feasible,9527136237.188107,0.0,1.0,13489.228009999999
no_retirement,0.0,baseline,0.05,eps_0.05,feasible,9527136237.188107,0.0,1.0,13489.228009999999
no_retirement,0.0,upside,,voll_only,feasible,9152171332.941607,0.0,1.0,12010.807569999999
no_retirement,0.0,upside,0.2,eps_0.20,feasible,9152171332.941607,0.0,1.0,12010.807569999999
no_retirement,0.0,upside,0.15,eps_0.15,feasible,9152171332.941607,0.0,1.0,12010.807569999999
no_retirement,0.0,upside,0.1,eps_0.10,feasible,9152171332.941607,0.0,1.0,12010.807569999999
no_retirement,0.0,upside,0.08,eps_0.08,feasible,9152171332.941607,0.0,1.0,12010.807569999999
no_retirement,0.0,upside,0.06,eps_0.06,feasible,9152171332.941607,0.0,1.0,12010.807569999999
no_retirement,0.0,upside,0.05,eps_0.05,feasible,9152171332.941607,0.0,1.0,12010.807569999999
no_retirement,0.0,downside,,voll_only,feasible,64495347959.08288,15.134238,0.9794887105671335,14403.51769
no_retirement,0.0,downside,0.2,eps_0.20,feasible,64495347959.08288,15.134238,0.9794887105671335,14403.51769
no_retirement,0.0,downside,0.15,eps_0.15,feasible,64495347959.08288,15.134238,0.9794887105671335,14403.51769
no_retirement,0.0,downside,0.1,eps_0.10,feasible,64495347959.08288,15.134238,0.9794887105671335,14403.51769
no_retirement,0.0,downside,0.08,eps_0.08,feasible,64495347959.08288,15.134238,0.9794887105671335,14403.51769
no_retirement,0.0,downside,0.06,eps_0.06,feasible,64495347959.08288,15.134238,0.9794887105671335,14403.51769
no_retirement,0.0,downside,0.05,eps_0.05,feasible,64495347959.08288,15.134238,0.9794887105671335,14403.51769
no_retirement,0.0,shock_recovery,,voll_only,feasible,9477572989.183296,0.0,1.0,12010.80758
no_retirement,0.0,shock_recovery,0.2,eps_0.20,feasible,9477572989.183296,0.0,1.0,12010.80758
no_retirement,0.0,shock_recovery,0.15,eps_0.15,feasible,9477572989.183296,0.0,1.0,12010.80758
no_retirement,0.0,shock_recovery,0.1,eps_0.10,feasible,9477572989.183296,0.0,1.0,12010.80758
no_retirement,0.0,shock_recovery,0.08,eps_0.08,feasible,9477572989.183296,0.0,1.0,12010.80758
no_retirement,0.0,shock_recovery,0.06,eps_0.06,feasible,9477572989.183296,0.0,1.0,12010.80758
