retirement_label,retirement_mw_yr,gas_case,tightest_feasible_eps,npv_cost_at_threshold
default,680.0,baseline,0.05,9312130762.041323
default,680.0,downside,0.05,15853485461.23597
default,680.0,shock_recovery,0.05,9639604211.02234
default,680.0,upside,0.05,8872976864.825691
fast,1360.0,baseline,0.05,10132870323.703447
fast,1360.0,downside,0.05,47852550385.396515
fast,1360.0,shock_recovery,0.05,17197066272.42723
fast,1360.0,upside,0.05,9956348125.481855
no_retirement,0.0,baseline,0.05,9312130762.041323
no_retirement,0.0,downside,0.05,15853485461.23597
no_retirement,0.0,shock_recovery,0.05,9639604211.02234
no_retirement,0.0,upside,0.05,8872976864.825691
slow,340.0,baseline,0.05,9312130762.041323
slow,340.0,downside,0.05,15853485461.23597
slow,340.0,shock_recovery,0.05,9639604211.02234
slow,340.0,upside,0.05,8872976864.825691
