gas_case,financing_label,policy_label,feasibility_threshold_eps,fully_infeasible,npv_cost_at_threshold,solar_eaas_mw_at_threshold
baseline,eaas,ndc2_conditional,0.05,False,62364282525.03957,
baseline,eaas,ndc2_unconditional,0.05,False,27626309790.799377,
baseline,eaas,ndc3_conditional,0.05,False,29660146669.605778,
baseline,eaas,ndc3_unconditional,0.05,False,26652158361.09576,
baseline,eaas,no_policy,0.05,False,24133122270.64265,
baseline,public_only,ndc2_conditional,0.06,False,292334629564.7292,
baseline,public_only,ndc2_unconditional,0.15,False,470512964766.4579,
baseline,public_only,ndc3_conditional,0.05,False,126587152967.34277,
baseline,public_only,ndc3_unconditional,0.15,False,467400556698.00226,
baseline,public_only,no_policy,0.05,False,24133122270.642654,
downside,eaas,ndc2_conditional,0.05,False,62364282525.03957,
downside,eaas,ndc2_unconditional,0.05,False,27872050704.274258,
downside,eaas,ndc3_conditional,0.05,False,29725912962.46303,
downside,eaas,ndc3_unconditional,0.05,False,26865616283.739086,
downside,eaas,no_policy,0.05,False,26215543624.118046,
downside,public_only,ndc2_conditional,0.06,False,292334629564.7292,
downside,public_only,ndc2_unconditional,0.15,False,538766698977.6142,
downside,public_only,ndc3_conditional,0.05,False,134932519014.99011,
downside,public_only,ndc3_unconditional,0.15,False,525265441188.02014,
downside,public_only,no_policy,0.05,False,26215543624.11805,
shock_recovery,eaas,ndc2_conditional,0.05,False,62364282525.03957,
shock_recovery,eaas,ndc2_unconditional,0.05,False,27626309790.799377,
shock_recovery,eaas,ndc3_conditional,0.05,False,29660146669.605778,
shock_recovery,eaas,ndc3_unconditional,0.05,False,26652158361.09576,
shock_recovery,eaas,no_policy,0.05,False,24081434140.03691,
shock_recovery,public_only,ndc2_conditional,0.06,False,292334629564.7292,
shock_recovery,public_only,ndc2_unconditional,0.15,False,470512964766.4579,
shock_recovery,public_only,ndc3_conditional,0.05,False,126587152967.34277,
shock_recovery,public_only,ndc3_unconditional,0.15,False,467400556698.00226,
shock_recovery,public_only,no_policy,0.05,False,24081434140.036915,
upside,eaas,ndc2_conditional,0.05,False,62364282525.03957,
upside,eaas,ndc2_unconditional,0.05,False,27626309790.799377,
upside,eaas,ndc3_conditional,0.05,False,29660146669.605778,
upside,eaas,ndc3_unconditional,0.05,False,26652158361.09576,
upside,eaas,no_policy,0.05,False,23758157366.396156,
upside,public_only,ndc2_conditional,0.06,False,292334629564.7292,
upside,public_only,ndc2_unconditional,0.15,False,470512964766.4579,
upside,public_only,ndc3_conditional,0.05,False,126587152967.34277,
upside,public_only,ndc3_unconditional,0.15,False,467400556698.00226,
upside,public_only,no_policy,0.05,False,23758157366.396156,
