surplus_frac,hd,financing_arm,policy_label,storage_final_mwh,solar_eaas_mw,complement_ratio,storage_role,status
0.1,200,eaas,ndc3_unconditional,48127.456999999995,13036.619009999999,3.69171308627512,substitute,optimal
0.1,700,eaas,ndc3_unconditional,13750.702,13036.619009999999,1.0547751675071773,substitute,optimal
0.1,1200,eaas,ndc3_unconditional,8021.2428,13036.619009999999,0.6152855118222865,substitute,optimal
0.1,200,eaas,no_policy,0.0,6522.185869999999,0.0,complement,optimal
0.1,700,eaas,no_policy,0.0,2285.63163,0.0,complement,optimal
0.1,1200,eaas,no_policy,0.0,2285.63163,0.0,complement,optimal
0.1,200,public_only,ndc3_unconditional,81210.33829999997,0.0,,,optimal
0.1,700,public_only,ndc3_unconditional,23202.953759999993,0.0,,,optimal
0.1,1200,public_only,ndc3_unconditional,13535.056410000001,0.0,,,optimal
0.1,200,public_only,no_policy,0.0,0.0,,,optimal
0.1,700,public_only,no_policy,0.0,0.0,,,optimal
0.1,1200,public_only,no_policy,0.0,0.0,,,optimal
0.2,200,eaas,ndc3_unconditional,80416.79999999999,10996.436660000001,7.312987150875835,substitute,optimal
0.2,700,eaas,ndc3_unconditional,22976.2288,10106.473890000001,2.2734169256335948,substitute,optimal
0.2,1200,eaas,ndc3_unconditional,13402.800000000001,9870.65657,1.3578428045744482,substitute,optimal
0.2,200,eaas,no_policy,0.0,6522.185869999999,0.0,complement,optimal
0.2,700,eaas,no_policy,0.0,6522.185869999999,0.0,complement,optimal
0.2,1200,eaas,no_policy,0.0,6522.185869999999,0.0,complement,optimal
0.2,200,public_only,ndc3_unconditional,150321.2932,0.0,,,optimal
0.2,700,public_only,ndc3_unconditional,42948.940720000006,0.0,,,optimal
0.2,1200,public_only,ndc3_unconditional,25053.54894,0.0,,,optimal
0.2,200,public_only,no_policy,0.0,0.0,,,optimal
0.2,700,public_only,no_policy,0.0,0.0,,,optimal
0.2,1200,public_only,no_policy,0.0,0.0,,,optimal
0.35,200,eaas,ndc3_unconditional,130170.247,12698.360359999999,10.25094920207478,substitute,optimal
0.35,700,eaas,ndc3_unconditional,37191.4992,12259.29624,3.0337385174403777,substitute,optimal
0.35,1200,eaas,ndc3_unconditional,21695.0412,11783.673889999998,1.8411101157857996,substitute,optimal
0.35,200,eaas,no_policy,0.0,6522.185869999999,0.0,complement,optimal
0.35,700,eaas,no_policy,0.0,6522.185869999999,0.0,complement,optimal
0.35,1200,eaas,no_policy,0.0,6522.185869999999,0.0,complement,optimal
0.35,200,public_only,ndc3_unconditional,236735.7545000001,0.0,,,optimal
0.35,700,public_only,ndc3_unconditional,67638.78679999997,0.0,,,optimal
0.35,1200,public_only,ndc3_unconditional,39455.95909000001,0.0,,,optimal
0.35,200,public_only,no_policy,0.0,0.0,,,optimal
0.35,700,public_only,no_policy,0.0,0.0,,,optimal
0.35,1200,public_only,no_policy,0.0,0.0,,,optimal
