surplus_frac,hd,financing_arm,policy_label,storage_final_mwh,solar_eaas_mw,complement_ratio,storage_role,status
0.1,200,eaas,ndc3_unconditional,0.0,6520.02213,0.0,complement,optimal
0.1,700,eaas,ndc3_unconditional,0.0,5828.752379999999,0.0,complement,optimal
0.1,1200,eaas,ndc3_unconditional,0.0,5274.63096,0.0,complement,optimal
0.1,200,eaas,no_policy,0.0,5627.658,0.0,complement,optimal
0.1,700,eaas,no_policy,0.0,5627.658,0.0,complement,optimal
0.1,1200,eaas,no_policy,0.0,5627.658,0.0,complement,optimal
0.1,200,public_only,ndc3_unconditional,0.0,0.0,,,optimal
0.1,700,public_only,ndc3_unconditional,0.0,0.0,,,optimal
0.1,1200,public_only,ndc3_unconditional,0.0,0.0,,,optimal
0.1,200,public_only,no_policy,0.0,0.0,,,optimal
0.1,700,public_only,no_policy,0.0,0.0,,,optimal
0.1,1200,public_only,no_policy,0.0,0.0,,,optimal
0.2,200,eaas,ndc3_unconditional,0.0,6520.02213,0.0,complement,optimal
0.2,700,eaas,ndc3_unconditional,0.0,6520.02213,0.0,complement,optimal
0.2,1200,eaas,ndc3_unconditional,0.0,6520.02213,0.0,complement,optimal
0.2,200,eaas,no_policy,0.0,5627.658,0.0,complement,optimal
0.2,700,eaas,no_policy,0.0,5627.658,0.0,complement,optimal
0.2,1200,eaas,no_policy,0.0,5627.658,0.0,complement,optimal
0.2,200,public_only,ndc3_unconditional,0.0,0.0,,,optimal
0.2,700,public_only,ndc3_unconditional,0.0,0.0,,,optimal
0.2,1200,public_only,ndc3_unconditional,0.0,0.0,,,optimal
0.2,200,public_only,no_policy,0.0,0.0,,,optimal
0.2,700,public_only,no_policy,0.0,0.0,,,optimal
0.2,1200,public_only,no_policy,0.0,0.0,,,optimal
0.35,200,eaas,ndc3_unconditional,0.0,6520.02213,0.0,complement,optimal
0.35,700,eaas,ndc3_unconditional,0.0,6520.02213,0.0,complement,optimal
0.35,1200,eaas,ndc3_unconditional,0.0,6520.02213,0.0,complement,optimal
0.35,200,eaas,no_policy,0.0,5627.658,0.0,complement,optimal
0.35,700,eaas,no_policy,0.0,5627.658,0.0,complement,optimal
0.35,1200,eaas,no_policy,0.0,5627.658,0.0,complement,optimal
0.35,200,public_only,ndc3_unconditional,0.0,0.0,,,optimal
0.35,700,public_only,ndc3_unconditional,0.0,0.0,,,optimal
0.35,1200,public_only,ndc3_unconditional,0.0,0.0,,,optimal
0.35,200,public_only,no_policy,0.0,0.0,,,optimal
0.35,700,public_only,no_policy,0.0,0.0,,,optimal
0.35,1200,public_only,no_policy,0.0,0.0,,,optimal
