hd,surplus_frac,financing_arm,policy_label,status,npv_total_cost_usd,cumulative_unserved_twh,horizon_reliability,storage_final_mwh,storage_throughput_twh,storage_utilisation,power_limit_years,charge_limit_years,solar_total_mw,solar_eaas_total_mw,solar_public_total_mw,complement_ratio,storage_cost_npv
200,0.1,public_only,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,0.0,13489.228009999999,,0.0
200,0.1,eaas,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,6522.185869999999,6967.04214,0.0,0.0
200,0.2,public_only,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,0.0,13489.228009999999,,0.0
200,0.2,eaas,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,6522.185869999999,6967.04214,0.0,0.0
200,0.35,public_only,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,0.0,13489.228009999999,,0.0
200,0.35,eaas,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,6522.185869999999,6967.04214,0.0,0.0
700,0.1,public_only,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,0.0,13489.228009999999,,0.0
700,0.1,eaas,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,6522.185869999999,6967.04214,0.0,0.0
700,0.2,public_only,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,0.0,13489.228009999999,,0.0
700,0.2,eaas,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,6522.185869999999,6967.04214,0.0,0.0
700,0.35,public_only,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,0.0,13489.228009999999,,0.0
700,0.35,eaas,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,6522.185869999999,6967.04214,0.0,0.0
1200,0.1,public_only,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,0.0,13489.228009999999,,0.0
1200,0.1,eaas,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,6522.185869999999,6967.04214,0.0,0.0
1200,0.2,public_only,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,0.0,13489.228009999999,,0.0
1200,0.2,eaas,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,6522.185869999999,6967.04214,0.0,0.0
1200,0.35,public_only,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,0.0,13489.228009999999,,0.0
1200,0.35,eaas,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,6522.185869999999,6967.04214,0.0,0.0
200,0.1,public_only,ndc3_unconditional,optimal,38337470441.01976,10.9480241,0.9851622466203387,0.0,0.0,0.0,21,0,13070.1407,0.0,13070.1407,,0.0
200,0.1,eaas,ndc3_unconditional,optimal,10464143433.62477,0.0,1.0,0.0,0.0,0.0,21,0,15143.5462,6520.02213,8623.52407,0.0,0.0
200,0.2,public_only,ndc3_unconditional,optimal,38337470441.01976,10.9480241,0.9851622466203387,0.0,0.0,0.0,21,0,13070.1407,0.0,13070.1407,,0.0
200,0.2,eaas,ndc3_unconditional,optimal,10464143433.62477,0.0,1.0,0.0,0.0,0.0,21,0,15143.5462,6520.02213,8623.52407,0.0,0.0
200,0.35,public_only,ndc3_unconditional,optimal,38337470441.01976,10.9480241,0.9851622466203387,0.0,0.0,0.0,21,0,13070.1407,0.0,13070.1407,,0.0
200,0.35,eaas,ndc3_unconditional,optimal,10464143433.62477,0.0,1.0,0.0,0.0,0.0,21,0,15143.5462,6520.02213,8623.52407,0.0,0.0
700,0.1,public_only,ndc3_unconditional,optimal,38337470441.01976,10.9480241,0.9851622466203387,0.0,0.0,0.0,21,0,13070.1407,0.0,13070.1407,,0.0
700,0.1,eaas,ndc3_unconditional,optimal,10464143433.624767,0.0,1.0,0.0,0.0,0.0,21,0,15143.5462,5828.752379999999,9314.79382,0.0,0.0
700,0.2,public_only,ndc3_unconditional,optimal,38337470441.01976,10.9480241,0.9851622466203387,0.0,0.0,0.0,21,0,13070.1407,0.0,13070.1407,,0.0
700,0.2,eaas,ndc3_unconditional,optimal,10464143433.62477,0.0,1.0,0.0,0.0,0.0,21,0,15143.5462,6520.02213,8623.52407,0.0,0.0
700,0.35,public_only,ndc3_unconditional,optimal,38337470441.01976,10.9480241,0.9851622466203387,0.0,0.0,0.0,21,0,13070.1407,0.0,13070.1407,,0.0
700,0.35,eaas,ndc3_unconditional,optimal,10464143433.62477,0.0,1.0,0.0,0.0,0.0,21,0,15143.5462,6520.02213,8623.52407,0.0,0.0
1200,0.1,public_only,ndc3_unconditional,optimal,38337470441.01976,10.9480241,0.9851622466203387,0.0,0.0,0.0,21,0,13070.1407,0.0,13070.1407,,0.0
1200,0.1,eaas,ndc3_unconditional,optimal,10464143433.624765,0.0,1.0,0.0,0.0,0.0,21,0,15143.5462,5274.63096,9868.91524,0.0,0.0
1200,0.2,public_only,ndc3_unconditional,optimal,38337470441.01976,10.9480241,0.9851622466203387,0.0,0.0,0.0,21,0,13070.1407,0.0,13070.1407,,0.0
1200,0.2,eaas,ndc3_unconditional,optimal,10464143433.62477,0.0,1.0,0.0,0.0,0.0,21,0,15143.5462,6520.02213,8623.52407,0.0,0.0
1200,0.35,public_only,ndc3_unconditional,optimal,38337470441.01976,10.9480241,0.9851622466203387,0.0,0.0,0.0,21,0,13070.1407,0.0,13070.1407,,0.0
1200,0.35,eaas,ndc3_unconditional,optimal,10464143433.62477,0.0,1.0,0.0,0.0,0.0,21,0,15143.5462,6520.02213,8623.52407,0.0,0.0
