hd,surplus_frac,financing_arm,policy_label,storage_utilisation,hd_is_binding,power_limit_years,charge_limit_years,dominant_constraint,status
200,0.1,eaas,ndc3_unconditional,0.0,False,21,0,H_d (power throughput),optimal
200,0.1,eaas,no_policy,0.0,False,21,0,H_d (power throughput),optimal
200,0.1,public_only,ndc3_unconditional,0.0,False,21,0,H_d (power throughput),optimal
200,0.1,public_only,no_policy,0.0,False,21,0,H_d (power throughput),optimal
200,0.2,eaas,ndc3_unconditional,0.0,False,21,0,H_d (power throughput),optimal
200,0.2,eaas,no_policy,0.0,False,21,0,H_d (power throughput),optimal
200,0.2,public_only,ndc3_unconditional,0.0,False,21,0,H_d (power throughput),optimal
200,0.2,public_only,no_policy,0.0,False,21,0,H_d (power throughput),optimal
200,0.35,eaas,ndc3_unconditional,0.0,False,21,0,H_d (power throughput),optimal
200,0.35,eaas,no_policy,0.0,False,21,0,H_d (power throughput),optimal
200,0.35,public_only,ndc3_unconditional,0.0,False,21,0,H_d (power throughput),optimal
200,0.35,public_only,no_policy,0.0,False,21,0,H_d (power throughput),optimal
700,0.1,eaas,ndc3_unconditional,0.0,False,21,0,H_d (power throughput),optimal
700,0.1,eaas,no_policy,0.0,False,21,0,H_d (power throughput),optimal
700,0.1,public_only,ndc3_unconditional,0.0,False,21,0,H_d (power throughput),optimal
700,0.1,public_only,no_policy,0.0,False,21,0,H_d (power throughput),optimal
700,0.2,eaas,ndc3_unconditional,0.0,False,21,0,H_d (power throughput),optimal
700,0.2,eaas,no_policy,0.0,False,21,0,H_d (power throughput),optimal
700,0.2,public_only,ndc3_unconditional,0.0,False,21,0,H_d (power throughput),optimal
700,0.2,public_only,no_policy,0.0,False,21,0,H_d (power throughput),optimal
700,0.35,eaas,ndc3_unconditional,0.0,False,21,0,H_d (power throughput),optimal
700,0.35,eaas,no_policy,0.0,False,21,0,H_d (power throughput),optimal
700,0.35,public_only,ndc3_unconditional,0.0,False,21,0,H_d (power throughput),optimal
700,0.35,public_only,no_policy,0.0,False,21,0,H_d (power throughput),optimal
1200,0.1,eaas,ndc3_unconditional,0.0,False,21,0,H_d (power throughput),optimal
1200,0.1,eaas,no_policy,0.0,False,21,0,H_d (power throughput),optimal
1200,0.1,public_only,ndc3_unconditional,0.0,False,21,0,H_d (power throughput),optimal
1200,0.1,public_only,no_policy,0.0,False,21,0,H_d (power throughput),optimal
1200,0.2,eaas,ndc3_unconditional,0.0,False,21,0,H_d (power throughput),optimal
1200,0.2,eaas,no_policy,0.0,False,21,0,H_d (power throughput),optimal
1200,0.2,public_only,ndc3_unconditional,0.0,False,21,0,H_d (power throughput),optimal
1200,0.2,public_only,no_policy,0.0,False,21,0,H_d (power throughput),optimal
1200,0.35,eaas,ndc3_unconditional,0.0,False,21,0,H_d (power throughput),optimal
1200,0.35,eaas,no_policy,0.0,False,21,0,H_d (power throughput),optimal
1200,0.35,public_only,ndc3_unconditional,0.0,False,21,0,H_d (power throughput),optimal
1200,0.35,public_only,no_policy,0.0,False,21,0,H_d (power throughput),optimal
