hd,surplus_frac,financing_arm,policy_label,status,npv_total_cost_usd,cumulative_unserved_twh,horizon_reliability,storage_final_mwh,storage_throughput_twh,storage_utilisation,power_limit_years,charge_limit_years,solar_total_mw,solar_eaas_total_mw,solar_public_total_mw,complement_ratio,storage_cost_npv
200,0.1,public_only,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,0.0,13489.228009999999,,0.0
200,0.1,eaas,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,6522.185869999999,6967.04214,0.0,0.0
200,0.2,public_only,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,0.0,13489.228009999999,,0.0
200,0.2,eaas,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,6522.185869999999,6967.04214,0.0,0.0
200,0.35,public_only,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,0.0,13489.228009999999,,0.0
200,0.35,eaas,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,6522.185869999999,6967.04214,0.0,0.0
700,0.1,public_only,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,0.0,13489.228009999999,,0.0
700,0.1,eaas,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,2285.63163,11203.596379999999,0.0,0.0
700,0.2,public_only,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,0.0,13489.228009999999,,0.0
700,0.2,eaas,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,6522.185869999999,6967.04214,0.0,0.0
700,0.35,public_only,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,0.0,13489.228009999999,,0.0
700,0.35,eaas,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,6522.185869999999,6967.04214,0.0,0.0
1200,0.1,public_only,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,0.0,13489.228009999999,,0.0
1200,0.1,eaas,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,2285.63163,11203.596379999999,0.0,0.0
1200,0.2,public_only,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,0.0,13489.228009999999,,0.0
1200,0.2,eaas,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,6522.185869999999,6967.04214,0.0,0.0
1200,0.35,public_only,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,0.0,13489.228009999999,,0.0
1200,0.35,eaas,no_policy,optimal,9527136237.188107,0.0,1.0,0.0,0.0,0.0,21,0,13489.228009999999,6522.185869999999,6967.04214,0.0,0.0
200,0.1,public_only,ndc3_unconditional,optimal,872657020108.6958,130.0671513,0.8237212216417674,81210.33829999997,47.73500024,0.13995110087626678,0,0,16667.75284,0.0,16667.75284,,10292249433.378675
200,0.1,eaas,ndc3_unconditional,optimal,125983702488.88379,12.481731499999999,0.9830836275060676,48127.456999999995,40.9684312,0.20267824208855212,1,0,19965.6632,13036.619009999999,6929.04419,3.69171308627512,10001209904.787924
200,0.2,public_only,ndc3_unconditional,optimal,773405579856.9954,111.5833952,0.848772081234012,150321.2932,91.00794614,0.1441482982449615,0,0,15388.85652,0.0,15388.85652,,19869464421.235035
200,0.2,eaas,ndc3_unconditional,optimal,99040168316.79726,8.3308055,0.9887093382025962,80416.79999999999,69.82070399999999,0.20672268907563027,1,0,19351.33017,10996.436660000001,8354.893509999998,7.312987150875835,17276373277.23516
200,0.35,public_only,ndc3_unconditional,optimal,628285643928.5342,86.56586170000001,0.8826781074584531,236735.7545000001,148.90641262,0.1497615256366636,0,0,13798.745729999999,0.0,13798.745729999999,,33156779670.79628
200,0.35,eaas,ndc3_unconditional,optimal,62220518870.30583,2.5795784,0.9965039218243317,130170.247,113.63331780000001,0.2078474342692371,1,0,18404.727319999998,12698.360359999999,5706.36696,10.25094920207478,28234474755.82269
700,0.1,public_only,ndc3_unconditional,optimal,865305413363.0564,130.0671513,0.8237212216417674,23202.953759999993,47.73500024,0.13995110111753106,0,0,16667.75284,0.0,16667.75284,,2940642687.7393413
700,0.1,eaas,ndc3_unconditional,optimal,118839981130.00037,12.481731499999999,0.9830836275060676,13750.702,40.9684312,0.2026782420885521,1,0,19965.6632,13036.619009999999,6929.04419,1.0547751675071773,2857488545.9045143
700,0.2,public_only,ndc3_unconditional,optimal,759213105240.7612,111.5833952,0.848772081234012,42948.940720000006,91.00794614,0.14414829889703706,0,0,15388.85652,0.0,15388.85652,,5676989805.000884
700,0.2,eaas,ndc3_unconditional,optimal,86699901758.85538,8.3308055,0.9887093382025962,22976.2288,69.82070399999999,0.20672268701911775,1,0,19351.33018,10106.473890000001,9244.85629,2.2734169256335948,4936106704.733283
700,0.35,public_only,ndc3_unconditional,optimal,604602229848.8956,86.56586170000001,0.8826781074584531,67638.78679999997,148.90641262,0.1497615260794911,0,0,13798.745729999999,0.0,13798.745729999999,,9473365591.157768
700,0.35,eaas,ndc3_unconditional,optimal,42053036912.67999,2.5795784,0.9965039218243317,37191.4992,113.63331780000001,0.20784743394989008,1,0,18404.727319999998,12259.29624,6145.431079999999,3.0337385174403777,8066992798.196844
1200,0.1,public_only,ndc3_unconditional,optimal,864080145584.0134,130.0671513,0.8237212216417674,13535.056410000001,47.73500024,0.1399511006005361,0,0,16667.75284,0.0,16667.75284,,1715374908.696388
1200,0.1,eaas,ndc3_unconditional,optimal,117649360895.82321,12.481731499999999,0.9830836275060676,8021.2428,40.9684312,0.20267824293080827,1,0,19965.6632,13036.619009999999,6929.04419,0.6152855118222865,1666868311.727341
1200,0.2,public_only,ndc3_unconditional,optimal,756847692847.6661,111.5833952,0.848772081234012,25053.54894,91.00794614,0.14414829782303026,0,0,15388.85652,0.0,15388.85652,,3311577411.9057503
1200,0.2,eaas,ndc3_unconditional,optimal,84643190629.44795,8.3308055,0.9887093382025962,13402.800000000001,69.82070399999999,0.20672268907563018,1,0,19351.3302,9870.65657,9480.67363,1.3578428045744482,2879395546.20586
1200,0.35,public_only,ndc3_unconditional,optimal,600654994198.8859,86.56586170000001,0.8826781074584531,39455.95909000001,148.90641262,0.1497615256113592,0,0,13798.745729999999,0.0,13798.745729999999,,5526129941.147986
1200,0.35,eaas,ndc3_unconditional,optimal,38691789913.431305,2.5795784,0.9965039218243317,21695.0412,113.63331780000001,0.20784743394989005,1,0,18404.727319999998,11783.673889999998,6621.053430000001,1.8411101157857996,4705745798.948158
