case,benchmark_family,benchmark_regime,benchmark_usd_per_mmbtu,benchmark_usd_per_twh_th,share_years_lambda_power_gt_benchmark,max_gap_usd_per_twh_th,min_gap_usd_per_twh_th
baseline_no_policy,domestic,dom_power_2p4,2.4,8189141.880295217,0.42857142857142855,30077232.119704783,-5442825.880295217
baseline_no_policy,domestic,dom_commercial_2p9,2.9,9895213.105356721,0.3333333333333333,28371160.894643277,-7148897.105356721
baseline_no_policy,domestic,dom_high_3p3,3.3,11260070.085405923,0.2857142857142857,27006303.914594077,-8513754.085405923
baseline_no_policy,opportunity,opp_3,3.0,10236427.350369021,0.3333333333333333,28029946.64963098,-7490111.350369021
baseline_no_policy,opportunity,opp_5,5.0,17060712.250615038,0.047619047619047616,21205661.749384962,-14314396.250615038
baseline_no_policy,opportunity,opp_7,7.0,23884997.15086105,0.047619047619047616,14381376.849138949,-21138681.15086105
ndc_unconditional_20,domestic,dom_power_2p4,2.4,8189141.880295217,0.047619047619047616,8607077.119704783,-8189141.880295217
ndc_unconditional_20,domestic,dom_commercial_2p9,2.9,9895213.105356721,0.047619047619047616,6901005.894643279,-9895213.105356721
ndc_unconditional_20,domestic,dom_high_3p3,3.3,11260070.085405923,0.047619047619047616,5536148.914594077,-11260070.085405923
ndc_unconditional_20,opportunity,opp_3,3.0,10236427.350369021,0.047619047619047616,6559791.649630979,-10236427.350369021
ndc_unconditional_20,opportunity,opp_5,5.0,17060712.250615038,0.0,-264493.250615038,-17060712.250615038
ndc_unconditional_20,opportunity,opp_7,7.0,23884997.15086105,0.0,-7088778.150861051,-23884997.15086105
ndc_conditional_47,domestic,dom_power_2p4,2.4,8189141.880295217,0.047619047619047616,8607077.119704783,-8189141.880295217
ndc_conditional_47,domestic,dom_commercial_2p9,2.9,9895213.105356721,0.047619047619047616,6901005.894643279,-9895213.105356721
ndc_conditional_47,domestic,dom_high_3p3,3.3,11260070.085405923,0.047619047619047616,5536148.914594077,-11260070.085405923
ndc_conditional_47,opportunity,opp_3,3.0,10236427.350369021,0.047619047619047616,6559791.649630979,-10236427.350369021
ndc_conditional_47,opportunity,opp_5,5.0,17060712.250615038,0.0,-264493.250615038,-17060712.250615038
ndc_conditional_47,opportunity,opp_7,7.0,23884997.15086105,0.0,-7088778.150861051,-23884997.15086105
