case,year,subsidy_per_mw_usd,carbon_shadow_usd_per_tco2,solar_eaas_add_mw
baseline_no_policy,2025,0.0,0.0,0.0
baseline_no_policy,2026,0.0,0.0,0.0
baseline_no_policy,2027,0.0,0.0,0.0
baseline_no_policy,2028,0.0,0.0,0.0
baseline_no_policy,2029,0.0,0.0,0.0
baseline_no_policy,2030,0.0,0.0,0.0
baseline_no_policy,2031,0.0,0.0,0.0
baseline_no_policy,2032,0.0,0.0,0.0
baseline_no_policy,2033,0.0,0.0,0.0
baseline_no_policy,2034,0.0,0.0,0.0
baseline_no_policy,2035,0.0,0.0,0.0
baseline_no_policy,2036,0.0,0.0,0.0
baseline_no_policy,2037,0.0,0.0,0.0
baseline_no_policy,2038,0.0,0.0,0.0
baseline_no_policy,2039,0.0,0.0,0.0
baseline_no_policy,2040,0.0,0.0,0.0
baseline_no_policy,2041,0.0,0.0,0.0
baseline_no_policy,2042,0.0,0.0,0.0
baseline_no_policy,2043,0.0,0.0,0.0
baseline_no_policy,2044,0.0,0.0,0.0
baseline_no_policy,2045,0.0,0.0,0.0
ndc_unconditional_20,2025,0.0,0.0,0.0
ndc_unconditional_20,2026,0.0,21557.111,0.0
ndc_unconditional_20,2027,0.0,19597.373,0.0
ndc_unconditional_20,2028,0.0,17815.794,0.0
ndc_unconditional_20,2029,0.0,16196.176,0.0
ndc_unconditional_20,2030,0.0,14723.797,0.0
ndc_unconditional_20,2031,0.0,13385.27,0.0
ndc_unconditional_20,2032,0.0,12168.427,0.0
ndc_unconditional_20,2033,0.0,9399.6002,0.0
ndc_unconditional_20,2034,0.0,8079.3778,0.0
ndc_unconditional_20,2035,0.0,3664.3814,0.0
ndc_unconditional_20,2036,0.0,3645.8368,0.0
ndc_unconditional_20,2037,0.0,2932.7758,0.0
ndc_unconditional_20,2038,0.0,2637.7438,0.0
ndc_unconditional_20,2039,0.0,2109.3283,0.0
ndc_unconditional_20,2040,0.0,2155.2176,0.0
ndc_unconditional_20,2041,0.0,2608.2602,0.0
ndc_unconditional_20,2042,0.0,4691.4554,0.0
ndc_unconditional_20,2043,0.0,4264.9594,0.0
ndc_unconditional_20,2044,0.0,3877.2359,0.0
ndc_unconditional_20,2045,0.0,3524.7599,0.0
ndc_conditional_47,2025,0.0,0.0,0.0
